pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,target
-0.267263,0.151416,0.3419827,-0.3624164,0.7804726,0.1513497,-0.06925178,0.8651844,0.2984988,-0.03136702,-0.005084469,0.3392864,-0.189769,0.008208707,0.3706122,TWO
-0.2439509,0.08389327,0.3851865,-0.4433357,0.7491981,0.142759,-0.1033336,0.8562387,0.3121612,-0.02259968,-0.01115427,0.3421637,-0.1611621,-0.005577371,0.3574271,TWO
-0.2277316,0.03996294,0.4086633,-0.5102398,0.7122669,0.1325161,-0.1365037,0.8408502,0.3316403,-0.01835293,-0.00747599,0.3485264,-0.1389841,0.01800039,0.3496478,TWO
-0.229416,0.01850727,0.4191275,-0.512661,0.6996408,0.1708345,-0.1321598,0.8167585,0.3827921,-0.02138889,-0.02813402,0.355683,-0.1307062,0.02815534,0.3462524,TWO
-0.2384033,0.009749262,0.4187185,-0.5086263,0.6903217,0.2039191,-0.1323211,0.8014842,0.4130074,-0.02368239,-0.04280116,0.3564247,-0.1287878,0.02120259,0.3424296,TWO
-0.2468276,0.01388513,0.4098443,-0.4964759,0.6910778,0.2259584,-0.1261151,0.7912644,0.4339818,-0.02363445,-0.0521632,0.3522151,-0.1312015,-0.002599108,0.3393096,TWO
-0.2612394,0.02555363,0.3965199,-0.4985626,0.6914613,0.2234313,-0.1331995,0.7852017,0.4420555,-0.02343048,-0.05105655,0.349225,-0.1419852,-0.02574084,0.3425827,TWO
-0.2693444,0.03524483,0.3878571,-0.4963175,0.6939096,0.2218939,-0.1351731,0.7814182,0.4473096,-0.02364457,-0.05052383,0.3479406,-0.1507701,-0.04018001,0.3474795,TWO
-0.2756833,0.04500571,0.3799631,-0.4916689,0.7000852,0.2150781,-0.1309021,0.7832642,0.4451806,-0.02513783,-0.04939016,0.346434,-0.1570962,-0.0469593,0.3483236,TWO
-0.278571,0.05051246,0.3747237,-0.4909424,0.7036033,0.2070864,-0.1289846,0.7867529,0.4397004,-0.02761879,-0.04748301,0.3455837,-0.1603584,-0.04808302,0.3458529,TWO
