THUMB_INDEX_ANGLE,THUMB_DIST,INDEX_MIDDLE_ANGLE,INDEX_DIST,MIDDLE_RING_ANGLE,MIDDLE_DIST,RING_PINKY_ANGLE,RING_DIST,PINKY_DIST,target
0.3200367,0.06846067,0.5667491,0.0731668,0.6754107,0.1052832,0.3812992,0.08680847,0.09856531,COOL
0.3196507,0.06839193,0.5402165,0.07300385,0.6569661,0.1044919,0.3720966,0.0866553,0.09837087,COOL
0.3151233,0.06879986,0.5641424,0.07151893,0.6508083,0.1045469,0.3684586,0.08669283,0.09840548,COOL
0.320277,0.06889278,0.5668465,0.07175728,0.6546965,0.1048289,0.3696882,0.08667615,0.09847517,COOL
0.323703,0.06894057,0.5660921,0.07191364,0.6560315,0.1049297,0.370563,0.08660308,0.09843779,COOL
0.3210907,0.06904352,0.5738425,0.07140648,0.6523612,0.1048673,0.369118,0.08657322,0.0983957,COOL
0.3176097,0.06892832,0.5756803,0.07137077,0.6546087,0.1048787,0.3698855,0.08666539,0.09848312,COOL
0.3149056,0.06875397,0.5744199,0.07170766,0.6621747,0.1050202,0.3731543,0.08679633,0.09858585,COOL
0.3151395,0.06873455,0.5790943,0.07187159,0.6684362,0.1052433,0.3762798,0.08688365,0.0986699,COOL
0.3145376,0.06879898,0.5818518,0.07191899,0.6759617,0.1053546,0.3802547,0.08686441,0.09863916,COOL
0.314489,0.068781,0.5787191,0.07205239,0.6778154,0.1052985,0.3813088,0.08686275,0.09860454,COOL
0.316538,0.06873061,0.5743695,0.07233002,0.6755681,0.1052331,0.379816,0.08692884,0.0986558,COOL
0.3148344,0.06882545,0.5867878,0.0718385,0.668789,0.1052755,0.3757476,0.08704758,0.09879394,COOL
0.3141474,0.06913293,0.609997,0.07108759,0.6697593,0.1054816,0.3762794,0.08718199,0.09892464,COOL
0.3134919,0.06912307,0.6139291,0.07120664,0.6753117,0.1056072,0.3798819,0.08719569,0.09891964,COOL
0.2997045,0.06817104,0.6146822,0.07172234,0.6823695,0.1058746,0.3853973,0.08722521,0.0989497,COOL
0.3071138,0.06810029,0.6036686,0.07209348,0.6837597,0.105846,0.3869395,0.08720144,0.09889665,COOL
0.3241711,0.06876528,0.5915735,0.0723308,0.6839242,0.1057226,0.3867862,0.08718311,0.09884083,COOL
0.3071643,0.06815962,0.6017033,0.07202939,0.6808025,0.1057567,0.3848048,0.08706027,0.09882545,COOL
0.3011384,0.06820109,0.6269405,0.07097983,0.674766,0.1061602,0.3869278,0.08701915,0.09893739,COOL
0.3130581,0.06829532,0.6182386,0.07175999,0.672424,0.1064318,0.3892974,0.08699687,0.09907185,COOL
0.3164938,0.06844355,0.5926973,0.07243667,0.675723,0.1059565,0.3883773,0.08708896,0.09887414,COOL
0.32891,0.06880987,0.5732849,0.07246789,0.6800929,0.1055218,0.3858714,0.08695942,0.09868034,COOL
0.3311535,0.06910464,0.567471,0.0724047,0.6759197,0.1052042,0.3812507,0.08661193,0.09841023,COOL
0.3316904,0.06908186,0.5693593,0.0730138,0.6734629,0.105238,0.378661,0.08656463,0.09839843,COOL
0.3383327,0.06894828,0.5618764,0.07352834,0.6747975,0.1053358,0.378798,0.08666632,0.09848578,COOL
0.3379502,0.0690776,0.5672715,0.07281386,0.6710994,0.1053421,0.3768081,0.08669804,0.09853202,COOL
0.3406187,0.06929138,0.5740107,0.07213935,0.6678441,0.1053532,0.3749488,0.08670479,0.09856746,COOL
0.3438662,0.06953415,0.5770053,0.07207705,0.6660748,0.1053584,0.3741549,0.08666138,0.09855234,COOL
0.3477775,0.06957652,0.5673589,0.07250901,0.6653178,0.1052931,0.3737584,0.08656782,0.09845783,COOL
0.3448447,0.0694515,0.5653929,0.07234032,0.663691,0.1052585,0.3732575,0.08646993,0.09838392,COOL
0.3478533,0.06925412,0.5491868,0.07286525,0.6631069,0.1051118,0.3727256,0.08636331,0.09825934,COOL
0.3512049,0.06903924,0.5392169,0.0734304,0.6667781,0.1051431,0.3767887,0.08635294,0.09823849,COOL
0.3520508,0.06883998,0.5384513,0.07386854,0.6716424,0.105285,0.3811775,0.08650994,0.09833768,COOL
0.3376462,0.06871189,0.5607075,0.0733107,0.6620565,0.1054721,0.3759691,0.08695832,0.09870005,COOL
0.339038,0.06899646,0.5787092,0.07312983,0.6580576,0.1056741,0.3734792,0.08727905,0.09897971,COOL
0.332799,0.06920822,0.590296,0.07275712,0.6651204,0.1056311,0.375995,0.0874509,0.099025,COOL
0.3309678,0.06898766,0.5811552,0.07291891,0.6716576,0.1056154,0.3784863,0.08727125,0.09889688,COOL
0.3348043,0.06883638,0.5723939,0.07334144,0.6737735,0.1056563,0.3801666,0.08714487,0.09882052,COOL
0.3353656,0.06887343,0.5768527,0.07334758,0.6657044,0.1056938,0.3765756,0.08693107,0.09875593,COOL
0.3366924,0.06926938,0.6170668,0.07135978,0.6508883,0.1057071,0.3642388,0.08675269,0.09881292,COOL
0.3425333,0.06908499,0.661885,0.0697438,0.6431146,0.1058624,0.355621,0.08697465,0.0991203,COOL
0.398562,0.07044444,0.6901686,0.06904017,0.6432227,0.1061536,0.3503553,0.08723891,0.09943242,COOL
0.4547028,0.07178441,0.7377657,0.0660747,0.6450812,0.1061862,0.3453604,0.08748131,0.09963237,COOL
0.5507129,0.07310215,0.8655245,0.05769974,0.6316721,0.1060863,0.3436448,0.08782727,0.09970226,COOL
0.5435904,0.07350898,0.8831733,0.05606406,0.636322,0.1062636,0.3490347,0.08780893,0.09972081,COOL
0.442981,0.07232987,0.8319882,0.05881315,0.6393721,0.1064237,0.3544807,0.08733305,0.09956328,COOL
0.4604611,0.07242528,0.8374416,0.05773322,0.6296115,0.106561,0.3505417,0.08721656,0.09963845,COOL
0.4506351,0.07257277,0.8133593,0.05962642,0.6314074,0.1065072,0.3518268,0.08737846,0.09971012,COOL
0.3564304,0.07070891,0.6665497,0.07035126,0.6528564,0.1060571,0.3663702,0.08742013,0.09933537,COOL
0.3368479,0.06913892,0.5878388,0.07365548,0.6589562,0.1055313,0.371004,0.08729635,0.09899837,COOL
0.3233983,0.0688178,0.5882927,0.07203146,0.6593317,0.1054221,0.3719538,0.08721592,0.09880409,COOL
0.3083459,0.069014,0.6202548,0.06921198,0.6556063,0.1054268,0.369958,0.08706324,0.09868494,COOL
0.3162623,0.06943643,0.6496577,0.06726828,0.6526009,0.1055106,0.3670413,0.08695045,0.09870534,COOL
0.3141578,0.06890444,0.6125872,0.06960192,0.6556867,0.1054979,0.3701437,0.08665739,0.09858971,COOL
0.3294,0.06874961,0.5656192,0.0722833,0.6628084,0.1053296,0.3754776,0.08643119,0.09836038,COOL
0.3406963,0.0687158,0.5443934,0.07361507,0.6651142,0.105191,0.3770747,0.0864751,0.09829839,COOL
0.3347811,0.06889121,0.5575222,0.07378777,0.6614447,0.1051511,0.3726675,0.08683206,0.09852587,COOL
0.3353171,0.06959374,0.5927157,0.07222904,0.6549923,0.1051887,0.3669406,0.08705274,0.09871821,COOL
0.3452255,0.07003716,0.6068697,0.07125594,0.65287,0.1053047,0.364524,0.08703364,0.09878505,COOL
0.3489175,0.07026199,0.6221268,0.07038187,0.6521161,0.1055441,0.36433,0.08692671,0.09883925,COOL
0.3491066,0.07046868,0.6735663,0.06764624,0.6397644,0.1056641,0.3579114,0.08678848,0.09882755,COOL
0.3657054,0.07054229,0.6953087,0.06741696,0.6389667,0.1057929,0.3538477,0.08713841,0.09914677,COOL
0.3542189,0.06998694,0.6494302,0.07043771,0.6451691,0.1058284,0.3574703,0.0872623,0.09921597,COOL
0.356522,0.0698155,0.6159963,0.0722094,0.6484638,0.1057692,0.3602605,0.08732353,0.09920704,COOL
0.3519757,0.06923432,0.5792735,0.07354361,0.6496027,0.1055065,0.3618624,0.08724241,0.09905241,COOL
0.3477201,0.06905828,0.5735697,0.07359927,0.6487565,0.1054223,0.3618036,0.08714493,0.09895167,COOL
0.3451156,0.06912501,0.5772551,0.07337698,0.6488526,0.1054047,0.3626193,0.08711453,0.09892254,COOL
0.3427217,0.06924462,0.5893478,0.07268859,0.6538634,0.1054646,0.3658762,0.08702909,0.09886037,COOL
0.3570623,0.06960801,0.5933909,0.07282443,0.6584046,0.1057688,0.3692193,0.08699345,0.09892467,COOL
0.379838,0.06982483,0.5738326,0.07413463,0.6686645,0.1061855,0.375829,0.0871295,0.09914413,COOL
0.3979262,0.07022393,0.5699,0.07554346,0.6791108,0.1065161,0.3799406,0.08727112,0.09938292,COOL
0.4072701,0.07068709,0.5852636,0.07623347,0.6836213,0.1067159,0.3797851,0.08743048,0.09962567,COOL
0.3955704,0.07079894,0.6080406,0.07527105,0.6747762,0.1065802,0.3743445,0.08759254,0.09973196,COOL
0.3641053,0.07028959,0.6032541,0.07294538,0.6746832,0.1058406,0.3773896,0.0875655,0.09924802,COOL
