pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
-0.7452731,-0.1399459,-0.2392118,-0.3577739,0.7766335,0.01582498,-0.08972997,0.8830832,0.1055153,0.3905809,0.595359,0.2927148,0.13721,0.8170654,0.1932992,0.2267095,0.9413127,0.757945,0.9109189,FIVE
-0.7460228,-0.1451716,-0.2379572,-0.357826,0.775615,0.01776389,-0.09161223,0.8820829,0.1065442,0.386972,0.5974867,0.29153,0.1332212,0.8169334,0.193515,0.2206344,0.941963,0.7606637,0.9115875,FIVE
-0.7477431,-0.1510065,-0.2346991,-0.360288,0.7737291,0.01430054,-0.0948562,0.8803165,0.1072473,0.384842,0.5945526,0.2997067,0.131001,0.8146272,0.1995097,0.2190061,0.9415563,0.7567252,0.9107448,FIVE
-0.7459122,-0.1587257,-0.2390705,-0.3649188,0.7711592,-0.006900622,-0.1014398,0.8801783,0.09193183,0.3823304,0.5929753,0.3075898,0.1274718,0.8150519,0.1961658,0.2221044,0.9410102,0.7459405,0.9076409,FIVE
-0.7394783,-0.162293,-0.2532746,-0.3581924,0.7726047,-0.05359688,-0.1010262,0.8818274,0.06144089,0.3826108,0.5929615,0.3111631,0.1294041,0.8179813,0.1797164,0.2246967,0.9407454,0.7335486,0.9034376,FIVE
-0.7362548,-0.1589288,-0.2569346,-0.3568854,0.7724261,-0.07021691,-0.1021319,0.8815871,0.05478411,0.384657,0.5885285,0.3189483,0.1303388,0.8172498,0.1804224,0.2325941,0.9399413,0.7240199,0.9001737,FIVE
-0.73611,-0.1537542,-0.2547495,-0.3596846,0.7721341,-0.06516253,-0.1043212,0.8802181,0.06429925,0.3876606,0.5833163,0.3254778,0.1309996,0.8145227,0.1898152,0.2397943,0.9391025,0.7196355,0.8988791,FIVE
-0.7377417,-0.1515457,-0.2479698,-0.3634635,0.7711087,-0.05040724,-0.1075277,0.8783522,0.07663576,0.3894548,0.5818364,0.3258018,0.1308392,0.8126196,0.1967876,0.2418813,0.9393741,0.7204158,0.8995422,FIVE
-0.7650838,-0.1489451,-0.1928648,-0.3854241,0.7788923,0.06366795,-0.1123907,0.8892729,0.1595878,0.4038085,0.5899397,0.3293428,0.134137,0.8215963,0.2460524,0.2380996,0.9405009,0.7420764,0.9072334,FIVE
-0.7745838,-0.156937,-0.1780346,-0.3876438,0.7671902,0.1367264,-0.1125886,0.8798997,0.2109453,0.396495,0.5893233,0.3364048,0.1324951,0.8143959,0.2745732,0.2205615,0.9419427,0.7603357,0.9142731,FIVE
-0.7719182,-0.1656945,-0.1947331,-0.3856884,0.7664771,0.1214441,-0.1128373,0.8808284,0.1909726,0.3841361,0.5934843,0.3333709,0.1291258,0.816645,0.2573892,0.2087027,0.9424405,0.7649385,0.9161557,FIVE
-0.7692199,-0.1728587,-0.1960272,-0.392894,0.7623296,0.1040015,-0.1181738,0.8795324,0.175159,0.3781609,0.5965654,0.327902,0.1236018,0.8176389,0.2450889,0.2138083,0.9407394,0.7629794,0.915493,FIVE
-0.7646607,-0.1650249,-0.1790681,-0.4061523,0.7518457,0.1000356,-0.1267052,0.8735361,0.1740725,0.377288,0.5948715,0.326426,0.1190141,0.8140246,0.2445517,0.2441639,0.9374493,0.7568538,0.9139073,FIVE
-0.7574008,-0.1437974,-0.166601,-0.4147396,0.7450117,0.09813979,-0.1305598,0.8688006,0.1767543,0.3792695,0.590852,0.3266072,0.1190849,0.8094041,0.2480563,0.2816142,0.9344566,0.7515649,0.9130321,FIVE
-0.7545567,-0.1344384,-0.1627504,-0.4179254,0.7438532,0.09279701,-0.1315578,0.8682883,0.1738009,0.380705,0.5913215,0.3233671,0.1202357,0.8090526,0.2456413,0.2977761,0.9331769,0.7497613,0.913097,FIVE
-0.7527332,-0.1358439,-0.1823307,-0.4207872,0.7457579,0.08041831,-0.13476,0.8698765,0.1691678,0.3782195,0.5921264,0.3289746,0.118168,0.8107122,0.2457188,0.296877,0.9326937,0.7474153,0.9125842,FIVE
-0.7533733,-0.1361657,-0.1882194,-0.4201967,0.7484251,0.07314375,-0.1361442,0.8715644,0.1643369,0.3791624,0.5951983,0.3247299,0.1183464,0.8131101,0.2405812,0.2958025,0.9334528,0.7467009,0.9125726,FIVE
-0.7551444,-0.1378413,-0.1844656,-0.417703,0.7495123,0.07330868,-0.1360726,0.8715379,0.1638782,0.3802437,0.5978552,0.3183971,0.1179358,0.8138082,0.2373883,0.2920972,0.9345672,0.7482769,0.9129521,FIVE
-0.756125,-0.133936,-0.1842198,-0.4115702,0.7503306,0.07471605,-0.1294084,0.8707341,0.1635943,0.383169,0.5972548,0.3139003,0.1226493,0.8126167,0.2346645,0.2903069,0.9345446,0.7510935,0.9137993,FIVE
-0.7577692,-0.136329,-0.1905437,-0.4076015,0.7506216,0.08038987,-0.1243507,0.8705291,0.1671332,0.3839167,0.5956995,0.3165563,0.1250956,0.811635,0.2376627,0.2810082,0.9344015,0.7538373,0.9143714,FIVE
-0.7581938,-0.1315855,-0.190088,-0.4036624,0.7489957,0.09380723,-0.1198113,0.8684143,0.1765237,0.38799,0.5904288,0.3211609,0.1282337,0.8086249,0.2442119,0.2795303,0.9345418,0.7535307,0.9133765,FIVE
-0.7563738,-0.1255418,-0.1965841,-0.3986016,0.7482063,0.1063852,-0.1150174,0.8655254,0.1891704,0.3888951,0.5821625,0.3342631,0.1289419,0.8034033,0.2580136,0.2759894,0.9348128,0.7536811,0.9122041,FIVE
-0.756056,-0.1270923,-0.1915769,-0.4002294,0.7461108,0.1087635,-0.1179869,0.8621374,0.194443,0.3864625,0.5778778,0.3409978,0.1254613,0.7994034,0.2658976,0.2771142,0.9349519,0.7516053,0.9114227,FIVE
-0.7560851,-0.1298322,-0.1806069,-0.3994858,0.7475345,0.1002332,-0.1195398,0.862808,0.1857497,0.3851894,0.5797129,0.3357837,0.1248327,0.8005499,0.2584233,0.2778368,0.9358078,0.7504486,0.9113603,FIVE
-0.7551634,-0.1309929,-0.1679804,-0.4014394,0.7460601,0.1022671,-0.1244879,0.8611341,0.1870438,0.3836716,0.5794228,0.3359745,0.1222998,0.7997399,0.2594662,0.2811424,0.9369343,0.7482899,0.9110534,FIVE
-0.7517955,-0.1264233,-0.1592115,-0.4052708,0.7442029,0.09921256,-0.1290335,0.8594907,0.186112,0.3821903,0.5796056,0.3343664,0.120438,0.7989396,0.2588236,0.293171,0.9367827,0.7461861,0.9110762,FIVE
-0.7529871,-0.1330858,-0.1641424,-0.4130311,0.7426434,0.0992737,-0.1370879,0.859973,0.1879709,0.3777503,0.5855874,0.3312706,0.1148792,0.8019698,0.2577667,0.2927435,0.9366771,0.7478546,0.9122315,FIVE
-0.753748,-0.1338256,-0.1680363,-0.4147253,0.7431501,0.1003458,-0.1380522,0.8602971,0.1915093,0.3772497,0.5860438,0.3330745,0.1143687,0.8022869,0.2607193,0.2922492,0.9363316,0.748607,0.912647,FIVE
-0.7541859,-0.1321616,-0.1828487,-0.4141715,0.7451733,0.090569,-0.1346881,0.8634129,0.1841772,0.3793368,0.5884809,0.3307467,0.1163906,0.8051068,0.2555223,0.2923665,0.9349711,0.7489617,0.912464,FIVE
-0.7536846,-0.1253816,-0.1767,-0.4114293,0.7428138,0.09830021,-0.1313806,0.860359,0.1902188,0.3828281,0.585273,0.3302521,0.1181186,0.8017857,0.2591108,0.2977279,0.9347419,0.7489939,0.9118524,FIVE
-0.7541425,-0.1275587,-0.1812148,-0.41161,0.7414247,0.1044207,-0.1311995,0.8602282,0.1936601,0.3807031,0.585355,0.3326308,0.1167162,0.8016686,0.261307,0.2932025,0.9347923,0.7512807,0.9122695,FIVE
