pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
0.05466118,0.5814689,-0.3042634,-0.3337646,0.7645609,0.2606592,-0.4791003,0.6478541,0.4257513,-0.5467106,0.09635704,0.5229235,-0.5403191,0.4234863,0.5063393,0.6029093,0.9619553,0.7870154,0.9237893,FIVE
0.52569,0.5134674,-0.01235927,-0.302829,0.7784818,0.2464944,-0.5517535,0.6703544,0.2914819,-0.7419765,0.1780839,0.08102946,-0.6924939,0.4654642,0.2209566,0.3710222,0.953825,0.7860216,0.9279541,FIVE
0.6853276,0.4193351,0.05776024,-0.2586654,0.8114781,0.3633692,-0.5525537,0.7146502,0.3769005,-0.7712281,0.2787645,0.05796285,-0.7155277,0.539468,0.255336,0.2466835,0.9486211,0.8042891,0.9360338,FIVE
0.7733157,0.3543697,0.09238942,-0.2209749,0.8433735,0.4231401,-0.5374278,0.760104,0.4217842,-0.7813106,0.3232908,0.1065032,-0.70592,0.5977123,0.2928942,0.201489,0.947356,0.8158032,0.9384387,FIVE
0.773426,0.3565994,0.09537527,-0.2122158,0.8702064,0.3816842,-0.5289996,0.7944976,0.3797773,-0.7779568,0.3438491,0.08392029,-0.6961077,0.629804,0.2578093,0.2188193,0.948405,0.8161686,0.9371461,FIVE
0.7660816,0.3634549,0.08641536,-0.2082579,0.8768773,0.3648152,-0.5221034,0.8042075,0.3666865,-0.7718596,0.355065,0.07540493,-0.6905763,0.6390973,0.246742,0.2301019,0.9494843,0.8179431,0.9383582,FIVE
0.7567067,0.3719798,0.07209586,-0.2057947,0.8793435,0.3548211,-0.5175851,0.8070201,0.3622201,-0.7680559,0.3592906,0.07489094,-0.686842,0.6418477,0.2445934,0.2398528,0.949962,0.819121,0.9390447,FIVE
0.7481467,0.3756808,0.06796544,-0.2003219,0.8791736,0.3538652,-0.5117562,0.8074811,0.3657865,-0.764929,0.362412,0.08319704,-0.6825617,0.6427216,0.2518789,0.2513134,0.9499463,0.8207572,0.9398385,FIVE
0.7454686,0.3774507,0.06358951,-0.197589,0.881122,0.3514322,-0.5094118,0.8095721,0.3661465,-0.7648443,0.3634441,0.08885594,-0.6814914,0.6441541,0.2551576,0.2557033,0.9498596,0.8214974,0.9402342,FIVE
0.745873,0.3793505,0.04853896,-0.1946206,0.880066,0.3572074,-0.5066072,0.8095723,0.3723203,-0.7640067,0.3622177,0.1070284,-0.6798481,0.6431204,0.2674263,0.2535231,0.9499628,0.8243386,0.9414911,FIVE
0.7460672,0.379843,0.03369456,-0.1909192,0.8831571,0.3508762,-0.5018671,0.8139215,0.368398,-0.7615854,0.3636893,0.1149816,-0.6753186,0.6469445,0.2679998,0.252227,0.9503065,0.8255841,0.9418131,FIVE
0.7456323,0.3788204,0.02482968,-0.1837114,0.8857251,0.3479089,-0.4941536,0.8202323,0.3635462,-0.7587984,0.3691302,0.1133148,-0.6685695,0.6546264,0.2625497,0.2554972,0.9507039,0.824405,0.9411322,FIVE
0.7466255,0.3774657,0.01064478,-0.1788187,0.8887677,0.3418652,-0.4885744,0.8255741,0.3582532,-0.7581306,0.3711309,0.1145873,-0.6654949,0.6585689,0.2605651,0.2536301,0.9510309,0.8229371,0.9407453,FIVE
0.7471877,0.3790576,-0.007995906,-0.1774001,0.8899091,0.3392701,-0.485642,0.82745,0.3578195,-0.7583634,0.3700387,0.1194959,-0.6646973,0.6584144,0.2636876,0.2489351,0.9515081,0.8218707,0.9406252,FIVE
0.7477175,0.3783911,-0.02433204,-0.1729932,0.8953358,0.3280461,-0.4807839,0.8349172,0.3479899,-0.7571899,0.375159,0.113647,-0.6622532,0.6644858,0.2557915,0.2479559,0.9517847,0.8207032,0.9405458,FIVE
0.7472086,0.3787349,-0.03328436,-0.1703178,0.8999503,0.3169537,-0.4785019,0.8401725,0.3389037,-0.7574069,0.377147,0.110104,-0.661609,0.6681191,0.2494724,0.2498637,0.9516771,0.8197294,0.9403815,FIVE
0.7401313,0.3806371,-0.06205631,-0.1618113,0.9066756,0.2945691,-0.4690877,0.8480395,0.3267331,-0.7559059,0.3797373,0.1156236,-0.656349,0.6731121,0.2474259,0.2565926,0.9515733,0.8181392,0.9401572,FIVE
0.7266958,0.3901984,-0.1041366,-0.1585325,0.9106141,0.2790285,-0.4647422,0.8512756,0.3219884,-0.756112,0.3774434,0.128644,-0.6545622,0.6732832,0.2528867,0.2629349,0.9513782,0.8174881,0.9401978,FIVE
0.7082077,0.3999102,-0.1535396,-0.1545221,0.9141035,0.2615833,-0.4591329,0.8542664,0.3181435,-0.754652,0.3759448,0.1458076,-0.6504748,0.6740938,0.2611793,0.2708729,0.9510415,0.8176045,0.9402711,FIVE
0.670803,0.4137397,-0.2285594,-0.1517126,0.9172211,0.2390549,-0.4557844,0.8575603,0.3052885,-0.7530851,0.3700567,0.1650272,-0.6470239,0.6746019,0.2626765,0.2832003,0.950353,0.816671,0.9397045,FIVE
0.6354786,0.4229243,-0.2690814,-0.1561812,0.9180803,0.212214,-0.4606406,0.8580293,0.2815449,-0.7551218,0.3628177,0.1608215,-0.649784,0.6729363,0.247475,0.300003,0.9495622,0.8145722,0.9384259,FIVE
0.6065851,0.4262717,-0.3004728,-0.1641672,0.919819,0.1802036,-0.4636835,0.8609486,0.2561581,-0.7539361,0.3598828,0.1579207,-0.6496881,0.672914,0.2350475,0.3131353,0.9503962,0.8143271,0.9379522,FIVE
0.5625986,0.42894,-0.3497537,-0.1790128,0.9214904,0.136474,-0.4626536,0.8679541,0.2268309,-0.7447721,0.3606333,0.1860464,-0.6404006,0.6783489,0.2365762,0.329698,0.9541575,0.8174089,0.9379289,FIVE
0.3862025,0.4548451,-0.4711364,-0.2181701,0.9133776,0.08873366,-0.4446132,0.8665712,0.2432263,-0.6780697,0.3617826,0.329704,-0.5882738,0.6780032,0.3126103,0.40353,0.9611058,0.8280582,0.9400541,FIVE
0.1711918,0.4982095,-0.5139748,-0.2667707,0.9040111,0.08847109,-0.424043,0.8559672,0.2970237,-0.5609222,0.3496023,0.4929513,-0.5163227,0.6627014,0.4184199,0.5155932,0.9642794,0.8286827,0.940182,FIVE
-0.5714504,0.3231795,-0.2519272,-0.3680471,0.8651844,0.2002169,-0.2604428,0.874391,0.4326206,0.08042995,0.4643917,0.6895849,-0.09544365,0.7413659,0.5839874,0.6501646,0.9673778,0.8103564,0.9331318,FIVE
-0.7870693,0.09309252,-0.09994101,-0.3048523,0.8990281,0.1778993,-0.124547,0.9410714,0.3685747,0.3547866,0.5881292,0.5100377,0.1107022,0.8619457,0.4208723,0.3964198,0.9654915,0.8003672,0.921078,FIVE
-0.8229204,0.02681716,-0.1746815,-0.2878188,0.9064436,0.1442507,-0.09565626,0.9551527,0.334806,0.3846336,0.5856656,0.5027264,0.1358113,0.8737846,0.3918707,0.2914442,0.9628727,0.7880762,0.9123476,FIVE
-0.8123115,0.045064,-0.1965092,-0.2982829,0.8926857,0.1868514,-0.07919903,0.9356248,0.3837222,0.4023554,0.5374916,0.5511031,0.1563786,0.8442437,0.4503924,0.3060678,0.9560285,0.7746059,0.9082419,FIVE
-0.8063552,0.05084611,-0.1799693,-0.3112711,0.8937675,0.1719461,-0.06719542,0.9468758,0.3628777,0.4163711,0.5417448,0.5398725,0.167831,0.8511661,0.4366032,0.3334394,0.9509509,0.7694023,0.9065353,FIVE
-0.7945518,0.06879081,-0.1709603,-0.3213458,0.8937836,0.1622276,-0.06895214,0.9530866,0.3499608,0.4110409,0.5505177,0.5344985,0.1633803,0.85693,0.4277786,0.3678214,0.9492444,0.7714858,0.9075469,FIVE
