pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
0.09507668,0.7183663,-0.1380973,-0.3385937,0.2669766,-0.1390226,-0.3881042,0.1878903,-0.1518869,-0.3712715,-0.0416907,-0.03359432,-0.3938594,0.06487912,-0.1163442,1.006299,0.2071343,0.601786,0.3322725,THUMB
0.08866192,0.7184041,-0.1426836,-0.3400393,0.2661564,-0.141236,-0.3900683,0.1875206,-0.1541924,-0.3724798,-0.04189474,-0.03478819,-0.3960997,0.06477153,-0.1178923,0.999629,0.2060155,0.5994353,0.3309263,THUMB
0.08644966,0.7178102,-0.1482278,-0.3389974,0.266497,-0.1470754,-0.3899292,0.1885709,-0.1594738,-0.3745092,-0.04063547,-0.03791622,-0.3972594,0.06603412,-0.1221614,0.992515,0.2047476,0.5980914,0.3301585,THUMB
0.08363189,0.7170268,-0.146497,-0.3393727,0.2648005,-0.1468861,-0.3900404,0.1865618,-0.1589975,-0.3742259,-0.04162719,-0.03675363,-0.3972261,0.06444167,-0.1215841,0.9929289,0.2053109,0.5979699,0.3304226,THUMB
0.07976394,0.7177301,-0.1415305,-0.3420959,0.2632312,-0.1441901,-0.3925831,0.1848812,-0.156301,-0.3744232,-0.04373672,-0.03496994,-0.3986466,0.06252646,-0.1192722,0.9960806,0.2050748,0.5974047,0.3301392,THUMB
0.08288978,0.718486,-0.1346948,-0.3437444,0.2646216,-0.1418772,-0.3943755,0.1865087,-0.1546429,-0.3752067,-0.04337486,-0.03495336,-0.4001619,0.06369449,-0.1182727,1.002396,0.2042989,0.5961083,0.3292201,THUMB
0.08274449,0.7186642,-0.1409599,-0.3436951,0.2643194,-0.1426685,-0.3943194,0.1859424,-0.1553318,-0.3746157,-0.0439872,-0.03530905,-0.3995985,0.06288832,-0.118836,1.000476,0.2047564,0.5967756,0.3295867,THUMB
0.08366255,0.7195143,-0.1417561,-0.3420869,0.2650469,-0.1421118,-0.3926769,0.1864692,-0.1553,-0.3739791,-0.04384573,-0.03611357,-0.3983469,0.06331084,-0.1192277,0.9979392,0.2057589,0.5982579,0.3302241,THUMB
0.08200976,0.7190526,-0.1475316,-0.341553,0.262822,-0.1436415,-0.3914842,0.1836999,-0.1562462,-0.3734192,-0.04512348,-0.03530431,-0.3973324,0.06116861,-0.1193315,0.9968891,0.2065745,0.5995201,0.3310356,THUMB
0.08181236,0.7180933,-0.1491582,-0.340397,0.2592297,-0.1440355,-0.3893732,0.1791944,-0.1558749,-0.3713524,-0.0476977,-0.0334038,-0.3946845,0.05737327,-0.1184094,1.000794,0.2085491,0.6024892,0.3331626,THUMB
0.09056228,0.7169737,-0.1431898,-0.3366675,0.2619582,-0.1422654,-0.3857679,0.181956,-0.1539246,-0.3693126,-0.04504883,-0.0323988,-0.3911417,0.0600738,-0.1171587,1.004637,0.2096898,0.6052852,0.3353464,THUMB
0.09189628,0.7164632,-0.1417409,-0.3365581,0.2618566,-0.1412594,-0.3854146,0.1817575,-0.1528473,-0.3684136,-0.04537585,-0.03165376,-0.3901434,0.05969133,-0.1164354,1.007021,0.2098767,0.6064034,0.3363632,THUMB
0.09209877,0.716604,-0.1428125,-0.3365863,0.2600032,-0.1411478,-0.3842157,0.1791714,-0.1527843,-0.3668617,-0.0472285,-0.03165068,-0.3883206,0.05717753,-0.1164347,1.010192,0.2106959,0.607836,0.3369363,THUMB
0.09626338,0.716349,-0.1424689,-0.3351741,0.2633585,-0.1412582,-0.3832743,0.1829672,-0.1535713,-0.3672115,-0.04384359,-0.03354006,-0.3882073,0.06081481,-0.1176291,1.007975,0.2101255,0.6056783,0.3352318,THUMB
0.09397361,0.7169358,-0.1434059,-0.3352509,0.2650189,-0.1409549,-0.3836498,0.1849277,-0.1537718,-0.3679304,-0.04242864,-0.03420997,-0.3890575,0.06266746,-0.1180056,1.001848,0.209536,0.6045153,0.33449,THUMB
0.0925939,0.7170789,-0.1458301,-0.3368745,0.2656256,-0.142336,-0.3859309,0.1859421,-0.1547334,-0.3706308,-0.04136392,-0.03400476,-0.3921824,0.06389142,-0.1179293,1.000328,0.2082668,0.6017265,0.3323383,THUMB
0.08968809,0.7175829,-0.1466804,-0.3394456,0.2655538,-0.1415298,-0.3895713,0.1867,-0.1532542,-0.3728676,-0.04108097,-0.03216443,-0.3959785,0.06470826,-0.1160781,0.9999283,0.2066198,0.5991542,0.3309824,THUMB
