THUMB_INDEX_ANGLE,THUMB_DIST,INDEX_MIDDLE_ANGLE,INDEX_DIST,MIDDLE_RING_ANGLE,MIDDLE_DIST,RING_PINKY_ANGLE,RING_DIST,PINKY_DIST,target
1.162215,0.07925518,0.3673254,0.08188742,0.6595784,0.04652802,0.3767631,0.04442774,0.04232506,TWOJUTSU
0.6152984,0.0773537,0.6929928,0.09618046,0.7138823,0.04542435,0.3904831,0.04169701,0.03952578,TWOJUTSU
0.6396534,0.06781521,1.094337,0.1137938,0.7181798,0.04761284,0.4102131,0.04338218,0.0430116,TWOJUTSU
0.713963,0.06795058,1.037324,0.1110172,0.696847,0.05118997,0.387387,0.04436886,0.04682473,TWOJUTSU
0.6846612,0.06845061,0.9783922,0.1161747,0.6452264,0.06005177,0.3543002,0.0478628,0.05455249,TWOJUTSU
0.7333858,0.06661922,1.081365,0.115526,0.7033773,0.04902423,0.3777158,0.04554253,0.04739038,TWOJUTSU
0.6985717,0.06572986,1.184965,0.1144353,0.7612101,0.04714494,0.3833216,0.04408114,0.04305857,TWOJUTSU
0.7367865,0.07043989,1.227105,0.1135161,0.7583781,0.04614456,0.3929741,0.04235397,0.04115171,TWOJUTSU
1.048795,0.08746465,1.233823,0.1139747,0.7362558,0.04639147,0.4084395,0.04125832,0.04057379,TWOJUTSU
1.074059,0.0887512,1.219625,0.1140221,0.7267278,0.04594404,0.3975019,0.0409317,0.04070295,TWOJUTSU
1.170182,0.09233343,1.22643,0.1133053,0.6882796,0.045473,0.357281,0.03978154,0.04044824,TWOJUTSU
1.092348,0.09038097,1.225142,0.1138948,0.6951463,0.04433943,0.3518557,0.03943778,0.03949271,TWOJUTSU
0.9327657,0.087001,1.174579,0.1140977,0.7566267,0.04302954,0.3987919,0.03946038,0.03742177,TWOJUTSU
0.7981138,0.08441834,1.075879,0.1121377,0.7828855,0.04277639,0.4186217,0.03910733,0.0364452,TWOJUTSU
0.7255332,0.08361179,0.9187546,0.1068235,0.8018996,0.04373163,0.4347763,0.03887416,0.03689754,TWOJUTSU
0.7496184,0.08446041,0.8687285,0.1050333,0.7985041,0.04425252,0.4563757,0.03873401,0.03734139,TWOJUTSU
0.7709386,0.0851978,0.7941931,0.1024348,0.7874686,0.04473327,0.4555229,0.0385738,0.03795037,TWOJUTSU
0.8093714,0.08596841,0.7368296,0.1003844,0.7542225,0.04514993,0.4291845,0.0395508,0.0388922,TWOJUTSU
