THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
0.2725723,0.1995623,0.5922659,0.3403267,ZERO
0.3014598,0.2031171,0.5944241,0.341186,ZERO
0.3243082,0.2075585,0.594699,0.3394051,ZERO
0.3134381,0.2064948,0.5914959,0.3350483,ZERO
0.2739723,0.1974611,0.5817462,0.3258941,ZERO
0.2271134,0.1847866,0.5709377,0.3164348,ZERO
0.1954482,0.1786473,0.5643951,0.3115155,ZERO
0.1745028,0.1766258,0.5622631,0.3095728,ZERO
0.1787811,0.178096,0.5636277,0.3109607,ZERO
0.1887208,0.182682,0.5706628,0.3159928,ZERO
0.1993421,0.185927,0.575172,0.319494,ZERO
0.2650756,0.1989649,0.5892651,0.3303127,ZERO
0.3296081,0.2041114,0.5993844,0.3375255,ZERO
0.4466139,0.2149587,0.6205153,0.3507911,ZERO
0.4694742,0.2225586,0.627786,0.3555238,ZERO
0.4642749,0.2227996,0.6266573,0.3556029,ZERO
0.4530154,0.2210712,0.6249678,0.3546556,ZERO
0.4293946,0.2192354,0.621287,0.3527339,ZERO
0.3913862,0.2135778,0.6146456,0.3486269,ZERO
0.3466948,0.2068892,0.6063284,0.3432377,ZERO
0.2696047,0.1946338,0.5911476,0.332558,ZERO
0.2045538,0.1867313,0.5827808,0.3246593,ZERO
0.1706507,0.1842151,0.5807124,0.3224978,ZERO
0.1277142,0.1798382,0.5760601,0.3175979,ZERO
0.1067404,0.1761155,0.5716208,0.3142317,ZERO
0.06895908,0.1694002,0.5612678,0.305983,ZERO
0.04675065,0.1660728,0.5544389,0.300766,ZERO
0.03177153,0.1654135,0.5520893,0.2983937,ZERO
0.02685406,0.1654743,0.5510996,0.2977467,ZERO
0.02668482,0.1659913,0.5527984,0.2986329,ZERO
0.03211863,0.1659574,0.5523017,0.29858,ZERO
0.07249069,0.1673336,0.5542924,0.3011762,ZERO
0.1336884,0.1728406,0.5619979,0.3088216,ZERO
0.1779998,0.1799028,0.5723678,0.3173603,ZERO
0.2243438,0.1904924,0.5843543,0.3262326,ZERO
0.2549653,0.1978818,0.5943268,0.3337151,ZERO
0.3003896,0.2027007,0.603045,0.3408429,ZERO
0.309021,0.2032182,0.6040982,0.3418301,ZERO
0.311279,0.2042966,0.6035413,0.34116,ZERO
0.3214242,0.2037282,0.6026264,0.3408003,ZERO
0.310349,0.2002344,0.5982124,0.3379669,ZERO
0.3371644,0.2018991,0.5988013,0.3385973,ZERO
0.3458058,0.2018762,0.6029739,0.3409932,ZERO
0.331504,0.2022769,0.6031664,0.3406458,ZERO
0.3083441,0.1985918,0.6015828,0.339352,ZERO
0.2804855,0.1964984,0.5991688,0.3376221,ZERO
0.2488547,0.1945583,0.5957507,0.3352942,ZERO
0.22221,0.194137,0.5945972,0.3341301,ZERO
0.2050833,0.1929625,0.5935172,0.3328562,ZERO
0.1975781,0.1912533,0.5901816,0.3300691,ZERO
0.1746638,0.1882809,0.5875942,0.3272751,ZERO
0.153779,0.1851217,0.5838,0.3236244,ZERO
0.1547616,0.1844203,0.582357,0.3222426,ZERO
0.1203197,0.1778482,0.5757641,0.3167379,ZERO
0.1007505,0.1734098,0.5701002,0.312294,ZERO
0.1029106,0.1721443,0.5671045,0.311081,ZERO
0.1084703,0.1737156,0.5680539,0.3129624,ZERO
0.1315545,0.182441,0.5778158,0.3203285,ZERO
0.1707462,0.1937421,0.5867969,0.327675,ZERO
0.2399571,0.2014179,0.5934945,0.3340843,ZERO
0.2960745,0.203858,0.5958543,0.3364719,ZERO
0.3231534,0.2024515,0.5973876,0.3377515,ZERO
0.3664973,0.2023753,0.6012522,0.339971,ZERO
0.3749546,0.2011759,0.6035284,0.3414638,ZERO
0.3912854,0.2005823,0.6110627,0.3461014,ZERO
0.400871,0.2022344,0.610638,0.3459747,ZERO
0.3684729,0.2009401,0.6064734,0.34324,ZERO
0.3027047,0.1979157,0.5988558,0.3382201,ZERO
0.2232467,0.1916777,0.590516,0.3312102,ZERO
0.1909248,0.1909697,0.5884914,0.3291072,ZERO
0.1738431,0.1897291,0.5873243,0.3278453,ZERO
0.1611064,0.1878613,0.5856129,0.3251161,ZERO
0.1464593,0.1824118,0.5804358,0.3208146,ZERO
0.104033,0.173082,0.5662627,0.3096579,ZERO
0.06504459,0.1682843,0.5576437,0.3026491,ZERO
0.04936732,0.1663887,0.5525188,0.2991219,ZERO
0.05459719,0.1664733,0.551094,0.2984616,ZERO
0.07597544,0.1672986,0.5514189,0.2992635,ZERO
0.107899,0.1696736,0.555087,0.3031782,ZERO
0.1623106,0.1747166,0.5639122,0.310477,ZERO
0.2194458,0.1850291,0.5780479,0.3214699,ZERO
0.2646494,0.1898614,0.5850539,0.3272261,ZERO
0.3442357,0.1965543,0.5961215,0.3361068,ZERO
0.4030285,0.1989308,0.6040887,0.3411968,ZERO
0.4292634,0.1990026,0.6080054,0.3427858,ZERO
0.4412578,0.1994618,0.6126081,0.3448396,ZERO
0.4606848,0.2024664,0.6204929,0.3509933,ZERO
0.4590542,0.2032261,0.619733,0.350176,ZERO
0.4532793,0.2039843,0.6182979,0.3497355,ZERO
0.4244432,0.2032025,0.6105743,0.3454518,ZERO
0.3766584,0.1957175,0.6021491,0.3379637,ZERO
0.3266183,0.1906425,0.5937136,0.3321824,ZERO
0.2917343,0.1883582,0.5876604,0.3281911,ZERO
0.2484621,0.1825937,0.5773259,0.3207052,ZERO
0.2216622,0.1793146,0.5735267,0.317567,ZERO
0.1662584,0.1740925,0.5654567,0.3106872,ZERO
0.1407619,0.1725093,0.5624924,0.3076278,ZERO
0.1218048,0.1702079,0.5582947,0.3043923,ZERO
0.1121147,0.1691922,0.5556253,0.30206,ZERO
0.1078884,0.1690063,0.5559406,0.3013658,ZERO
0.09615592,0.1691377,0.5571688,0.3008616,ZERO
0.09180769,0.1689038,0.557097,0.3007095,ZERO
0.08075538,0.1686427,0.5545319,0.2987884,ZERO
0.06305169,0.1685975,0.5538594,0.2980224,ZERO
0.03730059,0.1680757,0.55211,0.297313,ZERO
0.02019772,0.167442,0.5516112,0.2964687,ZERO
0.01004844,0.1668502,0.5499434,0.2959515,ZERO
0.03301018,0.1670822,0.5503559,0.297447,ZERO
0.04939993,0.1673995,0.5511429,0.2992665,ZERO
0.08187445,0.1702428,0.5581806,0.3058916,ZERO
0.1331992,0.1754936,0.5698267,0.3146996,ZERO
0.2008406,0.1833773,0.5837634,0.3254635,ZERO
0.249107,0.194847,0.5976487,0.3349262,ZERO
0.2885799,0.2005775,0.6011658,0.3377911,ZERO
0.3253067,0.2017734,0.6022373,0.3389071,ZERO
0.3559424,0.2029155,0.6055122,0.3416869,ZERO
0.3870915,0.2052077,0.6077364,0.343121,ZERO
0.4200904,0.2062278,0.6114167,0.3453701,ZERO
0.4461125,0.208212,0.613835,0.3469184,ZERO
0.4523797,0.2089043,0.6181768,0.3496896,ZERO
0.450156,0.2097797,0.6184481,0.350436,ZERO
0.4269519,0.2077311,0.6128932,0.3475399,ZERO
0.3920363,0.2017198,0.6068072,0.3419216,ZERO
0.3573756,0.1983739,0.6012229,0.3383045,ZERO
0.3077164,0.1930961,0.5927401,0.3327522,ZERO
0.2684885,0.1903434,0.588182,0.3289765,ZERO
0.2361324,0.1872741,0.5854238,0.3270744,ZERO
0.1789426,0.1805034,0.576027,0.3196029,ZERO
0.1214152,0.1731927,0.5654504,0.3114654,ZERO
0.09735352,0.1701812,0.560421,0.3071976,ZERO
0.0882462,0.1681804,0.5538654,0.3020913,ZERO
0.08661959,0.168567,0.5540769,0.3020544,ZERO
0.07846262,0.1680514,0.5525419,0.3013803,ZERO
0.06114811,0.1668717,0.5495744,0.2997935,ZERO
0.04967558,0.1669671,0.5487643,0.2997007,ZERO
0.05876677,0.1661618,0.5481027,0.2991666,ZERO
0.04794576,0.1656067,0.5480185,0.298617,ZERO
0.05990954,0.1663513,0.5502127,0.2998666,ZERO
0.04850709,0.1661593,0.5497694,0.2999606,ZERO
0.05300778,0.1678353,0.5525969,0.302379,ZERO
0.07395721,0.1712439,0.5586897,0.3067747,ZERO
0.1048244,0.1743617,0.5637199,0.3108632,ZERO
0.1468888,0.1809296,0.5737057,0.3174944,ZERO
0.2108788,0.1943825,0.5894704,0.3275158,ZERO
0.2314402,0.1978885,0.5930213,0.3300067,ZERO
0.2916365,0.2020863,0.5981798,0.3342377,ZERO
0.3278886,0.2042008,0.5990184,0.3357403,ZERO
0.3256739,0.2017552,0.6001326,0.3371844,ZERO
0.3311211,0.198667,0.5968729,0.3353546,ZERO
0.3517893,0.1976931,0.5939764,0.333041,ZERO
0.3824416,0.200169,0.5968007,0.3342071,ZERO
0.4042726,0.2034632,0.6005989,0.3366805,ZERO
0.42294,0.2062001,0.6055482,0.3402779,ZERO
