pTHUMB_BONE1_X,rTHUMB_BONE1_X,pTHUMB_BONE1_Y,rTHUMB_BONE1_Y,pTHUMB_BONE1_Z,rTHUMB_BONE1_Z,pTHUMB_BONE2_X,rTHUMB_BONE2_X,pTHUMB_BONE2_Y,rTHUMB_BONE2_Y,pTHUMB_BONE2_Z,rTHUMB_BONE2_Z,pTHUMB_BONE3_X,rTHUMB_BONE3_X,pTHUMB_BONE3_Y,rTHUMB_BONE3_Y,pTHUMB_BONE3_Z,rTHUMB_BONE3_Z,pINDEX_BONE1_X,rINDEX_BONE1_X,pINDEX_BONE1_Y,rINDEX_BONE1_Y,pINDEX_BONE1_Z,rINDEX_BONE1_Z,pINDEX_BONE2_X,rINDEX_BONE2_X,pINDEX_BONE2_Y,rINDEX_BONE2_Y,pINDEX_BONE2_Z,rINDEX_BONE2_Z,pINDEX_BONE3_X,rINDEX_BONE3_X,pINDEX_BONE3_Y,rINDEX_BONE3_Y,pINDEX_BONE3_Z,rINDEX_BONE3_Z,pMIDDLE_BONE1_X,rMIDDLE_BONE1_X,pMIDDLE_BONE1_Y,rMIDDLE_BONE1_Y,pMIDDLE_BONE1_Z,rMIDDLE_BONE1_Z,pMIDDLE_BONE2_X,rMIDDLE_BONE2_X,pMIDDLE_BONE2_Y,rMIDDLE_BONE2_Y,pMIDDLE_BONE2_Z,rMIDDLE_BONE2_Z,pMIDDLE_BONE3_X,rMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,rMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,rMIDDLE_BONE3_Z,pRING_BONE1_X,rRING_BONE1_X,pRING_BONE1_Y,rRING_BONE1_Y,pRING_BONE1_Z,rRING_BONE1_Z,pRING_BONE2_X,rRING_BONE2_X,pRING_BONE2_Y,rRING_BONE2_Y,pRING_BONE2_Z,rRING_BONE2_Z,pRING_BONE3_X,rRING_BONE3_X,pRING_BONE3_Y,rRING_BONE3_Y,pRING_BONE3_Z,rRING_BONE3_Z,pPINKY_BONE1_X,rPINKY_BONE1_X,pPINKY_BONE1_Y,rPINKY_BONE1_Y,pPINKY_BONE1_Z,rPINKY_BONE1_Z,pPINKY_BONE2_X,rPINKY_BONE2_X,pPINKY_BONE2_Y,rPINKY_BONE2_Y,pPINKY_BONE2_Z,rPINKY_BONE2_Z,pPINKY_BONE3_X,rPINKY_BONE3_X,pPINKY_BONE3_Y,rPINKY_BONE3_Y,pPINKY_BONE3_Z,rPINKY_BONE3_Z,target
1.479315,301.4404,1.52822,163.3512,-1.904262,145.6479,1.481904,290.3928,1.562727,189.0483,-1.921242,122.356,1.478319,287.556,1.587847,236.321,-1.928485,77.37761,1.502282,277.7139,1.601067,125.2968,-1.89158,113.6386,1.504406,278.3821,1.631846,181.8907,-1.894753,57.51569,1.50397,280.2365,1.6507,195.8026,-1.897736,43.78355,1.475799,341.2267,1.590186,225.6034,-1.886589,11.34526,1.455105,63.35924,1.5856,251.5014,-1.903244,24.54325,1.450288,70.96439,1.56561,15.97152,-1.902389,145.1772,1.455915,334.7838,1.581052,215.5132,-1.854251,1.203956,1.444372,57.98638,1.580349,217.7693,-1.8701,2.054326,1.441986,81.65729,1.564776,28.57924,-1.872877,172.4736,1.465347,340.2282,1.586054,224.0634,-1.868905,2.472136,1.447607,64.5931,1.581467,229.8066,-1.886443,5.428644,1.444672,75.50854,1.561508,35.85886,-1.88824,170.6659,ONE
1.487042,305.9171,1.54142,161.6217,-1.909652,147.3312,1.491379,295.1615,1.574424,179.4658,-1.929229,131.8629,1.489022,288.4612,1.598989,224.8539,-1.938372,89.35873,1.513566,283.603,1.613488,139.9752,-1.905498,98.76287,1.517107,284.2599,1.643667,168.8727,-1.911785,70.68135,1.517632,285.6089,1.662132,180.1747,-1.916618,59.75782,1.486792,343.2559,1.604634,223.4687,-1.899498,18.04095,1.465934,61.97621,1.599442,264.5223,-1.915597,39.13903,1.460297,64.58858,1.57996,8.012073,-1.912491,136.2824,1.466519,338.1848,1.599906,212.9787,-1.866397,7.558071,1.454979,61.34106,1.598044,228.8105,-1.882007,14.75068,1.451935,75.84585,1.58236,6.601457,-1.882929,150.0417,1.476187,342.3553,1.602962,221.8961,-1.881472,9.11424,1.458181,65.1421,1.597596,243.9247,-1.898515,21.04451,1.454258,70.72993,1.577792,18.78167,-1.898182,152.7808,ONE
1.488702,314.7814,1.579535,158.6575,-1.899437,160.7671,1.496424,301.6939,1.609369,167.474,-1.922695,153.7915,1.497549,288.1281,1.633096,191.5212,-1.934095,131.775,1.529511,294.5938,1.644452,134.3908,-1.905502,111.7869,1.537723,293.0333,1.672835,148.3703,-1.915021,98.98624,1.541161,292.7339,1.690428,158.0664,-1.921584,90.04972,1.502962,338.3966,1.64192,225.5995,-1.896,30.93104,1.479636,49.36299,1.640146,277.3825,-1.909414,47.20765,1.470327,59.70458,1.622644,349.4149,-1.903998,108.6714,1.486393,335.4239,1.644408,213.6519,-1.860684,21.88858,1.472922,52.42655,1.64404,251.0696,-1.874867,33.78034,1.466567,68.45162,1.629441,337.2685,-1.873955,112.6192,1.49452,337.8424,1.644022,223.7621,-1.876921,22.43047,1.473864,54.55001,1.641377,264.656,-1.891449,37.53881,1.465987,66.53284,1.622995,352.1366,-1.888729,117.4524,ONE
1.486376,316.9232,1.593568,157.1778,-1.887304,164.1146,1.49508,302.1512,1.622716,165.1227,-1.910981,157.932,1.496745,286.6842,1.646458,189.0883,-1.922171,135.8596,1.528314,293.87,1.657907,133.1491,-1.893105,114.7452,1.536681,292.329,1.686446,144.074,-1.902052,104.6911,1.540329,291.5933,1.704152,156.6531,-1.908167,93.01764,1.502294,337.2667,1.655719,226.7696,-1.883288,32.13143,1.478459,47.30533,1.654667,278.0127,-1.89614,46.33753,1.468678,59.47719,1.637496,347.7058,-1.890579,105.0135,1.48651,335.2802,1.658343,214.9781,-1.847644,22.93247,1.472513,50.68058,1.658184,252.5304,-1.86155,33.95761,1.465807,67.97909,1.643781,335.6735,-1.860546,109.2695,1.494298,337.0926,1.657848,225.027,-1.86402,23.4284,1.473117,52.99541,1.655658,266.0828,-1.878014,37.4814,1.46494,66.05086,1.637511,352.2086,-1.875062,115.5447,ONE
1.478992,310.9085,1.607174,164.8875,-1.868085,155.5528,1.482149,293.0606,1.639159,187.3301,-1.888826,136.2206,1.47827,286.9346,1.664042,258.3062,-1.895597,68.5015,1.514974,288.4861,1.675084,136.3067,-1.872657,111.4402,1.520905,287.2892,1.704632,151.7284,-1.880146,96.75485,1.523047,287.2959,1.722868,166.0567,-1.885357,83.06789,1.488835,340.9612,1.669785,230.0707,-1.862957,25.50259,1.465018,54.20334,1.666386,277.0771,-1.875547,44.09355,1.457357,62.58235,1.647986,359.7169,-1.870593,117.8871,1.473429,338.5894,1.669578,218.7071,-1.827179,16.321,1.45918,55.91555,1.668055,248.4242,-1.840938,27.82951,1.453966,71.96661,1.652967,348.4416,-1.840384,122.3152,1.48106,340.6229,1.670537,228.0235,-1.843638,17.6623,1.459836,58.13166,1.666509,262.7723,-1.857541,32.82768,1.453324,68.78107,1.647554,3.755907,-1.855269,127.7389,ONE
1.474103,307.2849,1.607634,172.3204,-1.861427,145.6658,1.472992,291.5273,1.640698,210.9671,-1.880268,111.3879,1.46556,294.2649,1.665255,270.046,-1.885232,56.24101,1.504813,284.7622,1.678111,144.9557,-1.864885,100.8157,1.508426,284.6876,1.708167,165.6402,-1.871784,80.79642,1.509076,285.9552,1.726595,181.4111,-1.876707,65.57819,1.478851,344.8403,1.670256,229.8747,-1.856021,21.87986,1.455493,58.32626,1.664888,274.5353,-1.869355,43.2329,1.449035,63.14245,1.645923,6.303222,-1.864901,127.2391,1.462649,342.1,1.668158,219.1409,-1.82062,11.47124,1.448745,59.25239,1.665408,241.6133,-1.834903,21.72226,1.444688,74.02979,1.649955,0.3870559,-1.834908,136.55,1.470565,344.4719,1.670053,228.0089,-1.836866,13.51946,1.449926,62.29561,1.664237,257.8105,-1.851458,28.97522,1.444852,69.20889,1.644797,14.19024,-1.849739,140.6183,ONE
1.462944,305.7639,1.594556,180.235,-1.854746,130.7496,1.45838,296.4548,1.62744,219.8698,-1.873649,96.34883,1.448177,301.8829,1.650772,264.4069,-1.879604,56.95818,1.485396,282.2448,1.668292,163.1996,-1.856147,76.45916,1.48647,284.2105,1.698577,183.0381,-1.862928,57.13418,1.485662,287.1989,1.716981,196.4511,-1.867915,44.2132,1.459334,350.4491,1.657055,226.4236,-1.849378,14.72136,1.438153,66.46951,1.648687,265.3942,-1.864969,38.87955,1.434014,64.05019,1.628794,16.78516,-1.861746,145.0627,1.440635,346.3101,1.652688,215.6384,-1.815702,5.199944,1.428441,63.8885,1.648431,227.2628,-1.831332,11.54123,1.426167,74.67313,1.632604,18.05591,-1.832031,160.5409,1.449613,350.0532,1.655577,224.0797,-1.8312,8.045568,1.431159,68.62248,1.647207,246.3067,-1.847715,22.22186,1.428258,68.04744,1.627242,25.27727,-1.846669,158.361,ONE
1.457424,303.7056,1.581805,184.1089,-1.861448,125.3578,1.451326,296.9212,1.615104,226.4319,-1.879165,88.34057,1.439806,305.8298,1.637963,269.9087,-1.884101,50.63533,1.474261,277.6928,1.657284,175.8577,-1.856926,63.53687,1.473735,280.8152,1.687986,200.0006,-1.861555,39.69046,1.471913,285.0534,1.706615,212.5202,-1.86526,27.47778,1.448392,350.3511,1.643858,228.8453,-1.850574,4.40125,1.427761,69.35426,1.635279,241.2027,-1.867287,12.3906,1.425606,69.12341,1.614833,38.11064,-1.867084,167.7424,1.430307,345.1914,1.635685,218.4406,-1.817465,354.942,1.418459,61.78215,1.631891,207.9718,-1.833642,349.6147,1.417991,76.96243,1.61614,58.8261,-1.836491,202.1994,1.439003,349.7071,1.640372,226.1824,-1.832685,358.8934,1.421116,68.61547,1.632127,223.2037,-1.850184,357.0128,1.420068,70.7767,1.612019,49.10969,-1.851729,183.3085,ONE
1.454103,303.0393,1.57069,185.2785,-1.869364,123.9151,1.447012,297.3273,1.604087,234.9459,-1.886072,80.25955,1.434406,308.1145,1.626635,273.715,-1.889801,47.14151,1.470456,277.0804,1.646319,173.1772,-1.863314,65.88492,1.469985,280.6056,1.677056,201.6922,-1.867662,37.68251,1.468063,285.1474,1.69569,214.1739,-1.871286,25.5029,1.444376,350.4483,1.632363,228.9258,-1.857148,2.992707,1.423815,68.95198,1.623779,237.1217,-1.874173,8.241914,1.421814,69.94306,1.60332,41.30526,-1.874498,171.366,1.426253,344.058,1.623645,218.9673,-1.824164,352.5724,1.414526,60.42739,1.620266,204.1626,-1.84048,345.4121,1.414409,76.70297,1.604624,68.92657,-1.843897,212.7138,1.434937,349.3344,1.628572,226.4858,-1.839294,356.7236,1.417229,67.89297,1.620518,217.9185,-1.857098,351.417,1.416605,70.72818,1.600471,55.13746,-1.859274,189.7978,ONE
1.453497,301.4213,1.550486,183.0486,-1.895398,120.8142,1.447488,296.9891,1.584273,228.5361,-1.912172,80.58974,1.4353,309.0104,1.606757,269.8254,-1.916936,45.33632,1.467017,277.2685,1.62613,185.7644,-1.889032,48.78774,1.465689,281.9866,1.656806,207.5581,-1.893596,27.27592,1.463382,285.8766,1.67536,214.68,-1.897436,20.35906,1.441411,352.1583,1.611299,223.5048,-1.885149,5.84065,1.422817,73.46008,1.601723,244.2552,-1.902811,20.74009,1.421462,64.17693,1.581272,32.2174,-1.901233,166.6181,1.420934,345.5166,1.602209,213.8554,-1.853505,354.5616,1.410727,64.99959,1.598097,201.094,-1.870237,347.46,1.411113,73.33301,1.582246,50.41756,-1.872349,198.659,1.430628,351.0506,1.607275,221.3732,-1.867975,358.4514,1.414839,72.48889,1.598262,216.2774,-1.886419,354.9105,1.414974,66.5686,1.578095,44.66464,-1.887083,183.849,ONE
