pTHUMB_BONE1_X,rTHUMB_BONE1_X,pTHUMB_BONE1_Y,rTHUMB_BONE1_Y,pTHUMB_BONE1_Z,rTHUMB_BONE1_Z,pTHUMB_BONE2_X,rTHUMB_BONE2_X,pTHUMB_BONE2_Y,rTHUMB_BONE2_Y,pTHUMB_BONE2_Z,rTHUMB_BONE2_Z,pTHUMB_BONE3_X,rTHUMB_BONE3_X,pTHUMB_BONE3_Y,rTHUMB_BONE3_Y,pTHUMB_BONE3_Z,rTHUMB_BONE3_Z,pINDEX_BONE1_X,rINDEX_BONE1_X,pINDEX_BONE1_Y,rINDEX_BONE1_Y,pINDEX_BONE1_Z,rINDEX_BONE1_Z,pINDEX_BONE2_X,rINDEX_BONE2_X,pINDEX_BONE2_Y,rINDEX_BONE2_Y,pINDEX_BONE2_Z,rINDEX_BONE2_Z,pINDEX_BONE3_X,rINDEX_BONE3_X,pINDEX_BONE3_Y,rINDEX_BONE3_Y,pINDEX_BONE3_Z,rINDEX_BONE3_Z,pMIDDLE_BONE1_X,rMIDDLE_BONE1_X,pMIDDLE_BONE1_Y,rMIDDLE_BONE1_Y,pMIDDLE_BONE1_Z,rMIDDLE_BONE1_Z,pMIDDLE_BONE2_X,rMIDDLE_BONE2_X,pMIDDLE_BONE2_Y,rMIDDLE_BONE2_Y,pMIDDLE_BONE2_Z,rMIDDLE_BONE2_Z,pMIDDLE_BONE3_X,rMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,rMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,rMIDDLE_BONE3_Z,pRING_BONE1_X,rRING_BONE1_X,pRING_BONE1_Y,rRING_BONE1_Y,pRING_BONE1_Z,rRING_BONE1_Z,pRING_BONE2_X,rRING_BONE2_X,pRING_BONE2_Y,rRING_BONE2_Y,pRING_BONE2_Z,rRING_BONE2_Z,pRING_BONE3_X,rRING_BONE3_X,pRING_BONE3_Y,rRING_BONE3_Y,pRING_BONE3_Z,rRING_BONE3_Z,pPINKY_BONE1_X,rPINKY_BONE1_X,pPINKY_BONE1_Y,rPINKY_BONE1_Y,pPINKY_BONE1_Z,rPINKY_BONE1_Z,pPINKY_BONE2_X,rPINKY_BONE2_X,pPINKY_BONE2_Y,rPINKY_BONE2_Y,pPINKY_BONE2_Z,rPINKY_BONE2_Z,pPINKY_BONE3_X,rPINKY_BONE3_X,pPINKY_BONE3_Y,rPINKY_BONE3_Y,pPINKY_BONE3_Z,rPINKY_BONE3_Z,target
1.605903,313.2033,1.569732,150.8384,-1.849692,103.1551,1.61224,313.7731,1.600333,189.6599,-1.876377,74.47292,1.604763,322.7188,1.619924,215.7627,-1.895765,56.85162,1.593506,5.233154,1.631936,189.6566,-1.865418,355.4764,1.59063,82.95148,1.617867,150.519,-1.888021,320.2465,1.592666,60.95379,1.598229,18.20752,-1.885337,189.3014,1.576099,4.02238,1.631872,178.8397,-1.86336,356.7739,1.577432,82.77528,1.615954,152.7613,-1.889243,333.5322,1.578632,60.43103,1.593485,4.73036,-1.886173,186.5237,1.538645,358.9686,1.617037,169.3413,-1.852222,345.2411,1.544774,70.67867,1.608059,120.3737,-1.871424,309.6836,1.548979,63.70317,1.590952,21.25038,-1.869478,215.0837,1.555811,3.117824,1.625162,176.4802,-1.85728,350.0314,1.559687,77.99034,1.610282,121.4672,-1.881287,303.8664,1.563357,60.1523,1.588439,14.82152,-1.87826,200.3167,CLOSE
1.587395,318.1141,1.584179,141.8776,-1.855594,183.3459,1.603001,290.599,1.616933,137.3812,-1.874675,187.1497,1.606119,282.2373,1.644527,335.8989,-1.876859,347.8169,1.623478,315.7557,1.63947,234.8353,-1.845247,19.04822,1.601074,35.53741,1.647492,258.2527,-1.856202,16.6813,1.588279,68.37193,1.632369,285.6378,-1.857352,39.30297,1.617253,318.8383,1.644624,221.6905,-1.829373,27.39448,1.593651,34.53509,1.652483,255.2283,-1.846045,24.84992,1.578456,64.78955,1.635747,292.1047,-1.847525,54.34634,1.595963,317.6448,1.642264,205.9597,-1.793579,26.82245,1.583163,32.5166,1.648973,237.7879,-1.809859,23.27644,1.572305,64.07258,1.635834,271.3752,-1.814189,49.62888,1.606962,317.6115,1.644313,217.4891,-1.809785,23.69041,1.586321,34.85748,1.65151,246.4525,-1.827566,21.18628,1.57223,67.33175,1.634803,281.9769,-1.831379,50.29507,CLOSE
1.575398,317.8259,1.614691,122.6631,-1.861666,210.2235,1.596607,292.0365,1.647423,60.63789,-1.868481,263.8652,1.600045,317.7242,1.671354,345.4644,-1.856838,329.7235,1.613125,307.3123,1.663478,250.3245,-1.840575,10.486,1.5905,32.4084,1.674201,262.7391,-1.84631,7.507912,1.57736,70.17336,1.65953,276.6269,-1.847275,18.97911,1.607912,307.795,1.664329,236.0752,-1.822996,15.43978,1.583754,31.70656,1.676027,254.2502,-1.834647,11.0563,1.5686,69.06523,1.659602,273.9978,-1.83773,27.16882,1.589515,301.0141,1.654677,214.0746,-1.787093,21.21491,1.576735,23.51575,1.66605,237.2124,-1.79963,11.73224,1.565079,60.93117,1.654491,252.4377,-1.805816,22.56643,1.59894,305.1404,1.659663,231.2281,-1.803352,11.26544,1.577857,29.68059,1.671197,244.1772,-1.81679,7.436226,1.563526,68.46119,1.65548,257.14,-1.822861,17.8347,CLOSE
1.530822,315.0834,1.638115,124.2538,-1.896739,195.9132,1.54835,281.462,1.672653,58.193,-1.904879,257.6959,1.547915,306.1974,1.699106,331.3582,-1.896937,340.8068,1.556339,320.8509,1.694355,238.3759,-1.878031,23.69778,1.533101,43.32058,1.699687,271.8828,-1.886579,25.36648,1.522964,71.52235,1.683102,332.8607,-1.883855,79.55099,1.548167,321.6545,1.696001,229.0424,-1.861122,15.71403,1.524294,46.47676,1.700699,252.1747,-1.87669,17.96576,1.513535,77.5695,1.680985,319.4074,-1.878172,80.6832,1.526468,314.42,1.687336,212.9574,-1.827023,12.9537,1.513754,38.34178,1.693974,229.5051,-1.842563,11.53925,1.505721,75.65484,1.679389,260.6898,-1.847952,39.28943,1.537146,319.4781,1.691864,225.4076,-1.842459,8.826316,1.516556,45.34354,1.696582,237.9948,-1.859741,9.552365,1.506997,82.18588,1.677249,290.0133,-1.864523,59.0808,CLOSE
1.468772,301.0575,1.651149,177.0259,-1.951156,146.7511,1.463294,291.2198,1.68847,278.2897,-1.963062,51.3938,1.45049,322.6345,1.711652,314.6758,-1.955539,20.85402,1.476264,350.4447,1.710059,248.968,-1.960748,30.85358,1.451154,55.27421,1.703624,312.3707,-1.963735,62.58281,1.447741,54.27825,1.68658,20.04244,-1.954309,119.9967,1.470582,353.3165,1.714134,241.6381,-1.943408,18.63727,1.44401,66.28156,1.703813,293.5078,-1.952586,52.09599,1.440697,61.43841,1.68232,25.9469,-1.946198,138.4074,1.459471,345.7149,1.71194,228.903,-1.904064,7.58571,1.442587,64.955,1.707392,246.8205,-1.917088,17.59566,1.439476,75.80787,1.689994,20.10851,-1.916731,148.5311,1.465044,351.4609,1.713522,238.2343,-1.922302,10.03653,1.441358,70.30193,1.703694,269.0018,-1.934132,30.75632,1.438665,67.73151,1.681779,34.4419,-1.931264,152.9422,CLOSE
1.423055,315.285,1.638085,234.0481,-2.007584,91.77961,1.394762,324.9929,1.665657,281.6319,-2.015215,60.13133,1.372427,346.6447,1.678317,312.7804,-2.004583,46.88928,1.415774,15.21409,1.693302,246.5755,-2.032673,29.88031,1.394258,60.89538,1.676906,337.7733,-2.035526,98.56236,1.395016,42.3214,1.660401,28.01296,-2.024392,139.4082,1.407742,18.66639,1.697115,238.9652,-2.016267,15.56573,1.386957,74.16924,1.675452,345.7839,-2.024402,111.1595,1.389905,47.33531,1.65461,37.27554,-2.015482,157.9429,1.395083,8.33089,1.697298,227.935,-1.977071,353.071,1.381646,79.49644,1.684961,188.4723,-1.990704,319.0745,1.384861,63.34829,1.667418,62.78141,-1.990699,195.4409,1.401278,16.03808,1.697832,235.3757,-1.995517,5.467985,1.382932,84.5066,1.677625,340.5696,-2.006616,106.6394,1.38666,52.82726,1.656137,46.87825,-2.001455,171.2662,CLOSE
1.415098,345.3676,1.605341,215.1566,-2.061718,98.56444,1.387075,343.2162,1.616623,238.8269,-2.090005,92.06859,1.361566,344.4286,1.624774,269.495,-2.098645,83.33037,1.406886,33.44917,1.648738,230.0494,-2.10853,33.02584,1.389762,60.04216,1.626184,327.9787,-2.114992,114.4062,1.387298,38.33008,1.610244,6.528666,-2.103089,144.5711,1.392758,38.42504,1.654547,222.7353,-2.097414,18.10127,1.378994,68.76722,1.626009,351.0198,-2.106291,137.7718,1.38052,40.47221,1.606446,18.88818,-2.094313,161.3395,1.367231,29.38474,1.662103,211.0191,-2.06513,352.3909,1.359906,82.95084,1.643523,144.8138,-2.079466,289.9048,1.363909,57.8114,1.626338,45.40461,-2.077199,192.5104,1.379057,34.82122,1.65977,219.0497,-2.080871,6.786889,1.367345,80.58178,1.633061,359.1766,-2.092977,143.6441,1.370413,47.47292,1.612289,29.062,-2.085106,171.7488,CLOSE
1.428536,343.3822,1.58995,193.2732,-2.071905,100.0665,1.413194,340.813,1.602754,217.2331,-2.108151,92.60204,1.392752,342.3286,1.612008,250.0397,-2.12496,81.96905,1.434128,29.14307,1.632739,212.8707,-2.120411,31.99323,1.419032,60.94169,1.611484,305.9947,-2.132854,107.6897,1.413087,39.91495,1.595263,350.0576,-2.122842,142.8938,1.417429,34.65731,1.639251,206.7014,-2.113986,18.60731,1.405872,69.28198,1.611953,329.8835,-2.127491,132.1107,1.403607,40.80089,1.592302,2.2843,-2.115907,159.7151,1.383797,26.31709,1.648126,195.8827,-2.090127,354.9141,1.380012,84.69049,1.630359,139.0209,-2.106226,300.7711,1.382559,59.10958,1.613039,25.80396,-2.102889,188.9105,1.399686,31.50203,1.64518,203.3452,-2.101973,8.801399,1.390814,80.33047,1.619577,328.1778,-2.117653,129.057,1.39063,49.38729,1.598604,9.894135,-2.109598,168.4415,CLOSE
1.438342,331.7177,1.579387,169.0783,-2.06072,111.857,1.437589,325.1484,1.601082,200.3429,-2.095593,95.17134,1.423651,329.3979,1.616959,242.3322,-2.113596,71.71817,1.462719,12.67844,1.62773,197.1476,-2.097704,38.15078,1.449072,52.7947,1.61323,271.4667,-2.117772,85.30147,1.438018,41.44184,1.597777,325.5388,-2.112242,126.4968,1.445999,19.61707,1.636201,192.9995,-2.094183,28.01297,1.434562,63.26383,1.615181,284.611,-2.114923,100.5209,1.4255,41.75623,1.596011,336.7409,-2.106775,143.6407,1.408403,13.85236,1.647554,183.6056,-2.077436,5.052661,1.406416,81.37393,1.633501,216.7485,-2.095949,34.66869,1.405081,58.43408,1.6163,354.3774,-2.092593,170.6307,1.426528,17.72838,1.643381,190.4146,-2.085588,18.59823,1.418396,72.32098,1.623162,275.8311,-2.106321,91.21762,1.41234,49.34806,1.60265,342.7704,-2.100007,152.2262,CLOSE
1.493901,312.9584,1.552363,132.8654,-2.010998,153.0259,1.507266,290.4578,1.586734,172.7893,-2.028421,118.0414,1.502652,299.515,1.612981,257.632,-2.035587,38.5,1.520221,334.9155,1.611872,203.6676,-2.018126,24.87858,1.50598,55.21506,1.611011,251.1797,-2.037946,41.90282,1.496998,67.16866,1.593089,315.7259,-2.037694,100.0902,1.506547,343.2258,1.619085,196.0633,-2.009943,26.27493,1.492905,56.60746,1.614141,249.3911,-2.034601,50.35613,1.482806,61.96332,1.593801,323.2758,-2.033715,116.1656,1.472654,343.9519,1.623051,183.8195,-1.987376,21.9732,1.467693,58.38548,1.619638,228.9212,-2.007506,43.28822,1.460932,66.94179,1.603269,304.6741,-2.008863,112.7548,1.489267,343.5371,1.62239,192.2915,-1.997634,24.32625,1.47819,57.70943,1.617,242.5173,-2.02173,47.73329,1.468647,64.48131,1.596704,315.1671,-2.02218,113.3608,CLOSE
