THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
58.41524,12.28548,16.81552,20.70361,THUMB
58.10303,12.32818,16.8291,20.83663,THUMB
58.21714,12.30874,16.87275,20.79811,THUMB
58.87313,11.98097,16.51855,20.41745,THUMB
59.35662,11.77267,16.25853,20.09662,THUMB
59.62532,11.83636,16.21601,20.03568,THUMB
59.49935,11.84378,16.2741,20.08576,THUMB
59.23801,11.78614,16.32333,20.09314,THUMB
59.10612,11.84072,16.41518,20.18071,THUMB
59.09817,11.97098,16.54941,20.2876,THUMB
59.02303,12.02538,16.61551,20.34904,THUMB
59.48035,12.04207,16.60986,20.35514,THUMB
60.21627,12.02382,16.55044,20.39264,THUMB
60.51381,12.00185,16.52943,20.41378,THUMB
60.23038,12.02115,16.46308,20.47485,THUMB
59.97016,12.11183,16.46346,20.55783,THUMB
59.69474,12.2139,16.56525,20.68234,THUMB
59.48898,12.30112,16.75619,20.83032,THUMB
59.60565,12.35804,16.82055,20.91137,THUMB
59.62609,12.39371,16.84542,20.92582,THUMB
59.73524,12.426,16.86227,20.90687,THUMB
59.7487,12.43957,16.89578,20.93124,THUMB
59.80219,12.39039,16.84,20.90213,THUMB
60.15749,12.69274,17.27201,21.00371,THUMB
60.50036,12.9124,17.76755,20.99995,THUMB
60.8628,12.84245,17.88752,20.80781,THUMB
61.03264,12.69451,17.76015,20.61533,THUMB
60.87659,12.35341,17.18294,20.53472,THUMB
60.73026,12.09584,16.75634,20.50973,THUMB
60.6685,11.98495,16.53891,20.48394,THUMB
60.68185,11.96552,16.40087,20.45282,THUMB
60.72971,12.04989,16.41298,20.47554,THUMB
60.59077,12.24255,16.47814,20.5554,THUMB
60.4108,12.29251,16.52901,20.58702,THUMB
60.28238,12.32346,16.58876,20.61084,THUMB
60.23337,12.34076,16.68797,20.61299,THUMB
60.40338,12.34744,16.76765,20.61703,THUMB
60.5219,12.34747,16.92726,20.72456,THUMB
60.57851,12.35724,17.02664,20.79925,THUMB
60.53809,12.33267,16.99497,20.77263,THUMB
60.51843,12.28346,16.87718,20.66935,THUMB
60.79528,12.14577,16.65765,20.43846,THUMB
60.97729,12.16317,16.66243,20.45287,THUMB
61.00119,12.21869,16.72464,20.49697,THUMB
61.25678,12.38216,16.83677,20.73342,THUMB
61.67456,12.48941,16.94769,21.04552,THUMB
61.72164,12.49961,17.09986,21.27618,THUMB
61.62948,12.84621,17.84551,22.05291,THUMB
62.00565,13.73273,18.57896,22.73527,THUMB
62.0057,14.42778,19.06004,23.06165,THUMB
61.7253,14.69681,19.14864,23.04481,THUMB
61.54687,14.7323,19.02858,22.85317,THUMB
61.57201,14.73431,18.93456,22.78108,THUMB
60.92771,14.78748,19.01097,22.84303,THUMB
59.62144,14.89817,19.40342,23.23802,THUMB
58.46843,15.05434,19.91179,23.32834,THUMB
57.47914,15.38814,20.33285,23.27616,THUMB
54.82626,16.03642,21.66064,24.33694,THUMB
53.31867,15.32909,24.96578,26.02796,THUMB
54.80831,14.55491,28.04472,26.14793,THUMB
56.87877,14.05479,26.62326,26.94306,THUMB
51.82465,15.086,28.08621,25.97351,THUMB
40.43367,18.36795,27.40768,26.8062,THUMB
35.43516,19.42517,26.14262,27.97364,THUMB
34.78623,18.66781,24.4152,27.85511,THUMB
36.17838,17.61824,23.71104,26.93537,THUMB
36.79227,17.07533,24.25297,26.938,THUMB
42.09844,16.08087,24.09909,26.71038,THUMB
45.73794,15.6289,23.82708,26.21533,THUMB
46.60807,15.48794,24.52641,26.37261,THUMB
46.88372,16.22986,25.19835,27.0738,THUMB
44.24586,17.68853,26.80106,27.65754,THUMB
40.38969,18.82122,27.67302,28.7916,THUMB
38.45348,19.93192,27.56627,29.61131,THUMB
38.38647,20.30625,28.2749,28.93953,THUMB
38.75939,20.92874,28.14116,28.20189,THUMB
39.41961,20.91582,27.51977,27.70334,THUMB
39.71696,20.70693,26.42991,27.7559,THUMB
39.47386,20.04737,26.12986,28.02493,THUMB
40.13165,19.75129,26.03252,27.78964,THUMB
42.05305,19.91336,26.17095,27.22372,THUMB
44.93495,19.48368,26.33171,27.14705,THUMB
46.17863,19.19582,26.35415,27.14356,THUMB
46.45855,19.30445,26.20444,26.972,THUMB
45.30468,18.97046,26.06557,27.14513,THUMB
43.0442,17.41594,25.60797,27.87834,THUMB
37.63411,16.5667,25.01347,28.41372,THUMB
31.78782,18.36448,25.20235,27.83825,THUMB
34.82596,18.6186,25.76887,27.34794,THUMB
52.33854,18.09012,23.17841,27.38085,THUMB
70.94711,17.29428,22.33626,30.63315,THUMB
69.31638,16.10849,22.07966,25.26383,THUMB
68.50716,15.33094,19.25865,22.36939,THUMB
64.61474,14.97758,19.65009,25.62796,THUMB
62.23009,13.98624,20.12729,28.09144,THUMB
