pTHUMB_BONE1_X,rTHUMB_BONE1_X,pTHUMB_BONE1_Y,rTHUMB_BONE1_Y,pTHUMB_BONE1_Z,rTHUMB_BONE1_Z,pTHUMB_BONE2_X,rTHUMB_BONE2_X,pTHUMB_BONE2_Y,rTHUMB_BONE2_Y,pTHUMB_BONE2_Z,rTHUMB_BONE2_Z,pTHUMB_BONE3_X,rTHUMB_BONE3_X,pTHUMB_BONE3_Y,rTHUMB_BONE3_Y,pTHUMB_BONE3_Z,rTHUMB_BONE3_Z,pINDEX_BONE1_X,rINDEX_BONE1_X,pINDEX_BONE1_Y,rINDEX_BONE1_Y,pINDEX_BONE1_Z,rINDEX_BONE1_Z,pINDEX_BONE2_X,rINDEX_BONE2_X,pINDEX_BONE2_Y,rINDEX_BONE2_Y,pINDEX_BONE2_Z,rINDEX_BONE2_Z,pINDEX_BONE3_X,rINDEX_BONE3_X,pINDEX_BONE3_Y,rINDEX_BONE3_Y,pINDEX_BONE3_Z,rINDEX_BONE3_Z,pMIDDLE_BONE1_X,rMIDDLE_BONE1_X,pMIDDLE_BONE1_Y,rMIDDLE_BONE1_Y,pMIDDLE_BONE1_Z,rMIDDLE_BONE1_Z,pMIDDLE_BONE2_X,rMIDDLE_BONE2_X,pMIDDLE_BONE2_Y,rMIDDLE_BONE2_Y,pMIDDLE_BONE2_Z,rMIDDLE_BONE2_Z,pMIDDLE_BONE3_X,rMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,rMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,rMIDDLE_BONE3_Z,pRING_BONE1_X,rRING_BONE1_X,pRING_BONE1_Y,rRING_BONE1_Y,pRING_BONE1_Z,rRING_BONE1_Z,pRING_BONE2_X,rRING_BONE2_X,pRING_BONE2_Y,rRING_BONE2_Y,pRING_BONE2_Z,rRING_BONE2_Z,pRING_BONE3_X,rRING_BONE3_X,pRING_BONE3_Y,rRING_BONE3_Y,pRING_BONE3_Z,rRING_BONE3_Z,pPINKY_BONE1_X,rPINKY_BONE1_X,pPINKY_BONE1_Y,rPINKY_BONE1_Y,pPINKY_BONE1_Z,rPINKY_BONE1_Z,pPINKY_BONE2_X,rPINKY_BONE2_X,pPINKY_BONE2_Y,rPINKY_BONE2_Y,pPINKY_BONE2_Z,rPINKY_BONE2_Z,pPINKY_BONE3_X,rPINKY_BONE3_X,pPINKY_BONE3_Y,rPINKY_BONE3_Y,pPINKY_BONE3_Z,rPINKY_BONE3_Z,target
-0.04468109,297.0146,-0.1182367,256.4147,0.3736512,355.5657,-0.05912888,286.4628,-0.08300257,259.2917,0.370384,352.8818,-0.06418797,274.4005,-0.05783784,279.6299,0.3697126,332.7636,-0.1121373,354.7661,-0.1085856,215.0245,0.3855704,291.3899,-0.1171703,18.83066,-0.1103292,144.3053,0.3614916,281.5721,-0.1042791,21.82508,-0.1166856,104.4957,0.3513645,267.2285,-0.1187917,346.8575,-0.1245866,214.3919,0.3881172,285.2314,-0.1236979,9.807132,-0.1218398,146.1989,0.3602647,287.5346,-0.1090919,18.44936,-0.1266858,108.2033,0.3473064,277.9,-0.1169221,344.4265,-0.1657205,219.8312,0.3909543,261.4744,-0.1222218,346.7359,-0.1594416,148.2539,0.3719367,281.8325,-0.1105338,356.5635,-0.156962,111.4962,0.3618347,287.3776,-0.1195365,347.7762,-0.1462912,217.6144,0.3908148,274.2965,-0.1248436,359.8914,-0.1420189,147.6221,0.3647735,282.9456,-0.1103719,7.901528,-0.1431486,110.0101,0.3514226,280.2878,CLOSE
-0.03421502,293.2018,-0.1239386,262.0784,0.3670817,350.5874,-0.04668159,283.083,-0.08782366,269.5456,0.3658019,343.4629,-0.05048052,273.7784,-0.06242126,331.274,0.3663818,282.1157,-0.1015711,349.692,-0.1109545,218.1536,0.3809596,292.655,-0.1080178,18.30043,-0.1109103,149.1819,0.3571816,286.9987,-0.09616392,24.71061,-0.1175261,109.424,0.3460125,271.8741,-0.1090263,341.8478,-0.1266649,217.3434,0.3830303,286.6168,-0.1153653,8.919068,-0.1219009,150.8903,0.3556545,292.8251,-0.1020252,20.86081,-0.1268859,114.0413,0.3414186,282.9865,-0.1093605,340.3601,-0.1683201,224.0943,0.3841282,262.1615,-0.1158471,345.8627,-0.1608373,152.5994,0.3658246,285.8111,-0.105005,358.1832,-0.1584465,116.5401,0.3548051,291.0137,-0.1110868,343.0084,-0.1485286,221.705,0.3850163,275.2394,-0.118183,358.7989,-0.142404,152.8806,0.359619,287.7189,-0.1051078,9.820153,-0.143574,116.4115,0.3448702,284.8694,CLOSE
-0.02869699,291.2507,-0.11325,261.5238,0.367582,354.3842,-0.03981157,280.7227,-0.07670751,267.0899,0.366205,349.0105,-0.04233138,273.087,-0.05116701,35.13631,0.3665231,221.1925,-0.0930902,347.391,-0.09596419,219.2428,0.3857712,297.2104,-0.1000956,22.19398,-0.09585264,150.7791,0.3624168,290.3915,-0.08893046,29.73094,-0.1037581,110.0607,0.3513598,271.8972,-0.1012902,339.9371,-0.1113136,217.8635,0.3882274,290.7955,-0.1078378,12.58956,-0.1066713,151.5729,0.361214,295.8733,-0.09488337,26.00213,-0.1131543,112.2237,0.3473847,282.3035,-0.1040495,336.9295,-0.1525275,223.6177,0.3893817,267.0051,-0.1098208,350.0391,-0.1447858,150.1378,0.3713021,291.1187,-0.09845172,5.266352,-0.1439769,113.6251,0.3607108,292.6797,-0.1043399,340.5293,-0.1328862,221.2327,0.3901408,279.6887,-0.1108805,2.71399,-0.1267872,151.5012,0.3649927,291.5005,-0.09751685,15.79472,-0.1296598,112.9421,0.3509251,285.0176,CLOSE
-0.02229712,291.5708,-0.09932691,252.0693,0.3687148,6.824186,-0.03277933,280.0847,-0.06280038,244.186,0.3649365,14.44741,-0.03411523,276.0377,-0.03727207,102.8409,0.3635232,155.4578,-0.08344732,349.1256,-0.07818216,217.341,0.3883703,304.3746,-0.09029831,29.43037,-0.07987586,150.5911,0.3650697,291.4657,-0.07965863,35.69394,-0.0896866,105.7663,0.3551405,266.399,-0.09202847,342.2535,-0.0931797,215.1575,0.391925,297.1413,-0.09768775,20.03161,-0.09095606,148.815,0.3648045,295.5626,-0.08449355,31.7361,-0.09976971,103.4258,0.3528736,274.7639,-0.09630732,337.2758,-0.1335692,218.6041,0.3956079,274.8575,-0.1004062,358.306,-0.1271753,144.966,0.3769723,293.1519,-0.08813284,13.9189,-0.1287776,105.7055,0.3677492,288.7609,-0.09546167,342.3459,-0.1143337,216.5641,0.3948725,286.7073,-0.0999794,10.914,-0.1106039,145.7613,0.3694161,291.644,-0.08553401,22.73487,-0.1162021,101.9103,0.3577202,278.2831,CLOSE
-0.01939839,292.3438,-0.07460967,246.4579,0.378533,14.29339,-0.02922177,279.4498,-0.03816977,225.2192,0.3732597,34.86505,-0.02912585,280.9067,-0.01274329,109.0081,0.3708411,150.2622,-0.08066878,351.6877,-0.05242953,218.4464,0.397467,306.6717,-0.08820566,32.33189,-0.05544573,151.7989,0.3744301,290.0711,-0.07795722,36.87164,-0.0658555,105.5456,0.3647012,262.7852,-0.08916131,345.3137,-0.06733352,216.1118,0.4021421,298.738,-0.0954033,22.88453,-0.06681156,148.775,0.3751629,292.9787,-0.08230358,31.98232,-0.07624787,102.0846,0.3636024,270.4166,-0.09309334,340.33,-0.1074615,219.2066,0.4084761,276.9513,-0.09768037,1.047572,-0.1022765,146.3593,0.3895764,290.7903,-0.0856297,14.40269,-0.1043622,106.6207,0.3801195,285.1898,-0.09236197,345.4352,-0.08829498,217.2742,0.4064648,288.6395,-0.09734982,13.89434,-0.08623624,145.8812,0.3810109,289.1352,-0.0830065,23.12922,-0.09251952,101.2497,0.3695065,274.2376,CLOSE
-0.01886508,290.7271,-0.05625486,237.9045,0.3837605,23.59079,-0.02645143,279.0484,-0.01955876,196.1652,0.37711,64.23809,-0.02442674,285.8702,0.005674303,110.3386,0.3737979,148.8054,-0.08073716,353.0998,-0.03148967,219.1892,0.4002703,309.1527,-0.08887517,34.88329,-0.03537977,153.554,0.3774509,290.2026,-0.07918088,38.79928,-0.04639602,106.6831,0.3677611,261.0474,-0.0897522,346.7774,-0.04577652,216.8008,0.4059771,301.2996,-0.09681014,25.2569,-0.04627421,151.1925,0.3789821,293.1128,-0.0844768,33.71226,-0.0564076,105.4274,0.3669936,269.5797,-0.09460375,342.2939,-0.08555222,219.8263,0.4148665,279.6169,-0.09978167,3.601305,-0.08127424,149.0329,0.3957312,289.7627,-0.08826679,15.35383,-0.08387566,110.2428,0.3856309,283.092,-0.09354075,346.9887,-0.06639454,218.3042,0.4117104,291.3474,-0.09951138,16.36044,-0.06538132,149.0034,0.3861351,288.9548,-0.08602022,24.66394,-0.07238737,105.6424,0.373846,273.052,CLOSE
-0.02108342,290.5435,-0.05860218,237.6184,0.3842235,23.86075,-0.02832379,278.6755,-0.02186593,190.0956,0.3776143,70.23247,-0.02589776,286.5477,0.00334689,108.9753,0.3743667,150.1061,-0.08441503,354.2021,-0.03449851,220.661,0.3993274,307.6573,-0.0932077,33.38669,-0.03852266,155.8026,0.3764982,289.3875,-0.08376956,37.32576,-0.04914871,110.2919,0.3661146,262.0865,-0.09345756,347.9026,-0.04877111,218.7126,0.4054292,299.6015,-0.1015798,23.40578,-0.04930747,154.1211,0.3783682,292.1191,-0.08978345,31.73481,-0.05881965,111.4422,0.3651994,271.5669,-0.09757714,344.6624,-0.08877942,221.5375,0.4150037,277.3212,-0.1035891,1.705286,-0.08484039,151.8433,0.3957993,286.8737,-0.09255199,11.72407,-0.08667472,114.5551,0.3849083,282.3378,-0.09698701,348.5927,-0.06948063,220.3879,0.4116126,289.5266,-0.1041412,14.58378,-0.06864443,152.3325,0.385967,287.3259,-0.09133156,22.1624,-0.07494232,111.7279,0.3724264,273.9943,CLOSE
-0.03705588,295.4748,-0.06533131,236.5284,0.3816722,19.59736,-0.04675446,281.4044,-0.029502,208.0562,0.3735271,46.86017,-0.04635188,281.557,-0.004198909,119.8316,0.3698063,133.9276,-0.1008554,356.2323,-0.04396099,214.2038,0.3925099,306.0253,-0.1067756,32.74884,-0.04856345,147.522,0.3688857,286.3568,-0.09572212,34.96581,-0.05883148,101.914,0.3598867,259.9861,-0.1097057,349.9097,-0.05874902,212.6134,0.3976553,297.3547,-0.1147238,22.09901,-0.05975965,146.8612,0.3697957,289.3043,-0.1011041,29.02038,-0.06865737,104.2655,0.3580697,270.1741,-0.1129721,346.2512,-0.09876689,215.3134,0.4064769,274.6074,-0.1168094,359.8377,-0.09496722,144.6721,0.3867238,284.4854,-0.1044244,8.803344,-0.09612668,107.2153,0.3772939,281.5496,-0.1127717,350.6007,-0.07962406,213.906,0.4032495,286.916,-0.1167329,13.03467,-0.07915163,144.2454,0.3769837,284.3384,-0.1019289,19.13848,-0.08470762,103.0133,0.3653634,272.4192,CLOSE
-0.05550104,304.1684,-0.07843551,243.471,0.3808789,10.0429,-0.07170567,291.0562,-0.04506212,236.9971,0.3720969,15.8187,-0.07710584,278.4769,-0.02037734,210.4858,0.3677655,41.63446,-0.1229494,5.62821,-0.07103088,212.2676,0.3889572,294.1565,-0.1265401,24.73606,-0.07746407,137.5108,0.3654534,271.2177,-0.1127311,20.10658,-0.08464241,97.12318,0.3572899,255.2334,-0.1287889,358.0068,-0.08682758,211.3762,0.3941265,287.3173,-0.1323401,15.73889,-0.08953825,141.1441,0.3660867,277.5803,-0.1167696,17.073,-0.09547904,103.0671,0.3546912,266.4462,-0.1248051,354.2751,-0.1262781,216.3303,0.404218,265.4037,-0.1291532,353.8018,-0.1237459,144.9715,0.3843395,273.9336,-0.1167879,357.4078,-0.1224474,108.0533,0.3747924,276.866,-0.1283143,358.5183,-0.1076244,214.1016,0.400498,277.0604,-0.1319807,6.261636,-0.1084622,142.2037,0.3741181,273.5879,-0.1163257,7.140617,-0.1108619,104.0919,0.3623191,268.9716,CLOSE
-0.05666173,304.1339,-0.06753072,235.8199,0.3850859,21.18797,-0.07172838,293.6022,-0.0344061,225.3139,0.373503,30.43319,-0.07690494,284.1741,-0.0101833,198.5191,0.3667509,55.91668,-0.1242059,12.74534,-0.05892113,211.7119,0.3900093,299.2483,-0.1272153,31.20047,-0.06880116,132.159,0.3677671,264.22,-0.1131794,21.13738,-0.07719174,92.00938,0.3612838,245.8389,-0.1302701,4.545613,-0.07346582,209.8937,0.3972755,293.3836,-0.1331674,23.614,-0.08029702,137.819,0.3698957,273.0343,-0.1175388,20.82773,-0.08841372,99.89618,0.3598685,258.2233,-0.1273875,359.598,-0.1108952,215.3847,0.4132086,272.6523,-0.131674,2.341781,-0.1111425,145.9927,0.3929862,271.3085,-0.1194841,2.661678,-0.1118609,109.6871,0.3831052,269.6682,-0.1305405,4.237735,-0.09292915,213.6328,0.4067758,283.6765,-0.1341708,14.30277,-0.09748539,141.8135,0.3806383,270.3178,-0.1187671,11.67492,-0.102257,104.6525,0.3690836,261.6735,CLOSE
