THUMB_INDEX_ANGLE,THUMB_DIST,INDEX_MIDDLE_ANGLE,INDEX_DIST,MIDDLE_RING_ANGLE,MIDDLE_DIST,RING_PINKY_ANGLE,RING_DIST,PINKY_DIST,target
0.3820152,0.05553626,0.2942313,0.04986099,0.6271695,0.04672855,0.3470466,0.04486084,0.04299307,CLOSE
0.5915579,0.06016278,0.2210296,0.05356396,0.6467561,0.0514383,0.3794571,0.04469113,0.04544694,CLOSE
0.502418,0.05907728,0.2062543,0.05386839,0.6389951,0.0526921,0.3832366,0.04487544,0.04664643,CLOSE
0.4968986,0.05872615,0.2018593,0.05433912,0.6178114,0.05356392,0.3624699,0.04633528,0.04772364,CLOSE
0.4935302,0.05823944,0.2008553,0.0551121,0.6077036,0.05473205,0.3489015,0.04778509,0.04929313,CLOSE
0.4443033,0.05842487,0.204611,0.05498093,0.614693,0.05487472,0.3525013,0.04775767,0.04976435,CLOSE
0.4117228,0.05945287,0.2063151,0.05433731,0.6303654,0.05426357,0.3624201,0.04697452,0.04928812,CLOSE
0.3800198,0.05600093,0.2382548,0.04640657,0.6938943,0.04595464,0.3982303,0.04275589,0.04176805,CLOSE
0.418927,0.05123136,0.2496499,0.04121135,0.7442856,0.04032136,0.4140484,0.0398069,0.03701843,CLOSE
0.694149,0.05099711,0.2626359,0.04204678,0.724292,0.04070573,0.4117174,0.03939803,0.03824282,CLOSE
0.6091473,0.05702168,0.216963,0.05114459,0.6348593,0.0491052,0.3510059,0.0419133,0.04547002,CLOSE
0.3000812,0.06298151,0.1829496,0.05847159,0.5473332,0.05774041,0.3032591,0.04630391,0.05278458,CLOSE
0.327619,0.06101684,0.1831611,0.05757344,0.5537507,0.05715336,0.3063849,0.04601089,0.05206944,CLOSE
0.4287094,0.06068589,0.1836343,0.05343618,0.5646801,0.05467291,0.3210282,0.04576097,0.05067994,CLOSE
0.5540245,0.05784279,0.2030025,0.04625566,0.6396555,0.04646577,0.3675336,0.04175838,0.04155767,CLOSE
0.6002336,0.05602071,0.2374075,0.04151759,0.7270744,0.0396762,0.4192829,0.03794777,0.03462063,CLOSE
0.5469935,0.05415916,0.2658785,0.03981483,0.7575983,0.03778649,0.4102328,0.03754473,0.03417545,CLOSE
0.6529729,0.05014814,0.2864163,0.04010772,0.7836053,0.03793921,0.434235,0.03658507,0.03441047,CLOSE
0.5692421,0.04920243,0.3643894,0.04305461,0.7662956,0.03911018,0.4187053,0.03662831,0.03526461,CLOSE
0.5727074,0.05944126,0.2673282,0.04997864,0.6787485,0.04835537,0.3709738,0.04190668,0.04321596,CLOSE
0.5337524,0.0627986,0.2499569,0.05052716,0.6852271,0.04916008,0.3753329,0.04391998,0.04372676,CLOSE
0.4121825,0.06238027,0.2588092,0.04827399,0.7136955,0.04665617,0.3899723,0.04293049,0.04158276,CLOSE
0.4589665,0.07004385,0.273805,0.04682539,0.7307059,0.04511939,0.3974252,0.0422621,0.04063926,CLOSE
0.5243074,0.07210094,0.2991288,0.04502678,0.766404,0.04267943,0.4025818,0.04087796,0.0388701,CLOSE
0.533644,0.07211118,0.3136588,0.04480907,0.8030161,0.04173722,0.4068187,0.04006606,0.03801224,CLOSE
0.5456138,0.07206442,0.3061393,0.04451744,0.8164174,0.0416171,0.4194376,0.03971728,0.0376588,CLOSE
0.5212824,0.07093983,0.3049828,0.04463986,0.8153929,0.04179157,0.4350247,0.03955527,0.03750841,CLOSE
0.5021831,0.07004307,0.3138902,0.04453427,0.8148307,0.04153684,0.415201,0.03944294,0.03754022,CLOSE
0.5522587,0.06502586,0.3148767,0.04273747,0.7614572,0.04077726,0.4161367,0.0391271,0.0368331,CLOSE
0.6450135,0.05341233,0.2846884,0.04536846,0.6703093,0.04307304,0.3700211,0.03947798,0.04043559,CLOSE
0.5141897,0.05992927,0.1806378,0.0544041,0.5671254,0.053803,0.3074581,0.04619661,0.05081952,CLOSE
0.3322534,0.06508649,0.1365788,0.06479822,0.4697271,0.06776322,0.2388546,0.05550254,0.06551445,CLOSE
0.2595731,0.06677911,0.1335179,0.07051495,0.4324865,0.07657161,0.2104544,0.05866084,0.07360778,CLOSE
0.2295191,0.06597081,0.1337094,0.07033719,0.4304358,0.07647479,0.2102015,0.0578584,0.0732652,CLOSE
0.5069429,0.05568093,0.1923097,0.05077125,0.5984846,0.0487714,0.3161817,0.04437089,0.0455674,CLOSE
0.696627,0.05121668,0.2899668,0.04317269,0.703485,0.0394485,0.3644596,0.03892527,0.03717429,CLOSE
1.008734,0.04971182,0.3787957,0.04168265,0.87931,0.03671194,0.4548325,0.03688921,0.03472214,CLOSE
0.8166393,0.04885135,0.3315865,0.04496459,0.7860734,0.04117515,0.4476679,0.03680022,0.03831251,CLOSE
0.445617,0.05313571,0.2714942,0.05128428,0.6315897,0.05047235,0.3429581,0.04584255,0.04748441,CLOSE
0.7077577,0.06228077,0.1898005,0.06092417,0.5732793,0.06196506,0.3188959,0.05190471,0.05668894,CLOSE
0.576732,0.05987627,0.2034688,0.05782327,0.5815876,0.05788006,0.3289894,0.0466993,0.05150708,CLOSE
0.5727071,0.05563283,0.2054354,0.05243397,0.6229966,0.05206093,0.3687321,0.04112833,0.0440404,CLOSE
0.6005849,0.05424083,0.2192502,0.04971459,0.6491911,0.04870944,0.3836711,0.03758475,0.04004095,CLOSE
0.6166899,0.05572196,0.2085888,0.05133109,0.6310263,0.05059308,0.3728616,0.03785208,0.04125954,CLOSE
0.555032,0.05981433,0.1884569,0.056216,0.609607,0.05599842,0.3612224,0.0404953,0.04494513,CLOSE
0.4244823,0.06423953,0.1808315,0.06165592,0.6152202,0.0626894,0.3747624,0.04197888,0.04722335,CLOSE
0.434166,0.07139587,0.223357,0.05677661,0.7043969,0.05163872,0.4027976,0.04062022,0.04212186,CLOSE
0.4169083,0.07325157,0.2337442,0.05281015,0.6851596,0.04923565,0.3811635,0.04204884,0.04381778,CLOSE
0.497002,0.07340687,0.2826612,0.04689799,0.7203296,0.04397563,0.3880959,0.04127448,0.0406942,CLOSE
0.4852184,0.06050576,0.304188,0.04213091,0.7511895,0.03912398,0.4078058,0.03922825,0.03643199,CLOSE
0.6536999,0.05165248,0.2640293,0.04074301,0.7417305,0.03941322,0.4126609,0.03871129,0.03652507,CLOSE
0.6983294,0.05729957,0.2217906,0.04670933,0.6881838,0.0458899,0.4044651,0.03913371,0.04075331,CLOSE
0.4911416,0.06177717,0.1829885,0.05411043,0.5752661,0.05560062,0.3337911,0.04486432,0.05042459,CLOSE
0.4275591,0.06185419,0.165619,0.05734243,0.5343418,0.0582844,0.300636,0.04759792,0.05454174,CLOSE
0.3711411,0.06283939,0.1503307,0.06171023,0.4864888,0.06311107,0.2604761,0.05057395,0.05960991,CLOSE
0.3455632,0.06131922,0.1634036,0.06167229,0.4978512,0.06177209,0.2666376,0.05026378,0.05827084,CLOSE
0.573633,0.05443133,0.2230412,0.05151293,0.6314582,0.04783097,0.3474788,0.04175833,0.04433538,CLOSE
0.6493751,0.06295942,0.2952119,0.04524605,0.7403165,0.03980479,0.4040408,0.03734194,0.03685282,CLOSE
0.8628993,0.05443825,0.3167111,0.04397039,0.8208823,0.03993393,0.4133063,0.03827109,0.0370801,CLOSE
0.8781278,0.05369793,0.3442382,0.04254553,0.8162049,0.04051134,0.4164165,0.03789811,0.03665806,CLOSE
0.4900484,0.05644816,0.3061595,0.04577883,0.7067142,0.0440698,0.3725005,0.03848692,0.03834948,CLOSE
0.5164301,0.05445817,0.2313139,0.05046385,0.6813092,0.04820773,0.3933222,0.03931108,0.04096755,CLOSE
0.4921785,0.05814743,0.2064631,0.05399837,0.6322852,0.05267314,0.3710698,0.04134847,0.04537756,CLOSE
0.4444519,0.05939418,0.1830252,0.05595379,0.5873843,0.05752392,0.3520314,0.04274785,0.04868837,CLOSE
0.5235831,0.06063132,0.1808646,0.05649291,0.5824721,0.05846386,0.3549737,0.04124925,0.04629819,CLOSE
0.5775659,0.05515039,0.1836223,0.05482056,0.5824525,0.05652063,0.3522566,0.04196709,0.04670037,CLOSE
0.4171996,0.05501976,0.2069684,0.05161813,0.644562,0.05094529,0.371035,0.04187332,0.04426773,CLOSE
0.6200787,0.07124402,0.2583435,0.04661474,0.7164621,0.04416515,0.3858339,0.04061508,0.03977725,CLOSE
0.916526,0.08032237,0.3090094,0.04305866,0.7507472,0.03953008,0.405867,0.03927093,0.03652542,CLOSE
0.6073723,0.0540894,0.2875063,0.04299463,0.7197371,0.04086599,0.4065609,0.03935896,0.03837502,CLOSE
0.7081384,0.0554971,0.2489481,0.04881831,0.6584291,0.04653021,0.3684514,0.04006703,0.04309472,CLOSE
0.6360701,0.05648679,0.2237925,0.05124594,0.6456774,0.04885568,0.362275,0.04096763,0.04491225,CLOSE
0.4732153,0.05545899,0.2246415,0.05222511,0.6282376,0.04948108,0.3612799,0.04132875,0.04497178,CLOSE
0.4436192,0.05382576,0.2332726,0.05051784,0.6443011,0.04777184,0.3702492,0.04059559,0.04332468,CLOSE
0.5719634,0.0502324,0.2417172,0.04697999,0.692201,0.04398855,0.3943587,0.03852949,0.03998335,CLOSE
0.9452693,0.04987203,0.3237635,0.04496458,0.7474491,0.0403277,0.3869033,0.03921363,0.03882135,CLOSE
0.9526339,0.05111677,0.3089616,0.04445213,0.7624153,0.04020432,0.4097553,0.03882885,0.03853711,CLOSE
0.5418394,0.07873176,0.2552464,0.04905047,0.7160547,0.04576673,0.3946583,0.04014428,0.04083442,CLOSE
0.4208504,0.07586139,0.262129,0.05007022,0.6794712,0.04842994,0.3669677,0.04204077,0.04294355,CLOSE
0.4387296,0.07626054,0.2724806,0.04884503,0.7005063,0.0467652,0.3793793,0.04082041,0.04147784,CLOSE
0.4773845,0.07590752,0.2716881,0.04748777,0.7233323,0.04524061,0.394951,0.04006909,0.04015319,CLOSE
0.4710461,0.07270832,0.2465147,0.05090839,0.7099686,0.04745217,0.3944714,0.04179724,0.0423529,CLOSE
0.5009348,0.07476407,0.256484,0.0505584,0.7304256,0.04768747,0.4160919,0.04144446,0.04214054,CLOSE
0.7151462,0.08143337,0.2460846,0.04743204,0.746772,0.04531368,0.4111958,0.04064391,0.0402209,CLOSE
0.6524599,0.08136869,0.2615826,0.05032764,0.7730333,0.04294957,0.4361538,0.03816227,0.03699939,CLOSE
0.5591716,0.06511153,0.3792779,0.04612535,0.7658467,0.03971278,0.413206,0.03744204,0.03593878,CLOSE
0.4382987,0.0550465,0.3535317,0.04734774,0.6908884,0.04269029,0.3821404,0.04067615,0.04008767,CLOSE
0.7439569,0.05300675,0.2426762,0.04896869,0.6959761,0.04665629,0.3581531,0.04251165,0.04364816,CLOSE
0.6382079,0.05854262,0.2119735,0.05335959,0.5752462,0.0526847,0.3274171,0.04548547,0.05011791,CLOSE
0.4115992,0.06227863,0.1780668,0.05593771,0.5402537,0.05736945,0.3039734,0.04769598,0.05408482,CLOSE
0.323337,0.06348289,0.1493925,0.05792772,0.5142621,0.06050555,0.2865218,0.04891148,0.05593361,CLOSE
0.3262147,0.06298534,0.1259343,0.05899026,0.4976355,0.06311706,0.2775129,0.05014686,0.05748853,CLOSE
0.3779417,0.06065637,0.1297363,0.05507689,0.5279663,0.0591191,0.2982959,0.0490748,0.0534518,CLOSE
0.4404979,0.05730899,0.1375768,0.04882563,0.5788263,0.05219537,0.3276194,0.04634801,0.04832825,CLOSE
0.5086825,0.05436075,0.2093818,0.04364365,0.6262497,0.0448054,0.3610949,0.04277005,0.0420786,CLOSE
0.8477306,0.05295385,0.3221479,0.043416,0.7633948,0.0400584,0.396623,0.04023965,0.03791339,CLOSE
0.7592186,0.055886,0.2854734,0.04537689,0.8179196,0.04038133,0.4948075,0.03839838,0.03536405,CLOSE
0.3556916,0.06339714,0.2527485,0.0493574,0.8257034,0.04387429,0.4982062,0.03742978,0.03589524,CLOSE
0.3530651,0.06644595,0.2132956,0.04894839,0.7991393,0.04463029,0.4445851,0.03851115,0.03803161,CLOSE
0.342945,0.06783195,0.2334234,0.04840244,0.796515,0.04404356,0.4155687,0.03893513,0.03877512,CLOSE
0.3224637,0.06659851,0.2799702,0.04906036,0.7532994,0.04411116,0.41272,0.03975652,0.03924878,CLOSE
0.3433981,0.06196416,0.2662749,0.05057311,0.7629399,0.04467723,0.4129543,0.04045023,0.04011545,CLOSE
0.4161919,0.05974649,0.2509139,0.05036342,0.7698736,0.04464098,0.404695,0.04122084,0.04075801,CLOSE
0.5867923,0.05562174,0.2982229,0.04991794,0.713787,0.04425861,0.391051,0.04149221,0.04073438,CLOSE
0.4820495,0.0571891,0.380863,0.04473099,0.7056339,0.04147236,0.3840071,0.04021157,0.03807226,CLOSE
