THUMB_INDEX_ANGLE,THUMB_DIST,INDEX_MIDDLE_ANGLE,INDEX_DIST,MIDDLE_RING_ANGLE,MIDDLE_DIST,RING_PINKY_ANGLE,RING_DIST,PINKY_DIST,target
44.68185,0.07175177,13.58209,0.1167002,54.23923,0.1221957,16.006,0.05852924,0.05067762,TWO
43.74467,0.07230239,13.25387,0.1167059,54.16272,0.1219418,16.34911,0.05752457,0.04967703,TWO
43.19663,0.07259332,13.19859,0.1167279,55.1306,0.1221486,16.84717,0.0566572,0.04853812,TWO
43.17476,0.07263396,13.27772,0.1167501,55.17297,0.1222679,16.89938,0.05708178,0.04848016,TWO
43.23343,0.07265052,13.29574,0.1167731,55.2421,0.1222868,17.0102,0.05713587,0.04842136,TWO
43.11307,0.07276041,13.19814,0.116804,55.17675,0.1221881,17.10181,0.05674793,0.0482933,TWO
42.92651,0.07291745,13.0767,0.1168755,55.41518,0.1221762,17.16723,0.05619957,0.04808649,TWO
42.63858,0.07305056,13.00383,0.1169264,55.62728,0.1221513,17.17511,0.05589496,0.04793096,TWO
42.09386,0.07325185,12.88496,0.1169371,55.95964,0.1220727,17.1448,0.05558529,0.04787815,TWO
41.76935,0.07339305,12.8773,0.1169536,56.06503,0.1219761,17.05672,0.05522092,0.04794327,TWO
41.38902,0.07361832,12.93582,0.116982,56.59283,0.1218646,17.22101,0.05420446,0.04755869,TWO
41.35428,0.07378168,12.92658,0.1169844,57.29119,0.1218173,17.58691,0.05317449,0.04687411,TWO
41.36557,0.07380156,12.71326,0.1169545,57.8308,0.1218055,17.92245,0.05243351,0.04636736,TWO
41.29627,0.0737269,12.54604,0.1169,58.10586,0.1217941,18.1803,0.05182997,0.04597571,TWO
41.20951,0.07370691,12.49182,0.1168772,58.21152,0.1217792,18.28475,0.05158961,0.04583664,TWO
41.35521,0.07385992,12.70155,0.1169562,60.22472,0.1217319,19.34669,0.04979555,0.0442696,TWO
41.8549,0.07386307,13.02287,0.1170808,63.26619,0.1216834,20.97002,0.04700533,0.04207169,TWO
41.84708,0.0739143,13.08811,0.1170917,65.20876,0.1216263,21.97139,0.04473904,0.0405824,TWO
41.53765,0.07402097,12.93811,0.1170592,66.4714,0.1215681,22.62058,0.04289601,0.03947945,TWO
41.17813,0.07409976,12.74809,0.1170077,66.89131,0.1215282,22.8776,0.04208332,0.03903795,TWO
40.91272,0.07417007,12.66702,0.1169733,66.87608,0.1215134,22.88327,0.04192364,0.03900174,TWO
40.5168,0.07431701,12.54723,0.1169409,66.93141,0.1214807,22.96675,0.04160409,0.03889133,TWO
40.19676,0.07438939,12.51251,0.1169121,66.68568,0.1214471,22.86698,0.04187402,0.03901779,TWO
40.01134,0.07434946,12.73481,0.1169158,65.96876,0.121422,22.47184,0.04285834,0.03955275,TWO
40.0184,0.07423704,12.99215,0.116891,64.50062,0.1214369,21.79877,0.04471343,0.04054452,TWO
40.30264,0.07428057,13.02716,0.116903,64.42763,0.121466,21.75282,0.04460461,0.04055989,TWO
40.72987,0.07406227,13.11338,0.1169028,63.87577,0.1214931,21.4885,0.04506078,0.04087975,TWO
41.02484,0.07403682,13.28729,0.1169539,63.8941,0.1215595,21.34758,0.044912,0.04088873,TWO
40.60146,0.07414506,13.01454,0.1169615,64.89159,0.1215326,21.88022,0.04374013,0.04015415,TWO
40.03462,0.07419788,12.82706,0.1169172,65.20953,0.1214608,22.0325,0.04382874,0.04006346,TWO
39.74654,0.07438963,12.58884,0.1168838,65.67695,0.1214326,22.22053,0.04345766,0.039825,TWO
39.20699,0.07468203,12.23205,0.1168388,66.29369,0.1213877,22.54566,0.04267289,0.03936565,TWO
38.79707,0.07485176,12.00771,0.1167983,66.52794,0.1213421,22.68715,0.04228511,0.03914576,TWO
38.72934,0.07482574,12.12231,0.1167891,66.46114,0.1213158,22.66492,0.04241025,0.03919182,TWO
38.86519,0.07470538,12.46408,0.1167813,66.00238,0.1213029,22.57392,0.04301452,0.03943664,TWO
38.86275,0.07468356,12.40202,0.1167788,66.21785,0.1212803,22.72931,0.04274064,0.03926277,TWO
39.16632,0.07456309,12.51873,0.1167804,65.95137,0.1213126,22.62801,0.04318986,0.03948503,TWO
39.21533,0.07464539,12.33985,0.1167912,66.25826,0.1213291,22.75524,0.0425947,0.03924413,TWO
39.08023,0.07474542,12.08124,0.1167753,66.55611,0.1213127,22.95571,0.04186251,0.03889151,TWO
39.02851,0.07471874,11.93054,0.1167423,66.55128,0.1212951,23.00224,0.04165646,0.03879507,TWO
38.88553,0.07470617,11.91152,0.1167188,66.36149,0.12129,22.84744,0.04187699,0.03894434,TWO
38.77795,0.07474389,11.9321,0.1167167,66.2476,0.1212857,22.7414,0.04213537,0.03906867,TWO
38.86943,0.07471065,11.90534,0.1166984,66.2387,0.1212828,22.74756,0.04219319,0.03908802,TWO
38.96914,0.07460538,11.97378,0.1166719,66.11452,0.1212867,22.71782,0.04243414,0.03919807,TWO
38.75422,0.07473068,12.00999,0.1166508,66.56582,0.121306,22.93151,0.0420812,0.0389398,TWO
38.02225,0.07516704,12.02138,0.1165392,67.23022,0.1212561,23.29033,0.04153023,0.03850412,TWO
34.4429,0.07661006,11.58968,0.1157294,68.64109,0.1204664,24.38162,0.03899829,0.03670456,TWO
22.90253,0.07978448,10.4055,0.1114188,55.97597,0.1154328,22.57039,0.04082805,0.03712083,TWO
6.51662,0.07347244,8.861865,0.09377289,29.62184,0.09781943,18.76124,0.05204296,0.04426243,TWO
10.71259,0.07542613,8.962058,0.09445327,23.36303,0.09351082,16.98352,0.05525906,0.04627643,TWO
19.27007,0.0825498,7.242048,0.09911161,13.28409,0.1018672,13.78583,0.08275658,0.0678406,TWO
32.78414,0.09112645,5.174756,0.1028023,11.76568,0.1062459,14.51336,0.09827975,0.08281214,TWO
37.83393,0.09386469,5.115693,0.1014444,11.1233,0.1043789,14.95087,0.09595012,0.08251844,TWO
41.14423,0.09559841,5.887063,0.1007616,10.55935,0.1030517,14.6247,0.09484561,0.08156386,TWO
47.3365,0.09637652,8.77756,0.1045446,10.68845,0.1069903,17.65831,0.09990678,0.0892842,TWO
41.015,0.07278924,12.25311,0.1161567,65.44237,0.1214307,22.40855,0.04217034,0.03905047,TWO
40.55682,0.07300604,12.3159,0.1161858,65.62634,0.1213826,22.61847,0.04185775,0.03880481,TWO
40.399,0.07305187,12.37228,0.1161842,65.44421,0.1213455,22.61892,0.04189299,0.0388021,TWO
40.40036,0.07306664,12.41043,0.1161963,65.3014,0.121329,22.5182,0.04210118,0.03892716,TWO
40.52199,0.0730013,12.37735,0.1162046,65.01447,0.1213476,22.4445,0.04230666,0.03906975,TWO
40.52097,0.07302308,12.31856,0.1162215,65.03689,0.1213628,22.44366,0.04235178,0.03911044,TWO
40.58397,0.07299134,12.31629,0.1162273,64.99259,0.1213756,22.46581,0.04234945,0.03909999,TWO
40.52989,0.07299449,12.30076,0.1162238,64.78571,0.1213843,22.37714,0.04258817,0.03922834,TWO
40.77254,0.07291359,12.31629,0.1162405,64.74233,0.1214169,22.34492,0.04273625,0.03930611,TWO
40.83758,0.0728554,12.4487,0.1162554,64.48239,0.121418,22.22085,0.04307893,0.03946313,TWO
40.63761,0.0729118,12.56611,0.1162578,64.39854,0.1214111,22.13327,0.04324675,0.03952712,TWO
40.56249,0.07293603,12.53968,0.1162468,64.4706,0.1214186,22.07195,0.04329053,0.03956031,TWO
40.47277,0.07297906,12.54701,0.1162527,64.54633,0.1214276,22.04942,0.04328121,0.039579,TWO
40.48574,0.07298604,12.61307,0.1162745,64.37589,0.1214592,21.8709,0.04355866,0.03976498,TWO
40.58855,0.07297289,12.59979,0.116291,64.43246,0.1214663,21.85236,0.04358374,0.03977006,TWO
40.63612,0.07296162,12.63228,0.1163015,64.531,0.1214605,21.90874,0.04345027,0.03968804,TWO
40.56832,0.07304375,12.63749,0.1163315,64.76022,0.1214498,22.00676,0.04325248,0.03955462,TWO
40.64252,0.07302436,12.73651,0.1163598,64.49112,0.1214567,21.94017,0.04338719,0.0396451,TWO
40.62102,0.07300487,12.82849,0.1163601,64.35368,0.1214591,21.92246,0.04333952,0.03963019,TWO
40.49605,0.07302494,12.84148,0.1163503,64.26815,0.1214614,21.84835,0.04340632,0.03967619,TWO
40.48582,0.07298043,12.81877,0.1163301,64.51134,0.1214474,22.01946,0.04302505,0.03944558,TWO
40.72929,0.07290225,12.80343,0.1163315,64.51105,0.1214689,22.09217,0.04299991,0.03943779,TWO
40.71979,0.07293368,12.79962,0.1163345,64.4846,0.1214486,22.22487,0.04299238,0.03939936,TWO
40.60492,0.07296989,12.81205,0.1163313,64.38567,0.1214363,22.21593,0.04310418,0.0394583,TWO
40.37494,0.0731439,12.82734,0.1163565,64.57308,0.1214005,22.39276,0.04292916,0.03932435,TWO
40.40655,0.07319206,12.91139,0.1163754,64.54787,0.1213823,22.40017,0.0429573,0.03932948,TWO
40.70226,0.07312614,13.04887,0.1163897,64.39476,0.1213999,22.32537,0.04308373,0.03941693,TWO
40.96484,0.0730811,13.10487,0.1164154,64.39562,0.1214218,22.31352,0.04310074,0.03944062,TWO
41.83514,0.0729434,13.66903,0.1165675,63.9593,0.1215226,21.66322,0.0442487,0.04018414,TWO
42.41622,0.07291082,14.1735,0.1167008,64.09073,0.1215314,21.36328,0.0449159,0.0405869,TWO
42.98319,0.07296559,14.72052,0.116863,64.47929,0.121486,21.23806,0.0452931,0.04079308,TWO
43.79526,0.07285188,15.4105,0.1170389,64.17838,0.1214674,20.82551,0.04621643,0.04130535,TWO
44.06937,0.07284518,15.85572,0.1171506,63.8059,0.1214635,20.39742,0.04712549,0.04179801,TWO
44.12896,0.07281815,16.22929,0.1172267,63.17135,0.1214992,19.80667,0.04840475,0.04250816,TWO
43.88761,0.07287992,16.28426,0.1172271,63.14067,0.1214729,19.77057,0.04848072,0.04251454,TWO
43.37915,0.07309156,16.45973,0.1172461,63.21072,0.1214169,19.90401,0.04826387,0.0423392,TWO
43.11539,0.0732463,16.58205,0.1172612,63.35999,0.1213777,20.03644,0.04805966,0.04218324,TWO
42.97437,0.07333572,16.64645,0.1172533,63.26182,0.1213551,20.08448,0.04809235,0.04215921,TWO
43.19075,0.0732453,16.68774,0.1172453,62.90951,0.1213396,20.01732,0.04834335,0.04229363,TWO
43.42862,0.07320461,16.7892,0.1172277,62.85181,0.1213031,20.05333,0.0482371,0.04223869,TWO
43.48656,0.0731996,16.92341,0.1172342,62.67127,0.121299,19.9321,0.04849731,0.04242235,TWO
43.42724,0.07316639,16.95181,0.1172437,62.62088,0.1213252,19.92287,0.04853574,0.04247132,TWO
43.42274,0.07315445,16.98467,0.1172587,62.79185,0.1213235,19.99642,0.04831005,0.04235237,TWO
43.64909,0.07302675,17.03662,0.1172639,62.57661,0.1213144,19.94388,0.04838501,0.0424438,TWO
