THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
19.76758,44.40324,17.78447,22.87205,COOL
19.64808,44.50342,17.69838,22.81153,COOL
19.63134,44.65654,17.56213,22.74084,COOL
19.63835,45.17223,17.1914,22.59458,COOL
19.54056,45.79245,17.01677,22.50906,COOL
19.46605,46.27279,17.04431,22.45304,COOL
19.31333,46.40988,17.11694,22.44691,COOL
18.8912,46.16121,17.14203,22.49805,COOL
18.49233,45.90117,17.11803,22.52012,COOL
18.11542,45.75479,17.14828,22.46982,COOL
17.96742,45.52951,17.15692,22.46615,COOL
17.90067,45.36776,17.16755,22.45967,COOL
17.61343,45.14435,17.14046,22.44871,COOL
17.32332,44.92632,17.14284,22.49697,COOL
17.28579,44.85016,17.17059,22.51991,COOL
17.09299,44.5739,17.20339,22.59683,COOL
17.06209,44.43745,17.25253,22.62189,COOL
16.91108,44.25907,17.30407,22.61418,COOL
16.99288,44.16766,17.34456,22.63881,COOL
17.0055,44.13179,17.37148,22.64586,COOL
17.25,44.08761,17.44208,22.68231,COOL
17.5814,44.06348,17.49701,22.69498,COOL
17.64363,44.11278,17.41083,22.67974,COOL
17.62234,44.03613,17.41837,22.67367,COOL
17.65693,43.92403,17.48376,22.69391,COOL
17.60032,43.80932,17.53501,22.68446,COOL
17.52552,43.65299,17.59454,22.68097,COOL
17.68032,43.72234,17.61384,22.66418,COOL
18.14287,43.87026,17.65882,22.70323,COOL
18.47166,43.9706,17.74406,22.70943,COOL
18.81918,43.97648,17.87355,22.68327,COOL
18.97091,43.8776,17.89488,22.65322,COOL
19.02908,43.88239,17.87707,22.66559,COOL
19.05052,43.82558,17.87372,22.67132,COOL
19.13984,43.79008,17.83344,22.69354,COOL
19.23774,43.80034,17.74271,22.66397,COOL
19.46311,43.86681,17.68775,22.6486,COOL
19.405,43.68513,17.77744,22.66417,COOL
19.16038,43.33931,17.89795,22.70855,COOL
19.09544,43.29556,17.90487,22.70461,COOL
18.95992,43.28299,17.89994,22.72403,COOL
18.88321,43.30032,17.84817,22.72819,COOL
18.77434,43.4574,17.76943,22.68068,COOL
18.55493,43.65152,17.69231,22.62701,COOL
18.5563,43.90731,17.65254,22.60032,COOL
18.48439,43.93883,17.63867,22.60432,COOL
18.50755,43.86488,17.65798,22.63543,COOL
18.49021,43.82176,17.67044,22.63952,COOL
18.56027,43.77571,17.68503,22.67614,COOL
18.39231,43.68678,17.70621,22.66421,COOL
18.31981,43.74354,17.68986,22.66628,COOL
18.4304,43.75393,17.71575,22.67302,COOL
18.53632,43.66488,17.73,22.69686,COOL
18.86921,43.79802,17.73033,22.70831,COOL
19.05018,43.85556,17.68956,22.72249,COOL
19.3637,44.08289,17.65394,22.713,COOL
19.23891,44.20498,17.65003,22.70527,COOL
19.35215,44.28341,17.65581,22.70786,COOL
19.03628,44.22401,17.64797,22.70042,COOL
18.86029,44.22042,17.65787,22.73809,COOL
18.90626,44.15205,17.72747,22.75898,COOL
19.00912,44.10519,17.80092,22.77933,COOL
19.28387,44.23383,17.80691,22.7655,COOL
20.23794,44.70647,17.76325,22.75186,COOL
20.6241,44.95565,17.74523,22.75689,COOL
20.8073,45.23183,17.65769,22.75416,COOL
20.81841,45.47254,17.52905,22.71274,COOL
20.84492,45.42708,17.46666,22.73569,COOL
20.94357,45.3504,17.49377,22.72387,COOL
20.82293,45.45554,17.46246,22.68003,COOL
21.16112,45.77442,17.38989,22.6669,COOL
21.19451,45.79678,17.36098,22.68207,COOL
21.2792,45.88404,17.30812,22.70031,COOL
21.01351,45.81953,17.28734,22.68169,COOL
20.60409,45.58828,17.29205,22.65898,COOL
20.12578,45.45075,17.2979,22.58139,COOL
20.0424,45.51083,17.22251,22.52315,COOL
20.21872,45.61113,17.1815,22.52161,COOL
20.4079,45.69348,17.18053,22.53304,COOL
20.48762,45.73089,17.213,22.52402,COOL
20.50873,45.76059,17.24093,22.5296,COOL
20.39876,45.70158,17.25397,22.51202,COOL
20.33802,45.63693,17.26468,22.50242,COOL
20.13738,45.57049,17.23295,22.49708,COOL
19.86859,45.41541,17.25115,22.49418,COOL
19.96812,45.35135,17.29185,22.50747,COOL
20.01457,45.33715,17.3282,22.50286,COOL
20.27317,45.49258,17.31486,22.47435,COOL
20.61483,45.8643,17.06952,22.46027,COOL
20.78922,45.96349,16.96454,22.50556,COOL
21.01444,46.02139,16.92368,22.54471,COOL
21.26474,46.11258,16.95596,22.58442,COOL
21.45642,46.27123,16.97865,22.58674,COOL
21.32407,46.28701,17.03122,22.57516,COOL
21.01166,46.26659,17.04989,22.54547,COOL
20.88173,46.28453,17.04364,22.51512,COOL
20.8474,46.30186,17.03365,22.49329,COOL
20.59665,46.14464,17.12423,22.45499,COOL
20.38163,46.1075,17.17814,22.39571,COOL
19.90022,45.88269,17.18732,22.35469,COOL
18.88393,44.98408,17.0502,22.28364,COOL
18.74837,44.96305,16.99435,22.27465,COOL
19.23606,45.24684,17.10962,22.3239,COOL
19.58268,45.33459,17.24866,22.37734,COOL
20.13263,45.69394,17.26645,22.40292,COOL
20.15617,45.57253,17.13918,22.3846,COOL
19.58096,45.01107,16.88121,22.35215,COOL
19.28366,44.76374,16.80995,22.36408,COOL
18.81178,44.32099,16.76548,22.36664,COOL
18.97408,44.43253,16.81965,22.38058,COOL
19.25356,44.60204,16.88532,22.3998,COOL
19.28744,44.72636,16.94871,22.41176,COOL
19.50036,44.98209,17.06975,22.42802,COOL
19.21087,44.70254,16.92481,22.38875,COOL
19.25657,44.84771,16.89294,22.41068,COOL
19.19858,44.7423,16.84069,22.45899,COOL
19.6355,44.96309,16.86079,22.47093,COOL
20.30992,45.55508,17.02894,22.51391,COOL
20.47427,45.75163,17.15613,22.55866,COOL
20.70457,45.8679,17.22641,22.57353,COOL
20.89043,45.89853,17.21803,22.59395,COOL
21.12868,45.9176,17.21727,22.61528,COOL
21.1815,45.97174,17.22066,22.62011,COOL
21.39135,46.08441,17.21524,22.63275,COOL
21.45728,46.14245,17.30161,22.64087,COOL
21.16161,45.98658,17.33314,22.63522,COOL
21.03081,45.96383,17.32118,22.60774,COOL
20.78317,45.85225,17.29681,22.59051,COOL
20.33458,45.65898,17.24922,22.56562,COOL
20.42418,45.62433,17.23822,22.57842,COOL
20.52036,45.69313,17.26018,22.58579,COOL
20.6754,45.81533,17.31571,22.58891,COOL
21.11888,46.0815,17.34833,22.6022,COOL
21.20749,46.15292,17.37011,22.60174,COOL
21.57712,46.26485,17.38308,22.62069,COOL
21.37557,46.26058,17.36346,22.55983,COOL
21.47485,46.33118,17.24282,22.52173,COOL
21.5483,46.3384,17.19473,22.49365,COOL
21.44745,46.20831,17.18333,22.47735,COOL
21.78456,46.43515,17.22832,22.49743,COOL
21.71354,46.45992,17.25244,22.49729,COOL
21.7232,46.56931,17.19542,22.47112,COOL
21.5255,46.516,17.18141,22.51887,COOL
21.4383,46.44147,17.17065,22.55802,COOL
21.23851,46.27946,17.18417,22.58013,COOL
21.03686,46.12938,17.15889,22.558,COOL
21.01573,45.98966,17.14025,22.54991,COOL
21.00935,45.92712,17.17796,22.56683,COOL
21.19752,46.0569,17.20236,22.54938,COOL
21.20736,46.12545,17.24986,22.54115,COOL
21.26503,46.13797,17.28004,22.55303,COOL
21.26377,46.06793,17.30598,22.59358,COOL
21.1508,46.02433,17.32031,22.59198,COOL
20.8381,46.02229,17.28058,22.52398,COOL
20.77714,45.99113,17.26973,22.50116,COOL
20.73935,45.91327,17.25706,22.53217,COOL
20.65201,45.78563,17.27574,22.59979,COOL
20.61266,45.72141,17.27771,22.59724,COOL
20.63348,45.64935,17.33136,22.55466,COOL
20.65339,45.62262,17.35734,22.53731,COOL
20.63733,45.52411,17.36199,22.57697,COOL
20.38791,45.34487,17.38054,22.62019,COOL
20.12963,45.08201,17.43835,22.71483,COOL
20.06765,45.03278,17.43301,22.73856,COOL
20.22741,45.07619,17.45117,22.76219,COOL
20.28799,45.11795,17.47037,22.75109,COOL
20.41278,45.39374,17.41239,22.65933,COOL
20.6048,45.60253,17.39837,22.60541,COOL
20.75519,45.79036,17.35733,22.55242,COOL
21.04474,45.93062,17.34096,22.54863,COOL
21.17809,46.02795,17.30903,22.55417,COOL
21.21841,46.08851,17.28315,22.57081,COOL
