pTHUMB_BONE1_X,rTHUMB_BONE1_X,pTHUMB_BONE1_Y,rTHUMB_BONE1_Y,pTHUMB_BONE1_Z,rTHUMB_BONE1_Z,pTHUMB_BONE2_X,rTHUMB_BONE2_X,pTHUMB_BONE2_Y,rTHUMB_BONE2_Y,pTHUMB_BONE2_Z,rTHUMB_BONE2_Z,pTHUMB_BONE3_X,rTHUMB_BONE3_X,pTHUMB_BONE3_Y,rTHUMB_BONE3_Y,pTHUMB_BONE3_Z,rTHUMB_BONE3_Z,pINDEX_BONE1_X,rINDEX_BONE1_X,pINDEX_BONE1_Y,rINDEX_BONE1_Y,pINDEX_BONE1_Z,rINDEX_BONE1_Z,pINDEX_BONE2_X,rINDEX_BONE2_X,pINDEX_BONE2_Y,rINDEX_BONE2_Y,pINDEX_BONE2_Z,rINDEX_BONE2_Z,pINDEX_BONE3_X,rINDEX_BONE3_X,pINDEX_BONE3_Y,rINDEX_BONE3_Y,pINDEX_BONE3_Z,rINDEX_BONE3_Z,pMIDDLE_BONE1_X,rMIDDLE_BONE1_X,pMIDDLE_BONE1_Y,rMIDDLE_BONE1_Y,pMIDDLE_BONE1_Z,rMIDDLE_BONE1_Z,pMIDDLE_BONE2_X,rMIDDLE_BONE2_X,pMIDDLE_BONE2_Y,rMIDDLE_BONE2_Y,pMIDDLE_BONE2_Z,rMIDDLE_BONE2_Z,pMIDDLE_BONE3_X,rMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,rMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,rMIDDLE_BONE3_Z,pRING_BONE1_X,rRING_BONE1_X,pRING_BONE1_Y,rRING_BONE1_Y,pRING_BONE1_Z,rRING_BONE1_Z,pRING_BONE2_X,rRING_BONE2_X,pRING_BONE2_Y,rRING_BONE2_Y,pRING_BONE2_Z,rRING_BONE2_Z,pRING_BONE3_X,rRING_BONE3_X,pRING_BONE3_Y,rRING_BONE3_Y,pRING_BONE3_Z,rRING_BONE3_Z,pPINKY_BONE1_X,rPINKY_BONE1_X,pPINKY_BONE1_Y,rPINKY_BONE1_Y,pPINKY_BONE1_Z,rPINKY_BONE1_Z,pPINKY_BONE2_X,rPINKY_BONE2_X,pPINKY_BONE2_Y,rPINKY_BONE2_Y,pPINKY_BONE2_Z,rPINKY_BONE2_Z,pPINKY_BONE3_X,rPINKY_BONE3_X,pPINKY_BONE3_Y,rPINKY_BONE3_Y,pPINKY_BONE3_Z,rPINKY_BONE3_Z,target
-0.003469428,35.62329,-0.1765464,251.006,0.3990537,102.9452,-0.03123634,37.55214,-0.1995543,233.1048,0.3855689,92.21722,-0.04525743,36.16677,-0.2150145,211.0831,0.3710842,78.90178,-0.06311844,42.89227,-0.1629478,357.8409,0.420809,86.31683,-0.05297314,7.409474,-0.1774097,85.23296,0.4357569,132.4999,-0.03587827,339.8358,-0.1761705,116.4178,0.4334579,128.8438,-0.06032401,51.58295,-0.1504366,353.8135,0.4325545,78.16624,-0.0493551,12.39435,-0.1700431,89.09204,0.4460592,141.4873,-0.02982461,339.6445,-0.1698496,115.2993,0.4428908,139.5575,-0.04216411,55.29362,-0.1232627,333.6576,0.4546181,42.49002,-0.03887072,31.62192,-0.1408374,101.8116,0.4611579,153.1502,-0.02491801,353.4561,-0.1445428,119.4158,0.4558753,157.2248,-0.05128178,52.64149,-0.1354291,349.6587,0.4442412,62.89429,-0.04202736,21.21059,-0.1557808,98.01443,0.4545522,144.5911,-0.02370374,345.958,-0.1582341,121.6761,0.448689,146.1656,NOT_OK
-0.004617662,36.67509,-0.1782917,252.8128,0.3981723,104.1459,-0.03223135,38.88676,-0.2019286,233.7313,0.3855723,92.3865,-0.04620226,37.5788,-0.2178743,212.116,0.3715338,78.90961,-0.06441592,42.16287,-0.1653403,358.2372,0.4195815,86.98093,-0.05416753,6.864584,-0.1795202,85.11405,0.4347212,131.7932,-0.03702291,340.2454,-0.1782305,116.0191,0.4324821,128.1405,-0.06164162,50.73964,-0.1526015,355.1091,0.4312177,78.55711,-0.05040325,12.64042,-0.1720626,89.54531,0.4448997,140.5306,-0.03085692,340.8083,-0.1720828,115.7365,0.4415535,138.9475,-0.04379248,54.538,-0.1248529,335.7971,0.4529374,42.57858,-0.04040264,32.96225,-0.1424809,102.92,0.4596599,152.1077,-0.02667101,355.3079,-0.1466069,120.9929,0.4540656,156.808,-0.05280869,51.67718,-0.1372764,351.0171,0.4427291,62.79871,-0.0434129,22.29201,-0.1576392,98.52093,0.4532622,143.4131,-0.02523297,347.3453,-0.1605062,122.7836,0.4471525,145.5822,NOT_OK
-0.005002395,37.94624,-0.1795523,256.142,0.4012454,107.4626,-0.03255583,41.01343,-0.2040385,235.8648,0.3903435,94.48531,-0.04622635,39.80658,-0.2207354,211.1197,0.377012,78.29905,-0.06528261,39.90155,-0.1664506,357.011,0.4209138,84.3164,-0.05544434,9.454405,-0.1805424,84.48132,0.4366489,129.2962,-0.03816776,344.4854,-0.1802743,114.9817,0.4345658,127.6052,-0.06264248,48.66057,-0.1533915,354.6729,0.4321991,77.37979,-0.05165691,14.40592,-0.172728,88.77171,0.4466305,138.2808,-0.03203081,344.193,-0.173602,115.0863,0.4434679,137.9419,-0.04512984,52.38191,-0.1247961,337.3313,0.4533642,41.70308,-0.04193807,35.59606,-0.1424021,103.5693,0.4605975,150.0403,-0.0285401,358.8866,-0.1473405,122.6115,0.4547784,156.0371,-0.05401921,49.54119,-0.137626,351.0581,0.4433677,62.02826,-0.04484754,24.29992,-0.1579149,97.56615,0.4546823,141.0381,-0.02670375,350.8495,-0.161682,122.4409,0.4487737,144.5161,NOT_OK
-0.005689516,37.44928,-0.1804726,257.2572,0.4026426,108.179,-0.03350106,40.81416,-0.2047562,236.0866,0.3920829,94.72038,-0.04699354,39.29853,-0.2213411,208.9773,0.3785671,77.08063,-0.06589475,39.69753,-0.1666242,356.0305,0.4218243,82.09281,-0.05638269,11.51843,-0.1810458,84.41868,0.4375924,128.9426,-0.03908999,346.6318,-0.1814374,114.5427,0.4355361,128.4328,-0.06318253,48.53754,-0.1536482,353.3266,0.433125,75.59594,-0.05262659,15.97599,-0.1732899,88.39948,0.4476335,138.1578,-0.03298715,345.966,-0.1747512,114.3036,0.4446213,138.6201,-0.04539431,51.85748,-0.1252716,335.9371,0.4544087,40.12511,-0.04258323,37.04119,-0.1429662,103.2845,0.4617176,150.0887,-0.02927228,0.510128,-0.1483005,122.1768,0.456012,156.5438,-0.05443139,49.41827,-0.1380156,349.5747,0.4443264,60.86646,-0.04568004,25.47801,-0.1585074,96.63741,0.4558104,140.9908,-0.02749603,352.36,-0.162723,121.1636,0.4502357,145.0178,NOT_OK
-0.006664538,36.65647,-0.180093,256.4698,0.4038245,107.7369,-0.0347642,39.89583,-0.2039298,236.306,0.3929178,95.16022,-0.04841966,38.49405,-0.2202138,208.6774,0.3792497,77.4937,-0.0667233,40.00955,-0.1656161,355.4666,0.4231244,81.63976,-0.05736951,11.89344,-0.1801873,84.1835,0.4388567,129.2472,-0.04006638,346.833,-0.1806741,114.1074,0.436891,128.8986,-0.06396165,48.72956,-0.1527052,352.1749,0.4344963,74.57591,-0.05372633,16.64202,-0.1725363,88.07576,0.4489826,138.4207,-0.03407785,346.5347,-0.1742204,113.709,0.4461072,139.1691,-0.04592714,51.63112,-0.1246178,334.2377,0.4559447,39.17015,-0.04343087,37.62096,-0.1423441,102.4938,0.463281,150.331,-0.03008099,1.169341,-0.1478374,121.1705,0.4577968,156.912,-0.05509195,49.51874,-0.137225,348.1312,0.445784,59.92216,-0.04669845,26.07378,-0.1578553,96.01057,0.4573061,141.286,-0.02847562,352.9978,-0.1622791,120.2025,0.4519722,145.528,NOT_OK
-0.006640618,35.38625,-0.1791171,252.7488,0.4022882,104.1535,-0.03493199,37.59866,-0.202055,235.5076,0.3897561,93.84747,-0.04903066,36.08389,-0.2175127,209.3856,0.3755536,78.00747,-0.06653272,42.50317,-0.1646127,355.3181,0.4231003,83.20753,-0.05713443,10.61491,-0.1795755,83.69715,0.4383746,131.8569,-0.03982933,344.0868,-0.179472,113.1571,0.4366526,130.4261,-0.06366257,50.79421,-0.1520507,351.1013,0.434956,73.86189,-0.05360147,16.70768,-0.172397,88.3168,0.4487666,140.6569,-0.03396907,345.2367,-0.1739106,113.1956,0.4459254,141.1023,-0.04530881,53.10999,-0.1249402,331.2077,0.4572383,37.92799,-0.04303841,36.90321,-0.1428283,101.9304,0.4641066,152.5207,-0.02948376,359.839,-0.1480557,119.3381,0.4588873,158.3469,-0.05463612,51.40953,-0.1370735,346.3542,0.4467341,58.81668,-0.04650231,25.88347,-0.1580862,96.27695,0.4576199,143.6205,-0.0282505,351.3878,-0.1622406,119.5884,0.4523256,147.3354,NOT_OK
-0.006624283,35.00304,-0.1789936,251.4494,0.4021399,103.1364,-0.03487552,36.96044,-0.2016684,234.8684,0.3889942,93.34857,-0.04913764,35.57135,-0.2169154,210.3888,0.3746482,78.7227,-0.06647905,43.36364,-0.1644146,355.2946,0.4231611,84.42254,-0.05704115,9.469497,-0.1793761,83.31946,0.4383132,132.814,-0.03976117,342.2711,-0.178828,112.9693,0.4367143,130.5673,-0.06361179,51.37222,-0.1519237,350.7587,0.4352027,73.51205,-0.05358797,16.49047,-0.1723607,88.72915,0.4487465,141.3716,-0.03399535,344.3222,-0.1736987,113.6159,0.4457773,141.5582,-0.04528534,53.46038,-0.1251217,329.9457,0.4577696,37.41449,-0.04309843,36.25599,-0.1429884,101.8379,0.4644674,153.3466,-0.02945415,358.7353,-0.1479881,118.8616,0.4593039,158.7877,-0.05460034,51.92275,-0.1371059,345.6491,0.4471471,58.25081,-0.04655235,25.4643,-0.1581482,96.7634,0.4577616,144.4885,-0.02833351,350.0058,-0.1620222,120.0512,0.4523268,147.8242,NOT_OK
-0.006182925,34.76228,-0.1801534,251.4953,0.4017976,103.1536,-0.03450174,36.74566,-0.2027012,234.7138,0.388602,93.3003,-0.04898326,35.63225,-0.2179115,212.0731,0.3743446,79.81728,-0.06580005,43.24804,-0.1652394,355.7013,0.4234286,84.58589,-0.05623487,8.943201,-0.1800747,84.03786,0.4384838,132.7715,-0.03901615,341.5049,-0.1793317,114.2021,0.4366235,130.1254,-0.06280505,50.98822,-0.1526649,351.017,0.4354722,72.4092,-0.0527506,16.7201,-0.1730601,90.19186,0.4488257,141.2053,-0.03326565,344.3989,-0.1744577,115.3034,0.4453275,141.4648,-0.04418368,53.08733,-0.1259073,330.2496,0.4577719,36.94744,-0.04201817,36.25947,-0.1437129,102.7331,0.4644586,153.4033,-0.02845373,358.7459,-0.1487144,119.7143,0.4590875,158.8326,-0.05363123,51.5382,-0.1378615,345.9156,0.4472871,57.33612,-0.04560356,25.65659,-0.1588581,98.05354,0.4577706,144.4863,-0.02754106,349.9493,-0.1627615,121.4783,0.4519137,147.8738,NOT_OK
-0.006319246,34.70576,-0.1822577,252.0023,0.4023956,103.9251,-0.03483691,36.83516,-0.2048056,235.9038,0.389575,94.47247,-0.04962784,36.15075,-0.2201118,213.739,0.3757144,81.18333,-0.06571148,42.18095,-0.1662148,355.6651,0.4246466,82.99273,-0.05619069,10.03572,-0.1809905,84.96246,0.4397687,131.6758,-0.03900007,342.9873,-0.1806388,115.4373,0.4375663,129.7226,-0.06248114,49.8437,-0.1534878,350.8281,0.4364825,70.8242,-0.05259942,17.84397,-0.1738469,90.981,0.4499899,140.2176,-0.03322054,345.7518,-0.1756742,116.5402,0.4461453,141.0661,-0.0432559,52.02327,-0.1266552,330.9109,0.4581622,36.462,-0.04122449,37.42122,-0.1444242,103.1961,0.4650751,152.5837,-0.0278372,0.1257857,-0.1497532,120.6418,0.4595639,158.55,-0.05296197,50.35476,-0.1386162,346.1161,0.4479892,55.91809,-0.0451318,27.14473,-0.1596413,98.81056,0.45867,143.5697,-0.02727293,351.8838,-0.1641111,122.5136,0.452539,147.7387,NOT_OK
-0.006539661,34.2897,-0.1822266,251.8194,0.4028777,103.0579,-0.03501125,36.30434,-0.20452,234.3658,0.3896505,92.91915,-0.0496759,35.30836,-0.2195878,213.2786,0.3753598,80.48949,-0.06584582,43.12528,-0.1664631,355.5348,0.4253135,82.71993,-0.05634854,10.33284,-0.1815267,85.08845,0.4401952,132.6157,-0.03916385,342.6951,-0.1811928,115.2058,0.4380004,130.6853,-0.06257255,50.81464,-0.153953,350.6001,0.4373483,70.58372,-0.05270033,17.84022,-0.1745443,91.23682,0.4505157,141.2444,-0.03333255,345.1612,-0.176287,116.3912,0.4466458,141.9421,-0.04327697,52.95134,-0.1275356,330.2644,0.4594486,35.80956,-0.04122351,37.03621,-0.1454137,103.8167,0.4660498,153.7935,-0.02782276,359.0774,-0.1505548,120.6774,0.4604533,159.356,-0.05301651,51.34563,-0.1393021,345.7937,0.4490868,55.65034,-0.04517749,26.88719,-0.1604954,99.21447,0.45941,144.6761,-0.02732082,350.9567,-0.164782,122.4815,0.4532131,148.5211,NOT_OK
