pTHUMB_BONE1_X,rTHUMB_BONE1_X,pTHUMB_BONE1_Y,rTHUMB_BONE1_Y,pTHUMB_BONE1_Z,rTHUMB_BONE1_Z,pTHUMB_BONE2_X,rTHUMB_BONE2_X,pTHUMB_BONE2_Y,rTHUMB_BONE2_Y,pTHUMB_BONE2_Z,rTHUMB_BONE2_Z,pTHUMB_BONE3_X,rTHUMB_BONE3_X,pTHUMB_BONE3_Y,rTHUMB_BONE3_Y,pTHUMB_BONE3_Z,rTHUMB_BONE3_Z,pINDEX_BONE1_X,rINDEX_BONE1_X,pINDEX_BONE1_Y,rINDEX_BONE1_Y,pINDEX_BONE1_Z,rINDEX_BONE1_Z,pINDEX_BONE2_X,rINDEX_BONE2_X,pINDEX_BONE2_Y,rINDEX_BONE2_Y,pINDEX_BONE2_Z,rINDEX_BONE2_Z,pINDEX_BONE3_X,rINDEX_BONE3_X,pINDEX_BONE3_Y,rINDEX_BONE3_Y,pINDEX_BONE3_Z,rINDEX_BONE3_Z,pMIDDLE_BONE1_X,rMIDDLE_BONE1_X,pMIDDLE_BONE1_Y,rMIDDLE_BONE1_Y,pMIDDLE_BONE1_Z,rMIDDLE_BONE1_Z,pMIDDLE_BONE2_X,rMIDDLE_BONE2_X,pMIDDLE_BONE2_Y,rMIDDLE_BONE2_Y,pMIDDLE_BONE2_Z,rMIDDLE_BONE2_Z,pMIDDLE_BONE3_X,rMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,rMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,rMIDDLE_BONE3_Z,pRING_BONE1_X,rRING_BONE1_X,pRING_BONE1_Y,rRING_BONE1_Y,pRING_BONE1_Z,rRING_BONE1_Z,pRING_BONE2_X,rRING_BONE2_X,pRING_BONE2_Y,rRING_BONE2_Y,pRING_BONE2_Z,rRING_BONE2_Z,pRING_BONE3_X,rRING_BONE3_X,pRING_BONE3_Y,rRING_BONE3_Y,pRING_BONE3_Z,rRING_BONE3_Z,pPINKY_BONE1_X,rPINKY_BONE1_X,pPINKY_BONE1_Y,rPINKY_BONE1_Y,pPINKY_BONE1_Z,rPINKY_BONE1_Z,pPINKY_BONE2_X,rPINKY_BONE2_X,pPINKY_BONE2_Y,rPINKY_BONE2_Y,pPINKY_BONE2_Z,rPINKY_BONE2_Z,pPINKY_BONE3_X,rPINKY_BONE3_X,pPINKY_BONE3_Y,rPINKY_BONE3_Y,pPINKY_BONE3_Z,rPINKY_BONE3_Z,target
-0.03771463,294.5956,-0.1131241,288.2939,0.5021892,348.7087,-0.05199336,291.0659,-0.07786167,290.2603,0.5071087,346.8955,-0.05887857,281.1891,-0.05326158,302.4217,0.5101083,335.1662,-0.09939983,5.870306,-0.1089303,222.5175,0.5274541,291.0493,-0.1062051,21.7383,-0.1149242,142.3016,0.5053289,268.1073,-0.09282513,15.78263,-0.1210316,102.3164,0.4957756,254.7418,-0.1026609,356.9672,-0.1247296,219.2481,0.5321985,288.3826,-0.1088439,17.36649,-0.1273963,142.0642,0.5058448,276.8293,-0.09352919,17.85987,-0.1337966,103.1839,0.4943992,264.6374,-0.09792534,347.7611,-0.1630082,226.668,0.5389709,270.3797,-0.1049697,357.2866,-0.1592259,151.0725,0.5206419,281.9447,-0.093776,4.794284,-0.1594571,115.7239,0.5096141,281.2803,-0.1011949,354.9582,-0.1449494,222.8996,0.5369995,278.5522,-0.1079787,7.187011,-0.1447424,146.4459,0.5120704,276.8529,-0.09333891,9.85762,-0.1477356,108.9927,0.4990933,271.0993,OK
-0.03306181,294.5682,-0.1124499,285.6956,0.5037695,352.2913,-0.04759035,291.1965,-0.07719553,286.959,0.5079789,351.1268,-0.05480507,281.5742,-0.05262172,294.5049,0.5104684,343.8611,-0.09382449,6.695138,-0.1076944,223.49,0.5305232,291.4891,-0.1008972,22.28757,-0.1140608,142.4892,0.5086528,267.1428,-0.08756126,15.57302,-0.1202377,102.3736,0.4991015,253.6095,-0.09700483,357.8198,-0.1234106,220.0975,0.5355794,288.8304,-0.1034874,18.04496,-0.126543,142.1539,0.5094435,275.8906,-0.08820692,17.8018,-0.1330792,102.9773,0.4980503,263.3911,-0.09221498,348.2887,-0.1615002,227.2039,0.5428526,271.332,-0.09940659,358.4298,-0.1580362,151.2881,0.5245873,281.6821,-0.08824682,5.599746,-0.1585509,115.7107,0.5135436,280.387,-0.09544443,355.7316,-0.1435356,223.5187,0.5406271,279.078,-0.102406,7.943725,-0.1437615,146.4079,0.5158525,276.1332,-0.08776511,10.02375,-0.1469414,108.7715,0.5029293,270.0399,OK
-0.03261484,294.0774,-0.1101113,283.6907,0.506744,354.2767,-0.04699869,290.7169,-0.07472944,284.6431,0.5103407,353.3958,-0.05414579,281.155,-0.05009466,290.3795,0.5124182,347.8603,-0.09290977,6.34019,-0.1038083,224.0638,0.5339061,292.7104,-0.1001977,23.40959,-0.1102517,142.6125,0.5122112,267.5156,-0.08695643,16.59304,-0.1167558,102.0184,0.5027651,253.0705,-0.09631318,357.6112,-0.1194314,220.3106,0.5391095,290.0384,-0.1029049,19.22554,-0.1227344,142.1428,0.5130957,276.2337,-0.08770724,18.8926,-0.1296725,102.4517,0.501853,262.7903,-0.09209315,347.9088,-0.1575152,226.7042,0.5466799,272.7982,-0.09907632,359.8429,-0.1541647,150.553,0.5283821,282.4051,-0.08778414,7.204209,-0.1551115,114.765,0.5175157,280.1267,-0.09499956,355.5211,-0.13955,223.2865,0.5442736,280.3268,-0.1018221,9.165288,-0.1399646,145.8565,0.5195462,276.5458,-0.08709866,11.23888,-0.1435817,107.9487,0.5068445,269.5829,OK
-0.03319065,293.3456,-0.0984928,281.5542,0.5137331,356.8425,-0.04731514,290.1934,-0.06294364,282.0578,0.516668,356.3746,-0.05435623,280.6415,-0.03824204,285.3274,0.5182853,353.2117,-0.0926846,5.807015,-0.09022576,224.7403,0.5415902,295.0717,-0.1002883,25.6363,-0.09687454,142.8648,0.5201534,268.2328,-0.08725677,18.66005,-0.1040263,101.5247,0.5108988,252.0131,-0.09635809,357.2886,-0.1057184,220.7251,0.5470661,292.1668,-0.103199,21.30308,-0.1093341,142.358,0.5212572,276.8337,-0.08821242,20.81323,-0.1169727,101.8853,0.5102109,261.7425,-0.09291542,347.2251,-0.1437329,226.8711,0.5551894,275.3785,-0.09987012,2.361094,-0.1405833,150.3028,0.536978,283.6447,-0.08858003,9.970619,-0.1422855,114.4242,0.5262016,279.6528,-0.0954095,355.0606,-0.1257656,223.5164,0.5524931,282.5979,-0.102304,11.36473,-0.1264894,145.7147,0.5279176,277.3666,-0.0876492,13.46796,-0.1308953,107.4728,0.5153894,268.8389,OK
-0.03114531,291.5904,-0.09725493,279.7175,0.5145505,359.5543,-0.04428256,288.4341,-0.06128013,279.7948,0.5168069,359.4817,-0.05067204,279.0028,-0.03637177,280.3374,0.5179258,358.9527,-0.09037236,5.585962,-0.08689868,225.9101,0.5427896,297.3467,-0.09865209,27.85855,-0.09384942,144.9382,0.5215724,269.2376,-0.08615912,20.97757,-0.101669,103.0483,0.5120991,251.2229,-0.0943211,357.3711,-0.1022131,221.5339,0.5486808,294.0866,-0.101808,23.08563,-0.1062278,144.3242,0.5229495,277.5379,-0.08737737,22.60299,-0.1144791,103.4131,0.5115985,261.0584,-0.09154612,347.5238,-0.1402115,226.9493,0.5576171,276.6308,-0.09870237,3.395828,-0.137301,151.5729,0.5393209,283.6969,-0.08766372,10.85928,-0.1392797,115.4592,0.5283413,279.0542,-0.09371909,355.2874,-0.1222224,224.1111,0.5545607,284.1567,-0.1011234,12.79356,-0.1233287,147.5173,0.5299674,277.712,-0.08693326,14.79435,-0.1282263,108.927,0.5171013,268.1672,OK
-0.03005481,291.3206,-0.08176219,273.3207,0.5197314,6.29907,-0.04315889,288.0132,-0.0457142,272.1391,0.5203939,7.411487,-0.0494648,278.6613,-0.02076238,263.9981,0.5204051,15.35974,-0.08928531,6.869797,-0.06987792,226.0091,0.5473034,300.2104,-0.09761016,30.86338,-0.0777542,144.1493,0.5264468,268.2191,-0.08521993,22.64016,-0.08627617,101.7747,0.5174494,248.3747,-0.0933028,358.9038,-0.08492923,221.457,0.5538908,296.455,-0.1008263,25.74603,-0.0900625,143.7269,0.5283973,276.3967,-0.08647954,23.91761,-0.09903121,102.1875,0.517495,258.2952,-0.09063637,348.8854,-0.1225288,226.5877,0.5645186,279.2893,-0.09776407,6.351674,-0.1204395,151.305,0.5461527,283.0037,-0.08672025,12.82827,-0.12313,114.7966,0.5353296,276.7034,-0.09274363,356.7535,-0.1046721,223.8988,0.5606363,286.6737,-0.1001117,15.60479,-0.1068825,147.0169,0.5361502,276.7742,-0.08593348,16.41753,-0.1126005,108.0021,0.5236119,265.6121,OK
-0.02098306,290.9209,-0.07305044,256.4919,0.5222953,21.28879,-0.03308069,286.4879,-0.03682405,250.2792,0.5189056,27.17756,-0.0382789,279.1021,-0.01176423,221.8081,0.5162005,55.02456,-0.08093429,8.846053,-0.05790251,224.6286,0.5471191,304.92,-0.08892149,35.78359,-0.06721723,142.1242,0.5266,267.115,-0.07666221,25.49799,-0.0768674,98.29211,0.5186504,243.8483,-0.08544357,1.493525,-0.07242179,219.4721,0.5546921,300.327,-0.09229431,30.02877,-0.07937753,141.3476,0.5293533,274.6978,-0.0778801,25.96434,-0.08946323,98.25845,0.5196288,253.6853,-0.08375723,351.3135,-0.1091759,223.3425,0.5681661,283.557,-0.09012895,10.89563,-0.1084385,149.3088,0.5493327,281.8669,-0.07882234,15.78895,-0.1122051,112.043,0.53912,272.9603,-0.08537123,359.2206,-0.09160191,221.2792,0.5628424,291.1207,-0.0918785,20.43188,-0.09567279,144.7428,0.5382448,275.5229,-0.07749434,19.37621,-0.1027996,104.739,0.5267115,261.3934,OK
-0.01282757,295.4849,-0.06245661,233.2096,0.5174047,45.14389,-0.02441867,291.4113,-0.0273838,220.6628,0.5072218,56.66911,-0.02869532,287.848,-0.003126293,191.3455,0.4998239,84.36354,-0.07070113,10.75383,-0.04002583,227.0858,0.5418714,314.004,-0.0802174,45.00462,-0.05130064,145.3224,0.5226545,268.0919,-0.06946054,32.7575,-0.06312788,98.0043,0.5154456,237.1706,-0.07615925,5.215817,-0.05355054,222.2215,0.5516555,304.774,-0.08419335,35.09373,-0.06286007,141.8738,0.5274726,271.261,-0.07032169,27.52749,-0.0741027,97.51443,0.5182741,247.2865,-0.07585917,354.8665,-0.08836496,223.9319,0.569499,289.4328,-0.08234956,17.90128,-0.08964366,147.5698,0.5510548,279.2314,-0.070939,19.69292,-0.09495175,108.0994,0.5417359,266.042,-0.07669193,2.802196,-0.07151961,222.8862,0.5619991,297.182,-0.08379447,27.20726,-0.07818812,143.7927,0.5383881,272.5054,-0.06968079,22.59484,-0.08709985,102.0162,0.5278477,254.2337,OK
-0.01593696,299.2406,-0.05394971,224.3952,0.5131303,54.93509,-0.02728101,295.8264,-0.02003953,211.257,0.4993769,66.60133,-0.03136211,293.5937,0.003375977,188.4706,0.4895132,87.35255,-0.07292433,11.62993,-0.02814424,229.2935,0.5379073,318.9881,-0.08323545,49.92316,-0.04034036,144.9297,0.5198621,266.7018,-0.07298909,35.31533,-0.05308276,95.70591,0.5135195,231.9708,-0.07851737,7.535404,-0.0412358,224.6293,0.5489171,306.7002,-0.08711433,37.28362,-0.05181098,140.3823,0.525817,267.4377,-0.07313166,26.67726,-0.06333637,95.76698,0.5172319,242.8159,-0.0781492,357.393,-0.07480562,224.6243,0.5688622,292.1918,-0.08457893,21.50088,-0.07730275,144.7758,0.550895,276.2017,-0.07281566,20.47371,-0.08322996,103.5877,0.5425148,260.8714,-0.07891271,5.320354,-0.05851299,224.3499,0.560293,299.796,-0.08610073,30.19794,-0.06663144,140.9207,0.5376586,268.6778,-0.07164679,22.36435,-0.07608211,98.4781,0.5281673,249.122,OK
-0.02486406,302.0367,-0.06388432,242.2104,0.5208036,31.10987,-0.04102746,295.8116,-0.03054523,233.2008,0.5111052,39.011,-0.04823252,288.9416,-0.006818056,213.1603,0.5042551,57.60254,-0.08551913,14.08194,-0.04949254,224.2693,0.5443402,302.1425,-0.09265685,33.67568,-0.06020677,139.0065,0.5241205,260.7132,-0.07960489,20.39823,-0.06890076,97.80193,0.5163253,241.1906,-0.08984797,7.30415,-0.06394458,219.6889,0.5528784,294.9751,-0.09558278,25.68723,-0.07223272,136.1214,0.5280595,266.1458,-0.07959531,17.55216,-0.0803138,95.48192,0.5189948,250.5687,-0.08613564,358.5506,-0.09988552,221.8033,0.5684086,276.9265,-0.09122717,6.611554,-0.1004953,141.0078,0.5497928,272.5265,-0.07822452,6.741569,-0.1024154,102.2733,0.5413764,267.8459,-0.08860605,5.959125,-0.08280814,220.0977,0.5619979,285.6198,-0.09332909,16.26277,-0.08837557,137.092,0.5379832,266.1899,-0.07701884,10.31369,-0.09336215,97.83434,0.5281097,256.8045,OK
-0.04156296,306.5251,-0.07389259,261.6685,0.5250237,18.25339,-0.0631264,302.084,-0.04238361,258.896,0.521468,20.54435,-0.07475047,291.899,-0.01965779,248.3506,0.5184556,29.98289,-0.1022781,21.59324,-0.07242543,225.9377,0.5516233,290.8839,-0.1084804,22.98509,-0.08376509,137.9779,0.5317226,250.6748,-0.0943325,6.728394,-0.08890301,101.8467,0.5227343,241.0166,-0.103273,13.2024,-0.08725232,222.194,0.5598769,286.0835,-0.1092165,17.58259,-0.09605432,137.5857,0.5352745,258.9042,-0.09277723,7.363108,-0.1009938,100.5788,0.5247496,250.6031,-0.0925321,3.930191,-0.1219435,228.0381,0.5744026,270.7299,-0.09968074,1.412092,-0.1232483,148.1653,0.5563493,266.2601,-0.08780176,358.8322,-0.123307,110.5473,0.5461725,266.177,-0.09841427,11.4478,-0.1055747,224.4694,0.5686346,277.5831,-0.1046343,9.16217,-0.1115382,142.0278,0.5449175,259.7659,-0.08897139,1.054832,-0.1136737,104.9478,0.5330712,256.3364,OK
