THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
67.0292,15.50837,14.72527,24.80434,OPEN
66.66328,14.98667,15.0436,24.91152,OPEN
67.01591,15.06205,15.27776,24.90932,OPEN
67.16092,15.67501,15.49632,25.49183,OPEN
67.39667,16.13362,15.6708,25.75445,OPEN
68.40488,16.99363,15.93849,26.29172,OPEN
69.02435,17.25721,15.95862,26.52035,OPEN
71.65691,17.29017,15.80499,26.63488,OPEN
71.93027,17.56803,15.55086,26.10526,OPEN
71.91003,17.61598,15.24625,25.63737,OPEN
71.76228,17.81853,14.98703,25.14052,OPEN
70.82781,17.95738,15.08422,25.14,OPEN
71.48502,18.16992,15.44151,25.39812,OPEN
69.89471,18.2315,15.73103,25.34855,OPEN
71.23941,18.05341,15.76991,25.30314,OPEN
71.64843,17.88029,15.87164,25.62586,OPEN
72.1677,17.57474,15.90797,25.9042,OPEN
72.52103,17.28156,16.01025,25.84418,OPEN
72.57254,17.04185,15.90659,25.76135,OPEN
71.30492,16.66355,15.63513,25.51811,OPEN
71.12988,16.67669,15.21254,25.16611,OPEN
70.73699,16.75785,14.7371,24.91289,OPEN
69.57282,17.36157,14.0323,24.68264,OPEN
69.69216,17.575,13.63649,24.4677,OPEN
71.62669,17.71,13.55755,24.33547,OPEN
71.39589,17.73506,13.43047,24.11728,OPEN
71.28902,17.58336,13.50919,24.13362,OPEN
71.09696,17.74143,13.46482,24.04171,OPEN
71.43349,18.11977,13.39472,23.77935,OPEN
72.12007,18.1921,13.52615,23.33009,OPEN
71.68085,17.93727,13.69708,23.25771,OPEN
71.33841,17.40056,13.93823,23.51536,OPEN
71.41936,16.9799,14.13032,23.80725,OPEN
70.78707,16.85493,14.46548,24.17602,OPEN
69.35397,17.04342,14.82251,24.51328,OPEN
68.88675,17.185,15.12319,24.70307,OPEN
68.63245,17.14769,15.31757,24.75148,OPEN
68.21317,16.86353,15.86082,25.0367,OPEN
68.55646,16.70479,16.05982,25.25324,OPEN
68.79958,16.94701,16.36937,25.56415,OPEN
68.91222,17.07475,16.50719,25.63243,OPEN
69.12651,17.2238,16.76967,26.01468,OPEN
68.69279,17.3459,16.9208,26.03787,OPEN
68.33197,17.18147,16.87291,25.81322,OPEN
68.06911,17.02025,16.76418,25.46272,OPEN
68.23228,16.96437,16.71932,25.42303,OPEN
68.26944,16.86165,16.62006,25.2445,OPEN
68.2319,17.09453,16.75121,25.70308,OPEN
68.34681,17.15222,16.78139,25.83689,OPEN
68.39524,17.2716,16.84827,26.15528,OPEN
68.19415,17.42028,16.85235,26.25916,OPEN
68.27346,17.51376,16.84116,26.33013,OPEN
68.34538,17.5444,16.80779,26.32566,OPEN
68.53674,17.5921,16.74851,26.25038,OPEN
68.74418,17.53514,16.65973,26.12238,OPEN
68.71248,17.49227,16.6033,26.03737,OPEN
68.72448,17.49004,16.52817,25.98317,OPEN
68.31813,17.49874,16.52764,25.96016,OPEN
67.78997,17.36127,16.53387,25.93025,OPEN
67.45311,17.21902,16.49107,25.88384,OPEN
66.803,17.09551,16.44332,25.89135,OPEN
66.30731,17.08046,16.40428,25.85968,OPEN
64.30153,16.86131,16.21408,25.60993,OPEN
62.05766,16.60318,16.0673,25.37733,OPEN
60.59493,16.4279,15.92227,25.23645,OPEN
60.42479,16.34058,15.79639,25.17027,OPEN
60.8112,16.30123,15.68892,25.12998,OPEN
60.97195,16.29764,15.60919,25.13245,OPEN
60.49108,16.02787,15.46407,25.12373,OPEN
59.00054,15.91589,15.37194,24.99568,OPEN
57.89166,15.93019,15.30412,24.86855,OPEN
55.86687,15.87192,15.13402,24.54331,OPEN
55.04588,15.90983,15.09109,24.51878,OPEN
53.17404,16.29172,15.21978,24.21976,OPEN
51.33796,16.9184,15.55886,23.6138,OPEN
50.59022,17.15551,15.72737,23.39867,OPEN
50.34406,17.08473,15.65805,23.34841,OPEN
50.58967,16.39338,15.21534,23.39825,OPEN
50.59274,16.14429,15.03363,23.36695,OPEN
50.29269,15.9984,14.9648,23.34687,OPEN
49.52018,16.38478,15.27723,23.2007,OPEN
49.23672,16.6512,15.53049,23.19487,OPEN
49.26808,17.10208,15.70134,23.3128,OPEN
49.19289,17.27197,15.77569,23.22054,OPEN
49.68913,17.26885,15.61916,23.22503,OPEN
50.33564,17.10881,15.43151,23.45517,OPEN
51.97772,16.28545,14.71906,23.82803,OPEN
52.36597,15.88814,14.3589,23.71605,OPEN
