THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
38.24372,19.14706,22.64987,28.21622,THUMB
49.97862,19.20142,22.93612,28.71091,THUMB
60.04697,15.69945,22.17955,24.81794,THUMB
70.4168,10.73324,16.46768,19.44376,THUMB
66.03377,11.37454,16.24265,21.27567,THUMB
63.07892,12.92222,18.72732,24.19222,THUMB
62.56621,13.82461,20.39478,26.23104,THUMB
63.00728,13.77857,20.16355,25.89449,THUMB
63.63414,13.68305,19.72588,25.03662,THUMB
63.85084,13.7487,19.62241,24.84723,THUMB
64.02933,13.88051,19.63991,25.15349,THUMB
63.97901,14.01254,19.81737,25.61123,THUMB
63.92663,14.17249,19.85575,26.41053,THUMB
64.43285,14.24609,20.89641,27.22128,THUMB
64.89492,14.18103,21.32031,26.81607,THUMB
63.95773,13.47,20.78236,27.12233,THUMB
64.62568,12.75205,20.37932,27.0724,THUMB
64.54432,13.63072,21.01704,27.08603,THUMB
64.61575,14.25281,21.46719,27.07371,THUMB
64.08043,14.42631,21.75599,27.31821,THUMB
63.41652,14.29444,21.82556,27.50584,THUMB
63.16346,14.14795,21.49649,27.19755,THUMB
63.53064,13.66245,20.93306,26.60277,THUMB
63.7345,13.46659,20.78541,26.91351,THUMB
64.55657,14.01907,19.37004,24.48581,THUMB
63.6749,15.87396,18.67758,23.19192,THUMB
61.36364,15.6035,17.90619,23.74576,THUMB
60.98753,14.66779,16.97014,23.79615,THUMB
61.11852,14.07232,17.52553,22.98932,THUMB
63.03863,13.96094,17.6048,21.96615,THUMB
65.89045,12.96466,17.03752,20.53347,THUMB
64.51304,11.92276,16.42202,19.81383,THUMB
66.33663,11.32785,16.31719,19.29134,THUMB
64.18644,12.54891,16.82631,20.04851,THUMB
59.50385,12.88162,18.05875,21.59058,THUMB
52.31548,14.33319,20.45011,25.18328,THUMB
37.56424,17.17017,27.07613,27.92669,THUMB
31.99886,18.43421,26.01789,27.19906,THUMB
43.17148,17.54014,25.27383,27.65041,THUMB
44.91528,16.38048,23.91064,28.27557,THUMB
38.94882,14.8167,21.42366,27.8426,THUMB
35.60219,15.77519,21.23967,26.82618,THUMB
35.4622,17.61395,21.64159,27.21273,THUMB
41.73108,18.6512,22.45098,27.71892,THUMB
60.73413,15.18962,21.47474,24.9576,THUMB
71.5684,11.68044,17.16082,21.18296,THUMB
72.04337,10.70094,15.80613,20.78351,THUMB
63.77568,11.90688,17.59787,22.78825,THUMB
43.90342,13.66086,22.77264,26.07512,THUMB
30.88073,17.1311,25.40457,27.03758,THUMB
48.35379,18.25444,24.34875,27.16053,THUMB
43.11027,17.58093,25.73667,26.67156,THUMB
58.70065,18.24054,21.85004,27.47674,THUMB
65.35528,12.61498,17.68763,21.4016,THUMB
59.76828,11.52282,16.70889,20.27834,THUMB
34.33691,14.40501,25.29463,25.94441,THUMB
44.98029,17.05457,25.43396,26.7979,THUMB
37.50632,18.48868,26.39446,25.73906,THUMB
51.11402,20.38468,23.89054,27.60252,THUMB
62.94094,14.80776,21.10076,23.78511,THUMB
64.91078,11.47846,17.27387,21.51234,THUMB
65.40661,10.53586,16.59394,20.97778,THUMB
