pTHUMB_BONE1_X,rTHUMB_BONE1_X,pTHUMB_BONE1_Y,rTHUMB_BONE1_Y,pTHUMB_BONE1_Z,rTHUMB_BONE1_Z,pTHUMB_BONE2_X,rTHUMB_BONE2_X,pTHUMB_BONE2_Y,rTHUMB_BONE2_Y,pTHUMB_BONE2_Z,rTHUMB_BONE2_Z,pTHUMB_BONE3_X,rTHUMB_BONE3_X,pTHUMB_BONE3_Y,rTHUMB_BONE3_Y,pTHUMB_BONE3_Z,rTHUMB_BONE3_Z,pINDEX_BONE1_X,rINDEX_BONE1_X,pINDEX_BONE1_Y,rINDEX_BONE1_Y,pINDEX_BONE1_Z,rINDEX_BONE1_Z,pINDEX_BONE2_X,rINDEX_BONE2_X,pINDEX_BONE2_Y,rINDEX_BONE2_Y,pINDEX_BONE2_Z,rINDEX_BONE2_Z,pINDEX_BONE3_X,rINDEX_BONE3_X,pINDEX_BONE3_Y,rINDEX_BONE3_Y,pINDEX_BONE3_Z,rINDEX_BONE3_Z,pMIDDLE_BONE1_X,rMIDDLE_BONE1_X,pMIDDLE_BONE1_Y,rMIDDLE_BONE1_Y,pMIDDLE_BONE1_Z,rMIDDLE_BONE1_Z,pMIDDLE_BONE2_X,rMIDDLE_BONE2_X,pMIDDLE_BONE2_Y,rMIDDLE_BONE2_Y,pMIDDLE_BONE2_Z,rMIDDLE_BONE2_Z,pMIDDLE_BONE3_X,rMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,rMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,rMIDDLE_BONE3_Z,pRING_BONE1_X,rRING_BONE1_X,pRING_BONE1_Y,rRING_BONE1_Y,pRING_BONE1_Z,rRING_BONE1_Z,pRING_BONE2_X,rRING_BONE2_X,pRING_BONE2_Y,rRING_BONE2_Y,pRING_BONE2_Z,rRING_BONE2_Z,pRING_BONE3_X,rRING_BONE3_X,pRING_BONE3_Y,rRING_BONE3_Y,pRING_BONE3_Z,rRING_BONE3_Z,pPINKY_BONE1_X,rPINKY_BONE1_X,pPINKY_BONE1_Y,rPINKY_BONE1_Y,pPINKY_BONE1_Z,rPINKY_BONE1_Z,pPINKY_BONE2_X,rPINKY_BONE2_X,pPINKY_BONE2_Y,rPINKY_BONE2_Y,pPINKY_BONE2_Z,rPINKY_BONE2_Z,pPINKY_BONE3_X,rPINKY_BONE3_X,pPINKY_BONE3_Y,rPINKY_BONE3_Y,pPINKY_BONE3_Z,rPINKY_BONE3_Z,target
1.401474,291.0643,1.588186,200.2996,-1.899158,17.76416,1.397985,282.8064,1.626455,187.9094,-1.910823,29.65163,1.398555,276.34,1.653419,120.1514,-1.915015,96.75198,1.343146,1.638683,1.604973,169.7593,-1.935071,305.577,1.35621,34.87538,1.597792,95.35124,-1.956119,277.6993,1.370942,31.13289,1.586982,49.5479,-1.952474,251.7686,1.334171,354.3497,1.589501,166.2691,-1.93591,299.4707,1.351666,26.80858,1.585645,95.14223,-1.95923,283.9014,1.36977,28.98883,1.57518,50.37509,-1.955313,262.0829,1.326095,346.4762,1.549345,169.1707,-1.929187,280.5081,1.338379,6.029106,1.55231,97.46847,-1.946506,285.9954,1.354451,14.58569,1.549259,59.63791,-1.943689,278.9585,1.328477,353.1806,1.568472,167.4776,-1.932499,289.8815,1.34564,17.27799,1.567077,95.06602,-1.954279,282.0759,1.364816,20.8352,1.55998,52.40789,-1.950311,267.5382,THUMB_UP
1.394022,293.1695,1.593095,202.795,-1.912368,13.54287,1.389797,282.0478,1.631078,189.5882,-1.924425,26.19496,1.390268,275.5692,1.658105,106.8969,-1.928088,108.3032,1.33685,2.144941,1.60839,167.447,-1.949245,303.764,1.350936,33.30133,1.60129,92.01588,-1.969581,276.2972,1.365867,29.50739,1.590942,48.28371,-1.965198,252.6626,1.328409,354.6012,1.592738,163.9059,-1.950273,298.1711,1.346981,25.6036,1.589038,92.61404,-1.972832,283.2962,1.365345,28.01283,1.578962,50.85991,-1.968393,263.7716,1.320981,346.535,1.552537,167.2485,-1.943759,278.8319,1.33387,4.511359,1.555732,95.05424,-1.960583,285.4274,1.350109,12.55905,1.553209,60.25377,-1.95742,280.0884,1.323045,353.3238,1.571644,165.3571,-1.947011,288.2469,1.341107,15.6934,1.570547,92.96965,-1.968158,281.5356,1.360618,19.38037,1.564013,53.97781,-1.963872,269.3512,THUMB_UP
1.390854,293.9425,1.591192,204.7032,-1.916882,11.58691,1.385895,282.8139,1.628999,194.2436,-1.929231,21.56253,1.385915,274.9012,1.655991,107.8128,-1.93302,107.4439,1.334465,3.829667,1.604729,166.1373,-1.955111,302.7736,1.349065,32.75363,1.59712,89.45609,-1.974877,274.0172,1.363992,27.81325,1.587076,46.47091,-1.969819,251.5351,1.326128,355.992,1.58905,162.9421,-1.955869,297.2633,1.345132,25.2381,1.584872,90.50283,-1.977912,281.3876,1.363493,26.63966,1.575065,49.41986,-1.972806,262.7699,1.318833,347.7968,1.549024,166.9094,-1.948508,277.8126,1.331854,4.01387,1.551937,94.10427,-1.965237,283.9008,1.348087,11.24562,1.54968,59.43727,-1.961802,279.1456,1.32077,354.578,1.568055,164.837,-1.952198,287.2011,1.339077,15.14668,1.566616,91.49847,-1.973017,279.8613,1.358612,17.95186,1.560414,53.0715,-1.968255,268.52,THUMB_UP
1.388588,291.615,1.583905,207.0567,-1.918735,10.8306,1.383415,282.5526,1.622106,198.9856,-1.929954,18.57072,1.383035,274.1783,1.649125,108.8933,-1.933561,108.2032,1.333128,5.285601,1.598016,165.4194,-1.957571,303.0551,1.34789,33.36457,1.589785,87.43671,-1.976896,272.1805,1.362601,27.18057,1.579718,44.5499,-1.971297,249.7492,1.324556,357.1215,1.582643,161.8576,-1.958263,298.5604,1.343795,26.97632,1.577643,88.15314,-1.979702,280.1649,1.361696,27.25412,1.567381,46.83578,-1.973859,260.6628,1.316203,348.3398,1.543024,165.7851,-1.950904,279.2902,1.329538,5.780684,1.545494,92.35533,-1.967304,283.722,1.345545,12.65886,1.542752,56.99068,-1.963313,277.8634,1.31866,355.4691,1.561874,163.8315,-1.954585,288.269,1.337245,16.59924,1.559782,89.27276,-1.974837,278.9615,1.356421,18.53677,1.553172,50.35594,-1.969283,266.7858,THUMB_UP
1.385622,291.3123,1.576932,207.7083,-1.917852,10.83471,1.380224,283.3048,1.615131,200.985,-1.929073,17.26995,1.379528,273.9333,1.642106,122.6869,-1.932982,95.11905,1.33048,7.173731,1.590368,164.681,-1.956757,301.1775,1.345609,31.90482,1.581712,85.086,-1.975536,269.3361,1.360437,24.40059,1.572248,43.10124,-1.969276,248.7691,1.322077,358.6959,1.575093,160.6228,-1.957248,298.0712,1.341756,27.01922,1.569452,85.41647,-1.977973,278.023,1.359437,26.0302,1.559352,44.3425,-1.971245,259.0271,1.313504,349.2841,1.53587,164.3042,-1.949585,279.33,1.327268,6.160944,1.538006,90.46159,-1.96562,282.7881,1.343109,12.45266,1.535231,54.78612,-1.961063,276.8211,1.316154,356.7948,1.554504,162.3689,-1.953378,287.8482,1.335247,16.62397,1.551914,86.71343,-1.972939,277.3249,1.354196,17.5723,1.54544,47.87226,-1.966511,265.4887,THUMB_UP
1.385039,292.4907,1.572392,207.8792,-1.914905,9.380821,1.379171,284.5532,1.610323,202.6334,-1.926796,14.36724,1.378037,273.72,1.637214,142.6468,-1.931146,73.94324,1.330034,7.324748,1.58425,163.5215,-1.954462,299.7324,1.345684,30.52507,1.575778,84.05682,-1.972931,268.9593,1.360603,23.02093,1.566732,42.17336,-1.966341,249.356,1.322082,358.6068,1.568832,159.4662,-1.954922,297.3419,1.342253,26.28247,1.563383,84.2642,-1.975239,277.9432,1.359858,25.30512,1.553542,42.71567,-1.968066,259.1961,1.314385,349.264,1.529479,162.9883,-1.947075,278.6015,1.328527,5.349791,1.531752,89.51971,-1.962849,282.658,1.344293,11.76915,1.529204,53.5189,-1.957984,277.1119,1.316673,356.7723,1.548129,160.9816,-1.950957,287.1021,1.336283,15.87601,1.545713,85.40644,-1.970063,277.2024,1.355115,16.87969,1.539508,46.2071,-1.96314,265.735,THUMB_UP
1.385697,294.0239,1.569236,208.8046,-1.912452,8.113686,1.379151,285.7992,1.60682,204.4875,-1.925048,12.18336,1.377599,273.8663,1.633617,157.8361,-1.929777,58.44579,1.329687,6.264064,1.580033,164.3507,-1.951152,299.4782,1.345133,30.07767,1.572016,85.46236,-1.969985,270.0935,1.360209,23.2584,1.563016,43.1881,-1.963734,250.3714,1.321981,357.7385,1.564333,160.8212,-1.951565,295.9137,1.341827,24.68388,1.559574,85.76872,-1.972362,278.4539,1.359776,24.27362,1.550221,43.75468,-1.965547,260.3722,1.315523,348.4736,1.524761,164.2612,-1.943543,278.1985,1.329307,4.740838,1.527361,90.79311,-1.959584,283.3076,1.345145,11.74337,1.524916,54.27813,-1.955011,277.8822,1.317247,355.9106,1.543501,162.1201,-1.947491,286.4476,1.336522,15.02565,1.541594,86.70558,-1.966996,277.9028,1.355502,16.60379,1.535619,46.86415,-1.960421,266.6207,THUMB_UP
1.384828,294.4605,1.566859,211.1323,-1.909438,6.044418,1.377624,285.8027,1.604368,207.7672,-1.921868,9.213031,1.375769,272.9465,1.631175,158.6589,-1.926323,58.01294,1.32791,5.023409,1.577251,165.557,-1.947221,299.1222,1.343035,29.47942,1.56978,87.56384,-1.96657,271.514,1.358365,23.661,1.560832,45.20166,-1.960882,251.8231,1.320402,356.6021,1.561383,162.2671,-1.947693,295.0915,1.339825,23.54917,1.557324,87.86664,-1.969099,279.5399,1.358125,24.05357,1.548248,45.7903,-1.962926,261.8932,1.314828,347.5678,1.521546,165.7575,-1.939906,277.4461,1.328188,3.747344,1.524568,92.30664,-1.956251,283.9774,1.344156,11.38053,1.522335,55.71516,-1.952084,278.9822,1.316123,354.9436,1.54037,163.5295,-1.943733,285.5897,1.33497,13.91635,1.53907,88.48532,-1.96376,278.7066,1.354209,16.23806,1.533398,48.52359,-1.957751,267.8987,THUMB_UP
1.384429,294.6439,1.563167,210.9731,-1.907566,5.657271,1.377219,285.7718,1.600646,207.7427,-1.920063,8.69803,1.375367,272.7569,1.627458,157.437,-1.924473,58.71053,1.327606,4.281035,1.573902,165.6277,-1.945495,299.3654,1.34271,29.54781,1.566684,88.35726,-1.965011,272.556,1.358059,24.31611,1.557639,45.73195,-1.959537,252.4934,1.320047,355.9077,1.558018,162.5086,-1.946143,295.0602,1.339406,23.26046,1.554301,88.81135,-1.967765,280.4249,1.357811,24.37481,1.545241,46.6667,-1.961901,262.7355,1.314556,347.13,1.518011,166.0598,-1.938644,277.1119,1.327825,3.259995,1.521239,92.75291,-1.955055,284.3162,1.343837,11.19907,1.51911,56.20037,-1.951014,279.545,1.315774,354.3423,1.536927,163.851,-1.942354,285.5246,1.33452,13.64213,1.535911,89.28863,-1.962573,279.3698,1.35384,16.43802,1.53027,49.22301,-1.956829,268.5566,THUMB_UP
1.379496,295.8958,1.552154,219.1013,-1.905207,356.8183,1.369822,286.7104,1.589334,220.8713,-1.916882,355.164,1.366419,271.7543,1.616079,268.5603,-1.920428,307.6654,1.322431,2.150148,1.560859,166.2011,-1.943509,295.9293,1.337712,25.66809,1.555094,90.61414,-1.963515,274.3678,1.353788,22.56336,1.54697,48.9845,-1.958686,256.7034,1.315573,353.2856,1.54477,163.7255,-1.944577,292.3783,1.334744,19.69571,1.542886,91.70954,-1.966885,282.7313,1.35391,23.15924,1.534786,50.88144,-1.962065,267.2389,1.312146,345.5741,1.504061,168.2608,-1.937948,272.6472,1.32477,358.4752,1.508512,94.61391,-1.954697,284.5839,1.341025,7.504529,1.507686,58.5423,-1.951192,282.6318,1.31225,352.1707,1.523248,165.6513,-1.941292,282.0909,1.330511,9.596756,1.523949,91.91247,-1.96219,280.7501,1.350408,14.18571,1.51956,52.64765,-1.957381,272.3355,THUMB_UP
