pTHUMB_BONE1_X,rTHUMB_BONE1_X,pTHUMB_BONE1_Y,rTHUMB_BONE1_Y,pTHUMB_BONE1_Z,rTHUMB_BONE1_Z,pTHUMB_BONE2_X,rTHUMB_BONE2_X,pTHUMB_BONE2_Y,rTHUMB_BONE2_Y,pTHUMB_BONE2_Z,rTHUMB_BONE2_Z,pTHUMB_BONE3_X,rTHUMB_BONE3_X,pTHUMB_BONE3_Y,rTHUMB_BONE3_Y,pTHUMB_BONE3_Z,rTHUMB_BONE3_Z,pINDEX_BONE1_X,rINDEX_BONE1_X,pINDEX_BONE1_Y,rINDEX_BONE1_Y,pINDEX_BONE1_Z,rINDEX_BONE1_Z,pINDEX_BONE2_X,rINDEX_BONE2_X,pINDEX_BONE2_Y,rINDEX_BONE2_Y,pINDEX_BONE2_Z,rINDEX_BONE2_Z,pINDEX_BONE3_X,rINDEX_BONE3_X,pINDEX_BONE3_Y,rINDEX_BONE3_Y,pINDEX_BONE3_Z,rINDEX_BONE3_Z,pMIDDLE_BONE1_X,rMIDDLE_BONE1_X,pMIDDLE_BONE1_Y,rMIDDLE_BONE1_Y,pMIDDLE_BONE1_Z,rMIDDLE_BONE1_Z,pMIDDLE_BONE2_X,rMIDDLE_BONE2_X,pMIDDLE_BONE2_Y,rMIDDLE_BONE2_Y,pMIDDLE_BONE2_Z,rMIDDLE_BONE2_Z,pMIDDLE_BONE3_X,rMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,rMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,rMIDDLE_BONE3_Z,pRING_BONE1_X,rRING_BONE1_X,pRING_BONE1_Y,rRING_BONE1_Y,pRING_BONE1_Z,rRING_BONE1_Z,pRING_BONE2_X,rRING_BONE2_X,pRING_BONE2_Y,rRING_BONE2_Y,pRING_BONE2_Z,rRING_BONE2_Z,pRING_BONE3_X,rRING_BONE3_X,pRING_BONE3_Y,rRING_BONE3_Y,pRING_BONE3_Z,rRING_BONE3_Z,pPINKY_BONE1_X,rPINKY_BONE1_X,pPINKY_BONE1_Y,rPINKY_BONE1_Y,pPINKY_BONE1_Z,rPINKY_BONE1_Z,pPINKY_BONE2_X,rPINKY_BONE2_X,pPINKY_BONE2_Y,rPINKY_BONE2_Y,pPINKY_BONE2_Z,rPINKY_BONE2_Z,pPINKY_BONE3_X,rPINKY_BONE3_X,pPINKY_BONE3_Y,rPINKY_BONE3_Y,pPINKY_BONE3_Z,rPINKY_BONE3_Z,target
0.02641439,314.0334,0.01274204,12.14482,-0.01881433,260.6975,0.02053547,322.5332,0.03878343,315.5658,0.005662918,300.2102,0.0006132126,347.2293,0.05128324,281.6499,0.01720726,315.3091,0.001018524,305.9531,0.04340756,233.6484,0.02554059,302.9307,-0.00773716,13.11419,0.05753529,174.7311,0.007025003,329.6037,-0.003537178,45.85506,0.04897797,146.6171,-0.009071589,314.9652,-0.01344013,300.0511,0.03575039,222.4956,0.02531493,306.2567,-0.01834869,12.28197,0.05295408,167.2567,0.003661513,335.5902,-0.01184082,45.74587,0.04354596,145.8328,-0.01464128,324.645,-0.04070854,289.7382,0.01056242,235.5089,0.01759219,275.6865,-0.04112339,356.9958,0.02710748,152.621,0.005966425,340.335,-0.03213739,32.49527,0.02313602,138.4114,-0.007641912,336.5192,-0.02828789,297.739,0.02250648,225.4072,0.02199984,294.2361,-0.0307641,6.237613,0.04012597,159.4304,0.002524376,334.7267,-0.02159166,39.76365,0.0329113,139.4115,-0.01516938,326.4875,CLOSE
0.0193305,306.3235,0.01450181,14.7142,-0.0251379,270.1256,0.01436758,321.9683,0.042606,319.9851,-0.002434731,311.2273,-0.004168034,349.126,0.05485976,293.0037,0.01181996,322.8907,0.00330019,312.7995,0.04418349,238.6722,0.02144694,311.511,-0.00977087,21.56479,0.05510271,185.5044,0.003321171,326.8314,-0.008388519,51.00001,0.04441631,152.1274,-0.01206279,306.0405,-0.01038504,307.4854,0.03544664,229.4904,0.02450752,309.7943,-0.02018785,18.3306,0.04958427,175.7872,0.002321482,330.489,-0.01610136,49.20452,0.03841329,148.0785,-0.01569295,314.301,-0.03658438,295.3045,0.008708477,238.1068,0.0241785,283.8016,-0.03993034,1.870101,0.02381992,162.456,0.01132715,335.4636,-0.03315258,34.84364,0.01876605,144.7896,-0.0032444,329.618,-0.02441454,304.2794,0.02138329,231.4792,0.02507162,298.8347,-0.03125477,11.9264,0.03643227,168.2725,0.004701853,329.7162,-0.02465296,42.9741,0.02753246,143.2496,-0.01338506,317.5957,CLOSE
-0.002498627,277.1213,0.002494454,301.3134,-0.03486681,15.76921,-0.01306915,314.9486,0.03626966,315.0333,-0.02521229,2.7328,-0.02898502,358.0776,0.0482862,316.9025,-0.008756638,1.931658,-0.008938313,347.1911,0.04682183,253.0648,-0.002667427,345.9985,-0.03091288,66.8708,0.04069316,215.2628,-0.01229608,323.0858,-0.03029156,65.99709,0.02244139,102.9409,-0.01678562,215.4498,-0.01477718,342.4693,0.03890789,246.44,0.01051867,334.3783,-0.03724289,55.93431,0.03454781,196.2013,-0.005723238,312.5961,-0.03556633,61.9355,0.01518607,116.3171,-0.01499104,241.219,-0.02376509,326.7333,0.01244056,244.3732,0.03415871,321.8176,-0.03842306,37.12075,0.01610267,193.8469,0.02068567,319.5927,-0.0377636,57.99164,0.003359079,146.0389,0.009727478,282.8012,-0.01951599,338.2976,0.02512503,245.9652,0.02353191,325.3747,-0.03931046,47.16137,0.02329612,189.5453,0.006415129,309.0641,-0.03685474,57.13664,0.005928159,125.8426,-0.005406857,256.6306,CLOSE
-0.01191998,315.6986,-0.01941752,271.0328,-0.02117181,78.26652,-0.03827429,333.1205,0.003572822,314.6017,-0.01058173,51.77828,-0.05164051,0.4497086,0.01092124,344.8785,0.01060605,44.49295,-0.0340848,18.77239,0.03003561,277.4536,-0.01578522,9.15384,-0.05227041,79.71859,0.01189911,37.25931,-0.01159,122.3471,-0.04565811,49.20715,-0.005805492,84.30906,-0.009401202,166.6505,-0.03168774,18.69132,0.02900636,268.9556,0.0004096031,355.9987,-0.05265474,84.22454,0.007913232,131.0215,-0.0009009838,220.9216,-0.0459218,50.88832,-0.01276076,94.90116,-0.002295256,185.9908,-0.01956797,5.593066,0.01932502,261.5657,0.03370166,339.3151,-0.03734541,67.88062,0.008923054,196.2961,0.02780151,291.0992,-0.03447676,57.536,-0.006825209,119.8185,0.02217567,220.8687,-0.02532148,14.74126,0.02457631,266.6853,0.01823521,347.5327,-0.04607916,77.96024,0.006028533,179.207,0.0142436,269.3163,-0.04093218,53.67851,-0.01429641,106.7647,0.009919167,200.6114,CLOSE
-0.005216122,348.8885,-0.02304029,286.0345,-0.02050853,70.43237,-0.03748131,1.027495,-0.01903307,317.0027,-0.002434969,67.63193,-0.05105972,12.68324,-0.02180421,347.6337,0.02034664,71.39886,-0.04322577,41.12162,0.01752532,274.4059,-0.01157594,356.9579,-0.05538321,72.48037,-0.007224441,103.6871,-0.01120639,187.6305,-0.0458746,41.57012,-0.02381146,98.43963,-0.01294303,183.0626,-0.04043484,38.71864,0.01519465,264.4655,0.004481792,339.9424,-0.05515575,67.73813,-0.0120461,140.0519,-0.001249075,224.9395,-0.04550457,41.5009,-0.03074825,111.5532,-0.007727146,200.9349,-0.02469921,23.95689,0.005583763,262.5084,0.0369122,318.9606,-0.04105377,53.0904,-0.00888586,189.1469,0.02929044,267.7404,-0.0386982,43.49129,-0.02215087,147.3466,0.01862001,235.8128,-0.03259373,33.367,0.01097441,264.3887,0.02201319,330.7222,-0.04957104,64.40926,-0.01293254,170.655,0.01456177,251.0236,-0.04365396,45.22483,-0.03138173,128.3353,0.004930973,215.4474,CLOSE
0.006543636,358.5926,-0.02028823,264.9112,-0.02300406,65.51279,-0.03018999,11.93747,-0.0231508,295.6044,-0.01802695,68.41689,-0.04902029,22.8567,-0.03094065,335.4878,-0.001605511,80.8476,-0.03904343,50.47424,0.0119698,245.0758,-0.02521062,349.7141,-0.04519701,59.93227,-0.01410234,84.45179,-0.03020763,193.1216,-0.03224134,26.9688,-0.02792561,76.3898,-0.02791619,187.3372,-0.04107571,47.11212,0.007894039,233.5871,-0.009534121,331.5272,-0.04618311,54.9136,-0.02036202,104.5061,-0.02091038,214.3822,-0.03036118,24.95123,-0.03540587,84.45479,-0.02209616,200.9864,-0.03575754,32.93315,-0.003416419,235.408,0.02575779,307.6221,-0.04451656,44.87438,-0.01935029,153.0287,0.01165819,249.7642,-0.03509665,28.36538,-0.02996063,119.358,0.002093315,229.0922,-0.03867531,42.87872,0.002418637,234.388,0.009296417,319.7782,-0.04456377,50.52014,-0.02256119,125.0364,-0.004790306,228.1205,-0.02934933,22.7163,-0.03635466,97.32378,-0.01074028,210.8868,CLOSE
0.01145267,346.2337,-0.02119839,242.6996,-0.01895547,69.42689,-0.02434492,359.6585,-0.01574719,274.3249,-0.02765965,65.41809,-0.04795361,17.47413,-0.01904988,318.5714,-0.01831293,72.44807,-0.02519417,44.60087,0.01506102,232.5587,-0.03851342,5.987692,-0.03316069,60.54279,-0.009663701,40.80057,-0.04311275,171.392,-0.02391624,23.69554,-0.02316415,46.44501,-0.03354526,175.4076,-0.03299522,43.92208,0.01261616,222.0976,-0.02398276,345.1305,-0.03719187,56.90253,-0.01502407,69.33804,-0.03374481,199.8678,-0.02303743,19.99693,-0.02965724,56.42677,-0.02636743,191.413,-0.04118156,30.5733,0.004027843,216.5831,0.01095486,323.7456,-0.04482603,54.31081,-0.0123105,112.6432,-0.002969742,240.9779,-0.03256559,28.13097,-0.02393675,75.46506,-0.003246546,215.3829,-0.03758049,40.53698,0.008497357,219.9278,-0.005410671,334.5766,-0.04023457,54.00164,-0.01633513,85.50941,-0.01734781,213.8181,-0.02468729,18.69333,-0.03007472,63.77275,-0.01294494,200.22,CLOSE
0.03156281,296.1848,-0.003861785,190.0335,-0.01415586,60.04639,0.02320766,310.3717,0.02861142,218.4207,-0.03205299,36.01904,0.006596565,353.5166,0.04238474,244.8302,-0.04495788,22.42994,-0.002256393,1.481095,0.04240584,189.5923,-0.02735519,341.3675,-0.002453327,68.75678,0.03108203,129.7765,-0.05035436,297.9642,0.003795147,58.42022,0.01329172,43.46648,-0.04991961,217.6893,-0.01538849,4.397254,0.03253508,179.3794,-0.02458954,334.3474,-0.009274483,63.94547,0.0184598,103.3215,-0.04905748,280.6597,2.670288E-05,49.44589,-0.0007280111,35.50159,-0.04564786,221.6099,-0.03939342,355.0346,0.006756544,173.1955,-0.01352644,320.6647,-0.03128862,48.00743,0.001224637,104.451,-0.03190231,289.3698,-0.0210247,45.77431,-0.01174617,45.84309,-0.02943695,244.7993,-0.02854347,3.581349,0.01897585,176.9901,-0.01851869,325.047,-0.01979256,54.98213,0.006703258,95.56111,-0.04065275,274.9796,-0.007944107,42.73317,-0.01034987,39.56132,-0.03629422,231.1091,CLOSE
0.03285551,285.6494,-0.0001692772,349.522,0.01541483,211.0796,0.02964735,278.1693,0.03772032,281.2603,0.02192879,278.3391,0.02465296,293.1133,0.06442893,219.0417,0.01896656,339.0824,-0.002131939,306.2808,0.05396521,142.1895,0.01125813,343.5118,0.01465607,17.96265,0.06721866,125.5431,-0.005122066,349.7485,0.02923059,39.42253,0.05842316,120.647,-0.01497412,347.3706,-0.007584095,318.7107,0.04565322,126.9182,-0.004073858,346.6971,0.01664114,39.32155,0.05246556,109.7533,-0.01841879,347.0582,0.02895308,74.69472,0.03500438,77.83896,-0.02159595,318.798,-0.02075434,315.9177,0.02154171,115.4356,-0.03121448,340.2419,-0.00183773,35.86695,0.02802122,90.98496,-0.03673267,342.5688,0.007936954,71.31031,0.01460457,53.53472,-0.03530765,310.6088,-0.01504564,321.1944,0.03287721,124.0542,-0.01885247,339.1641,0.009119511,41.14449,0.03773773,96.08189,-0.02954221,338.4378,0.02130175,71.58489,0.02036393,50.56063,-0.02885556,298.639,CLOSE
0.03185129,311.2011,-0.005798101,349.7775,0.01232004,209.5073,0.02476454,291.3818,0.02629697,311.6776,0.03076589,242.858,0.01614952,294.9319,0.05184495,240.3892,0.03240097,309.6784,-0.003300667,291.4238,0.04170406,104.8027,0.03391564,23.83696,0.01315928,5.555492,0.05986273,127.9918,0.02484035,8.528725,0.02672768,41.02674,0.05332553,134.6216,0.01333237,11.28395,-0.01188374,297.0172,0.04353583,91.49989,0.0197221,29.16305,0.01021242,11.92225,0.06141126,120.6808,0.01259792,13.0748,0.02612019,48.821,0.05175602,132.9715,0.001682997,19.64298,-0.02498627,296.5022,0.0350765,74.65224,-0.0158391,28.95321,-0.008718491,12.8091,0.04824591,103.8759,-0.01603174,12.79891,0.005009174,49.94571,0.03979099,116.2498,-0.0206039,19.61313,-0.02039862,295.3438,0.04003489,88.84132,0.001262665,23.61275,0.0008597374,12.56954,0.05660141,112.6234,-0.003568769,10.11697,0.01775455,50.28355,0.04676139,122.492,-0.0116787,15.56295,CLOSE
0.03111839,318.134,-0.006416321,351.2385,0.00562644,210.9705,0.02396393,298.9654,0.02285755,324.5074,0.02852774,232.3153,0.0151844,292.5791,0.04767442,286.707,0.03625894,266.6367,0.002110958,293.9451,0.03282928,92.3895,0.04049563,43.32399,0.0186491,7.313387,0.05028093,135.2814,0.03192854,16.30607,0.02969742,45.0192,0.04296672,150.0155,0.01866567,23.20207,-0.008341789,299.9888,0.03783286,79.016,0.02907395,50.35094,0.01366234,8.109803,0.05603087,128.6835,0.02280223,22.87914,0.0276041,44.09533,0.04778719,149.109,0.008729696,32.40949,-0.02600765,300.5358,0.03771472,62.81183,-0.005461693,46.45076,-0.009539127,10.44063,0.0506928,109.1747,-0.004549265,21.99072,0.003710747,45.90921,0.04301155,129.1222,-0.01124573,31.95653,-0.01921988,298.0399,0.03862202,74.22998,0.01155353,45.54138,0.001970768,9.67349,0.05539477,119.6782,0.007786393,19.90106,0.01751328,46.72884,0.04658699,138.4305,-0.00335598,29.3112,CLOSE
0.03057337,319.5438,-0.007627964,356.5069,0.002305746,206.8365,0.02641249,302.12,0.0207721,339.0454,0.02741122,220.2465,0.02016687,292.9311,0.04509437,314.8448,0.03867769,241.8435,0.006719112,298.6061,0.0286566,94.52621,0.0414077,41.9472,0.02399492,16.63945,0.04350865,138.5947,0.03224802,19.51364,0.03325272,51.96242,0.03368068,158.382,0.01915073,31.29204,-0.003299236,306.8871,0.03489864,81.53705,0.03147852,53.4538,0.01971197,13.51809,0.05028498,136.3192,0.0238893,29.73323,0.03059912,46.63524,0.04048955,164.3626,0.008253098,44.61125,-0.02314758,307.1305,0.03932488,67.46851,-0.001396894,43.64664,-0.005297184,16.66226,0.05021608,112.6042,-0.0009257793,25.77851,0.006558895,50.44518,0.04110181,138.4229,-0.008359194,40.86232,-0.01493645,305.3329,0.03796363,78.56181,0.01466036,44.79158,0.007765293,16.38119,0.05177474,125.1018,0.009761333,25.1309,0.02099228,51.05259,0.04099846,151.0698,-0.002566814,40.40423,CLOSE
0.0296526,320.4318,-0.01055861,358.6807,0.003609419,199.8241,0.02737331,304.3837,0.01721919,348.2977,0.02989149,207.5757,0.02348375,293.9369,0.04110479,334.0143,0.0431006,220.1158,0.007521152,303.899,0.02755892,91.91142,0.04174566,41.47688,0.02648783,21.08714,0.04056215,136.9978,0.0334065,23.32258,0.03530836,54.97672,0.02962077,162.7366,0.02093697,40.06435,-0.001375675,312.4904,0.0346998,79.37542,0.03175926,53.78868,0.02296686,18.13095,0.04757273,136.8672,0.02514315,34.99252,0.03269958,48.61354,0.03650594,172.1093,0.009697437,55.52099,-0.01936102,312.2101,0.04128981,67.31361,-0.00198555,40.37186,-0.000705719,23.00997,0.05023313,111.3597,-0.000729084,28.21662,0.01007414,55.77951,0.03967261,144.8057,-0.007711411,50.69947,-0.01188183,311.0421,0.03893685,77.49905,0.01433635,43.3871,0.01204443,22.42259,0.05009234,125.021,0.0103116,29.20485,0.02393007,55.27428,0.0375911,159.7997,-0.001592398,52.3534,CLOSE
0.02655125,308.2354,-0.01389408,0.9001479,0.009448528,185.3265,0.02632332,288.1732,0.01924264,354.9922,0.02835679,190.6147,0.02521801,273.4013,0.04612243,260.4413,0.03335381,284.6257,0.005148888,307.3326,0.03513229,90.40581,0.03856492,28.68793,0.02643824,27.00414,0.0463146,122.8437,0.03284359,19.06768,0.03706932,62.57184,0.0337131,149.8155,0.02393246,39.19186,-5.00679E-05,317.1012,0.04101121,79.39626,0.02564907,37.67703,0.02671671,29.00913,0.05018508,123.247,0.02220893,30.79593,0.03772402,60.05288,0.03568804,167.4865,0.01122165,63.75486,-0.01121044,316.0329,0.04323101,72.56743,-0.01204753,18.63352,0.008162498,35.3047,0.04961872,95.37392,-0.0090909,16.36849,0.01755047,72.78269,0.03623307,135.436,-0.0115633,50.98735,-0.006886005,316.1957,0.04317975,80.04527,0.005822897,25.63223,0.0188055,33.66648,0.05068946,111.0609,0.004517317,22.03279,0.0305295,68.65906,0.03489697,155.6781,-0.002463341,59.08429,CLOSE
0.03379488,288.0839,-0.0087111,107.7942,0.006010056,108.0215,0.0424614,289.9406,0.02795541,158.3048,-0.001317382,59.94139,0.04394913,301.0261,0.05308902,185.7797,-0.0123179,34.93769,0.01499271,335.006,0.05068612,160.7111,-0.009800076,340.1746,0.02729416,42.42484,0.05157769,134.8772,-0.03360021,335.389,0.0359602,71.42002,0.03590214,78.09189,-0.03913081,285.2462,0.004046917,347.2998,0.0418421,145.9653,-0.01862681,341.3333,0.02307796,61.48497,0.03490126,104.4925,-0.03906357,319.1529,0.03004789,66.22256,0.01455259,9.961398,-0.03710306,230.7533,-0.02328777,343.7039,0.0191592,137.3591,-0.03131235,325.7345,-0.006336212,50.18782,0.01669848,76.13576,-0.04190814,302.4333,0.0001449585,53.61889,0.002758265,7.19919,-0.03556907,245.6536,-0.01079702,349.9345,0.02971792,142.9105,-0.02543032,332.5336,0.008704662,59.22545,0.02200353,78.85975,-0.04103816,297.4341,0.01577663,54.8241,0.003154993,4.040673,-0.03453839,232.027,CLOSE
0.03227091,315.3566,-0.006870866,187.7275,-0.01297164,56.02603,0.02563858,322.7505,0.01871467,200.1638,-0.04094815,47.83981,0.01544952,334.8956,0.03342402,213.8994,-0.06168175,40.66396,-0.000805378,1.369499,0.04160571,184.6462,-0.0317719,337.1431,0.0008296967,52.05767,0.03192043,152.5319,-0.05877042,320.8471,0.007332325,67.13261,0.01514316,91.92223,-0.06523919,266.9214,-0.01403475,7.249077,0.03028917,174.228,-0.03014088,325.3701,-0.004056454,54.79435,0.01615739,104,-0.0549953,282.1507,0.008010387,46.29953,-0.001582265,44.7949,-0.05246997,234.6632,-0.03724432,0.9708046,0.003227592,165.0395,-0.01969194,313.0997,-0.02580786,40.50249,-0.003180385,100.3427,-0.03745198,286.2607,-0.01432037,38.08121,-0.01441014,42.95622,-0.03395939,248.0309,-0.02692461,8.358309,0.01589227,170.4748,-0.02448702,315.5497,-0.0141592,46.06691,0.003148913,93.07836,-0.04600906,273.2047,7.343292E-05,36.29334,-0.01178622,43.48728,-0.04124331,239.2632,CLOSE
0.01959372,340.6127,-0.01729608,217.3975,-0.02319813,70.71194,-0.005831718,346.2946,-0.005987406,232.4041,-0.04963636,66.41042,-0.02954626,359.1043,-0.001903057,259.1739,-0.06148624,62.91811,-0.02212906,42.32764,0.01693749,223.8801,-0.03949308,350.2509,-0.02817583,64.6926,-0.007516861,65.98787,-0.04849601,197.0528,-0.01783657,30.7808,-0.02225304,54.80277,-0.04240537,188.3881,-0.03141356,41.06274,0.0130986,212.9383,-0.02653503,333.6927,-0.03313065,54.8908,-0.01336789,81.22462,-0.04002643,215.5298,-0.01816845,24.18163,-0.02829385,60.08865,-0.03471065,201.4862,-0.04166317,30.98319,0.0006812811,203.3322,0.006103754,320.8685,-0.04187679,52.61289,-0.01557779,103.4159,-0.008632183,243.0215,-0.02959061,27.61028,-0.02692258,65.714,-0.006929874,217.6283,-0.03741884,39.544,0.006855488,209.9353,-0.008887053,322.6028,-0.03694153,48.96451,-0.01692533,93.41279,-0.02379251,225.5134,-0.020401,20.56707,-0.03016782,67.35632,-0.02107143,210.0112,CLOSE
0.0003852844,358.3471,-0.02384675,276.7078,-0.02171874,75.76466,-0.03537083,5.194786,-0.02469909,304.0445,-0.009934783,76.62735,-0.05386925,11.15003,-0.02837503,333.689,0.009177923,80.93855,-0.04418039,54.56609,0.007931232,274.2255,-0.01475477,1.296028,-0.05111027,64.2791,-0.019454,91.6369,-0.01401758,178.297,-0.0391326,32.87383,-0.0344286,92.6988,-0.01449299,179.128,-0.04258537,50.59501,0.00710094,261.668,0.001554251,340.4512,-0.0515933,61.62038,-0.02293134,120.7753,-0.003932714,206.585,-0.03843307,30.73436,-0.03963387,104.4538,-0.009226799,194.3363,-0.02661085,39.26011,0.0009921789,253.9966,0.03421545,318.3385,-0.03802824,55.90248,-0.01761401,165.913,0.02542937,246.7102,-0.03152084,36.00523,-0.03031886,129.2758,0.0160203,219.5529,-0.03482437,46.65776,0.004679561,260.2573,0.01944399,330.1614,-0.04566002,61.20618,-0.02270889,144.3468,0.01169252,225.2154,-0.03512526,32.95383,-0.03933084,116.5557,0.003057241,204.0611,CLOSE
-0.005303383,359.5514,-0.02293384,293.3906,-0.02174413,70.7561,-0.03743219,6.73515,-0.02468812,314.4419,-0.001456499,71.92583,-0.05373955,12.73853,-0.02910554,335.0182,0.01995432,75.44765,-0.04611492,49.11928,0.01243031,277.9951,-0.004483938,354.1201,-0.05904484,84.89716,-0.0148443,151.2521,-0.00350666,228.917,-0.05448675,58.64304,-0.03348982,108.7786,-0.005795479,187.4019,-0.04187965,42.1398,0.01052523,270.5873,0.01176596,334.6846,-0.06015444,71.46381,-0.01807225,193.7924,0.007709384,265.8237,-0.05698013,50.90405,-0.03810644,132.4907,-0.0003839731,210.1832,-0.0187254,35.8094,-0.001348019,261.6503,0.03872013,308.5994,-0.03612566,50.22755,-0.01857448,218.0431,0.03196084,277.8354,-0.04101324,49.64948,-0.03215778,192.5495,0.02195716,258.1888,-0.03034592,39.71445,0.005362391,269.9854,0.02731955,324.0521,-0.05176592,61.06628,-0.02009642,228.5669,0.02303934,291.0334,-0.05610085,59.38016,-0.03954017,173.6151,0.01420355,242.4416,CLOSE
-0.009238243,348.8049,-0.02218688,295.0914,-0.0204947,68.52072,-0.03965282,359.3523,-0.01766837,319.9137,0.001368642,65.91665,-0.05268288,11.05021,-0.01964307,347.2926,0.02475977,68.47192,-0.04439735,37.08331,0.01999748,281.4349,-0.003778934,355.1878,-0.06128693,85.42534,-0.004121065,227.334,-0.001128197,302.9128,-0.05858898,63.70791,-0.02312934,112.1447,-0.003134012,188.6968,-0.03956127,32.44696,0.01767182,274.4116,0.01229858,337.9697,-0.06160259,70.79156,-0.007754922,213.3281,0.01004124,285.7895,-0.06131315,60.1297,-0.02856624,142.1871,0.002705812,219.4694,-0.01771927,25.89745,0.003771901,266.8075,0.03946185,314.9502,-0.03749466,47.82644,-0.01067102,224.7056,0.03411078,288.479,-0.04311848,50.18038,-0.0240469,192.6959,0.02441597,264.0462,-0.02851772,29.68448,0.01163352,273.9143,0.02788091,328.1269,-0.05286312,58.38553,-0.01041853,233.9943,0.02504611,298.9145,-0.0583787,60.71166,-0.02965486,178.0617,0.01652408,249.7173,CLOSE
-0.0154109,306.7511,-0.01609826,282.0804,-0.02046978,65.05814,-0.03784847,326.6576,0.01079607,316.7957,-0.007664204,40.49833,-0.05066347,0.6720548,0.01969838,342.366,0.01310325,32.85806,-0.02540541,2.806453,0.03885055,272.5336,-0.01602113,4.759857,-0.04903555,74.35213,0.02661252,289.5824,-0.01405549,17.90198,-0.0490346,68.58474,0.007718682,80.05648,-0.01248264,166.8739,-0.02445936,2.060696,0.03679562,265.4662,0.0005745888,352.2383,-0.05088282,73.6749,0.02279937,238.0575,-0.003304243,331.3225,-0.05052519,65.69411,0.001381636,103.2948,-0.006201506,199.1264,-0.01712084,351.4934,0.02194011,259.7466,0.0341444,333.0611,-0.03760862,49.51713,0.01728702,219.5221,0.02641845,316.3776,-0.03908682,61.44639,0.002813339,142.4582,0.01854682,249.5477,-0.02044439,358.4389,0.02998126,264.1188,0.01868427,343.438,-0.04523134,66.80505,0.01828837,219.7638,0.01243114,313.6862,-0.04486322,62.06696,-0.001949906,117.7449,0.006422758,217.4437,CLOSE
-0.01395702,279.8267,-0.00679338,153.0096,-0.02839255,183.0945,-0.01500273,295.7562,0.02997816,337.1545,-0.02518964,358.7842,-0.02195787,337.1736,0.04916227,336.2787,-0.00907886,359.4286,-0.002110958,334.8871,0.04603279,267.6165,-0.01605272,359.0761,-0.02634954,61.73941,0.04456306,265.6714,-0.01724446,358.2421,-0.03052616,80.75806,0.02616918,92.34129,-0.01771641,185.1885,-0.004151344,335.1416,0.04345906,257.887,-0.0002509356,357.7696,-0.03109503,61.17329,0.04121757,253.2717,-0.006575704,355.8054,-0.035851,80.00003,0.02028263,88.49598,-0.008439541,191.721,-0.00814867,323.4213,0.0275656,250.1049,0.03320718,342.5533,-0.0256834,45.50508,0.03099704,224.8789,0.02386689,339.9143,-0.02962875,75.87087,0.01620996,159.3106,0.01728332,279.5219,-0.005910397,332.0829,0.03549588,255.7796,0.01767576,349.6308,-0.02998781,59.13574,0.03411782,235.249,0.009097695,341.9442,-0.03402042,78.11126,0.0138377,120.8014,0.004239082,230.5295,CLOSE
0.001110554,298.2422,3.218651E-06,97.04095,-0.03630328,221.3636,0.01166773,294.638,0.03459835,0.6928759,-0.03074348,311.4229,0.006294727,329.6826,0.05524099,325.936,-0.01582313,338.77,0.01107168,321.4238,0.04738891,253.9474,-0.003813624,342.6091,-0.01020098,48.17657,0.05162239,227.3176,-0.01355803,339.4873,-0.01523256,76.40008,0.03492796,159.4696,-0.02064121,276.3903,0.003184795,318.972,0.04303658,241.8021,0.009176612,348.5418,-0.01899958,46.12322,0.04841149,225.1513,-0.00580585,347.5097,-0.0255065,80.31992,0.02959454,171.4723,-0.01401436,296.9155,-0.01545382,306.7681,0.02278054,233.5646,0.03421271,338.1999,-0.02722979,33.7198,0.03120387,207.0462,0.02116811,344.499,-0.03070688,69.48009,0.01818264,178.2643,0.0112704,320.6369,-0.006485939,316.1219,0.03257406,239.9492,0.02291954,340.7865,-0.02529669,42.85252,0.03842318,213.2763,0.006960273,341.1209,-0.03015184,73.99184,0.02067649,168.0322,-0.00365591,300.6596,CLOSE
