pTHUMB_BONE3_X,rTHUMB_BONE3_X,pTHUMB_BONE3_Y,rTHUMB_BONE3_Y,pTHUMB_BONE3_Z,rTHUMB_BONE3_Z,pINDEX_BONE3_X,rINDEX_BONE3_X,pINDEX_BONE3_Y,rINDEX_BONE3_Y,pINDEX_BONE3_Z,rINDEX_BONE3_Z,pMIDDLE_BONE3_X,rMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,rMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,rMIDDLE_BONE3_Z,pRING_BONE3_X,rRING_BONE3_X,pRING_BONE3_Y,rRING_BONE3_Y,pRING_BONE3_Z,rRING_BONE3_Z,pPINKY_BONE3_X,rPINKY_BONE3_X,pPINKY_BONE3_Y,rPINKY_BONE3_Y,pPINKY_BONE3_Z,rPINKY_BONE3_Z,target
-0.0005636215,314.6967,0.03383613,201.4123,-0.07979536,95.95959,-0.06837082,333.079,0.07495594,266.8441,-0.0139327,341.0857,-0.07107639,324.6974,0.07933164,283.2885,0.02262712,320.7612,-0.05629539,335.9964,0.03078735,308.1968,0.06855893,293.5164,-0.06528187,322.928,0.06512499,295.1518,0.04813695,309.2994,OPEN
0.01496696,302.6237,0.05314589,205.2539,-0.06014895,67.69534,-0.0647788,331.0888,0.07732391,251.4026,-0.02136111,323.0783,-0.08239794,328.7406,0.07134175,262.9895,0.004092693,306.1725,-0.08314657,343.4115,0.01337004,281.5578,0.03933835,282.8185,-0.08701754,331.7095,0.04997396,270.4847,0.02495527,297.5605,OPEN
0.008667946,297.351,0.07343686,329.9544,0.05021548,213.5519,-0.0554738,313.7368,0.07938039,201.2079,-0.03793836,262.9364,-0.06524944,321.9177,0.05988324,203.8982,-0.06349981,249.4128,-0.04016685,338.7443,-0.002020597,189.8165,-0.08360231,236.4659,-0.06041145,328.9087,0.03102791,198.7978,-0.07795596,246.2285,OPEN
0.005465508,317.8644,0.06898773,341.8984,0.07126915,194.0073,-0.05703306,307.2474,0.08868754,194.3208,-0.03703117,264.291,-0.06518459,316.7775,0.06789076,194.0853,-0.06919479,252.6672,-0.03537989,332.8493,0.002685428,178.9834,-0.0920217,241.5149,-0.0563221,323.8777,0.03847051,186.6257,-0.08714509,251.1672,OPEN
0.01795006,316.9138,0.0649333,351.1257,0.07622051,189.4425,-0.06604195,305.3946,0.09064627,222.7843,-0.01870275,247.189,-0.07963085,314.1212,0.07173526,212.2608,-0.05121207,245.5673,-0.05493498,333.8292,0.006217003,198.8149,-0.08422303,238.0228,-0.07407188,322.0951,0.04293168,203.9055,-0.07352424,246.3626,OPEN
0.03976727,325.3405,0.05430961,8.494603,0.07259345,187.7414,-0.06763554,307.4157,0.08870602,267.0887,0.02054667,220.1635,-0.09012413,311.2261,0.07763386,251.9383,-0.007343292,224.0763,-0.08110619,329.2958,0.01862597,231.5465,-0.056517,227.0866,-0.09433937,317.4911,0.05280948,241.4583,-0.03302372,228.9379,OPEN
0.04061556,334.0481,0.04535043,11.20572,0.0721302,194.0342,-0.06097555,306.0792,0.08757281,280.6937,0.03534317,209.9697,-0.08640099,309.7681,0.07935619,268.2325,0.01165962,211.5925,-0.08445978,323.218,0.0287739,243.9438,-0.04340434,218.1944,-0.09365797,313.527,0.05872273,257.1378,-0.01444578,217.0893,OPEN
0.04191589,333.5864,0.04402387,12.45292,0.06940007,196.9117,-0.05803204,306.3987,0.08609354,288.3681,0.04320264,204.5152,-0.08477259,310.1942,0.07920861,276.0959,0.02089834,205.8003,-0.08524609,319.7868,0.03378952,249.1137,-0.03710437,214.0156,-0.09297037,312.3164,0.06092787,264.6616,-0.005602121,211.3649,OPEN
0.05261326,318.1689,0.0501219,22.48953,0.05010045,195.1469,-0.04421234,303.6151,0.08915007,298.744,0.05091858,206.0319,-0.07534075,308.1097,0.08328485,285.387,0.0342077,208.52,-0.08806086,316.8388,0.03900647,256.4995,-0.02166879,218.2923,-0.08837652,309.4688,0.06602597,274.9471,0.01162302,213.311,OPEN
0.06052923,307.6605,0.05854928,39.99281,0.02421618,195.2188,-0.03483486,303.2299,0.09099066,301.942,0.05339825,221.6197,-0.06817436,307.1571,0.08324027,288.8123,0.04589331,223.339,-0.09320307,319.7263,0.03286815,263.4444,-8.034706E-05,228.0571,-0.08591366,309.9572,0.06330919,279.2254,0.02962613,226.8636,OPEN
0.01853466,276.6609,0.0631336,195.7798,-0.04883146,102.5684,-0.01363516,297.8715,0.1081465,280.7973,0.01799607,308.4422,-0.03167343,301.8239,0.1027266,285.6479,0.04232073,292.5449,-0.05711508,318.9954,0.03991032,293.572,0.06720304,265.6923,-0.04372072,305.9349,0.08007813,289.821,0.05833507,283.1828,OPEN
-0.02703714,316.7361,0.02521348,202.9542,-0.07903457,125.3079,-0.03683233,306.8329,0.1016501,272.8367,-0.01804018,357.9278,-0.03447771,301.1258,0.1097025,286.8355,0.01396227,334.7065,-0.02325773,308.4445,0.06836939,312.3386,0.06557322,296.8353,-0.02785063,299.3142,0.09876156,295.4968,0.03822207,322.4607,OPEN
-0.03956652,328.45,0.01227784,210.9763,-0.08045578,118.5843,-0.06360531,325.6111,0.08559835,287.2507,-0.003822803,355.0239,-0.05442619,315.324,0.09595823,301.677,0.03023016,333.224,-0.02062893,319.8895,0.05952322,333.877,0.07798982,295.1214,-0.03730154,310.5251,0.0887481,315.3331,0.05485058,318.2552,OPEN
